name	alternate_names	use_type	surface_type	origin_type	length_mi	counties	governance	partner_agencies	status	difficulty	accessibility	description	trail_history	identity_notes	notes	url_primary	maps	created_at	updated_at
Wabash Cannonball Trail Connector		Multi-Use	Paved	Rail Trail		Lucas	Metropolitan Park District of the Toledo Area		Active	Moderate	Accessible			Color: Purple. Surface: hard-surface. Bikes allowed. Park: Side Cut Metropark. Parallels River Road through Side Cut; links Wabash Cannonball main trail to Fallen Timbers Monument and Side Cut. Length not confirmed from individual page — listing data only.		https://metroparkstoledo.com/trails/wabash-cannonball-trail-connector/	https://metroparkstoledo.com/trails/wabash-cannonball-trail-connector/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
University/Parks Trail		Multi-Use	Paved	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area	University of Toledo; City of Toledo	Active		Accessible	"The 7-mile trail stretches from the University of Toledo campus to Silica Road in Sylvania Township. It offers a lush greenway, passing savannas, meadows and wetlands. The level, paved path is suitable for joggers, cyclists and in-line skaters, and can easily accommodate wheelchairs."		"7 miles one-way, UT campus to Silica Rd in Sylvania Township. Color: Brown. Surface: hard-surface (paved). Bikes allowed. Shared Use. Park: Wildwood Preserve (primary trailhead). Passes savannas, meadows, wetlands. Connects to Wildwood trail system, Ottawa Park, Olander Park, Westfield Franklin Park. Parking: Tam-O-Shanter, McCord Rd, Wildwood Preserve, Ottawa Hills Municipal Building, Ottawa Park."		https://metroparkstoledo.com/trails/universityparks-trail/	https://metroparkstoledo.com/trails/universityparks-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Maumee River Water Trail		Water	Water	Greenway Corridor		Defiance;Henry;Lucas;Wood	Metropolitan Park District of the Toledo Area		Active			"The trail stretches 107-miles from Maumee Bay (Lake Erie) to the Ohio-Indiana border, and can be accessed at 39 locations."		"§4.6 applied: water trail staged at management tier (T3, Metroparks Toledo). 107 miles total from Maumee Bay (Lake Erie) to Ohio-Indiana border; 39 access locations. Parks associated: Bend View, Farnsworth, Middlegrounds, Providence, Side Cut. Deferred from T2 per §4.6. No color/difficulty/surface from listing (water trail)."		https://metroparkstoledo.com/trails/maumee-river-water-trail/	https://metroparkstoledo.com/trails/maumee-river-water-trail/;https://storymaps.arcgis.com/stories/ba766ce42e2b42e1ba7dca6859b1e7f4	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Oak Openings Corridor Trail (Moseley Trail)		Hiking	Crushed Stone	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active	Moderate	Accessible	Future Plans available at metroparkstoledo.com/discover/oak-openings-corridor-trail/. Connects Secor Metropark to Wiregrass Lake Metropark through the Oak Openings conservation corridor.		1.9 miles one-way. Named for former Metroparks staff member. Color: not listed (corridor trail). Surface: crushed-stone. Bikes allowed. Shared Use. Parks: Secor Metropark (north) + Wiregrass Lake Metropark (south). Part of larger Oak Openings Corridor conservation initiative.		https://metroparkstoledo.com/trails/oak-openings-corridor-trail-moseley-trail/	https://metroparkstoledo.com/trails/oak-openings-corridor-trail-moseley-trail/;https://metroparkstoledo.com/media/6154/mta-secor-map-website-11032020-rs.pdf;https://metroparkstoledo.com/media/6150/wiregrass-lake-map-outline-112020-lrs.pdf;https://metroparkstoledo.com/discover/oak-openings-corridor-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Swan Creek Connector Trail		Hiking	Paved	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active	Moderate	Accessible	"The 10-foot-wide Swan Creek Connector Trail adds 1.5 miles of trail within the park, leading to a 200-acre area of Swan Creek Preserve that was previously inaccessible to park visitors. It includes 580 feet of concrete boardwalk and two steel truss bridges over the creek."		"1.6 miles one-way, Airport Highway Trailhead to Arlington Ave. Color: Purple. Surface: hard-surface. Bikes allowed. Shared Use. Includes 580 ft concrete boardwalk and 2 steel truss bridges over Swan Creek. Opens 200-acre previously inaccessible area of park."		https://metroparkstoledo.com/trails/swan-creek-connector-trail/	https://metroparkstoledo.com/trails/swan-creek-connector-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Beach Ridge Singletrack Trail		Mountain Bike	Natural Surface	Purpose-Built		Fulton	Metropolitan Park District of the Toledo Area		Active	Moderate	Not listed as accessible			Mountain bike singletrack. No color listed. Surface: native-material. Bikes allowed. Park: Oak Openings Beach Ridge Area (Fulton County). County_primary = Fulton per parent park GIS_VERIFY_COUNTY assignment. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/beach-ridge-singletrack-trail/	https://metroparkstoledo.com/trails/beach-ridge-singletrack-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Chessie Circle Trail		Hiking	Paved	Purpose-Built		Fulton	Metropolitan Park District of the Toledo Area		Active	Moderate	Accessible			No color listed. Surface: hard-surface. Bikes allowed. Park: Oak Openings Beach Ridge Area (Fulton County). County_primary = Fulton per parent park. Length/description from individual trail page not yet captured. GPS from NW_Ohio_Parks_View GIS centroid (outSR=4326) during T6 map verification pass 2026-04-28 — treat as authoritative GIS source.		https://metroparkstoledo.com/trails/chessie-circle-trail/	https://metroparkstoledo.com/trails/chessie-circle-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Blue Creek Quarry Loop Trail		Hiking	Natural Surface	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			Color: Yellow. Surface: native-material. Pedestrian-only. Park: Blue Creek Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/blue-creek-quarry-loop-trail/	https://metroparkstoledo.com/trails/blue-creek-quarry-loop-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Fallen Timbers Northwest Territory Trail		Hiking	Crushed Stone	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active		Accessible			Color: Red. Surface: crushed-stone. Pedestrian-only. Park: Fallen Timbers Battlefield & Fort Miamis Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/fallen-timbers-northwest-territory-trail/	https://metroparkstoledo.com/trails/fallen-timbers-northwest-territory-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Oak Openings All Purpose/Bike Trail		Multi-Use	Crushed Stone	Purpose-Built		Fulton;Lucas	Metropolitan Park District of the Toledo Area		Active	Moderate	Accessible			Color: Brown. Surface: crushed-stone. Bikes allowed. Park: Oak Openings Preserve Metropark. Multi-county (Lucas/Fulton). Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/oak-openings-all-purposebike-trail/	https://metroparkstoledo.com/trails/oak-openings-all-purposebike-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Oak Openings Evergreen Trail		Hiking	Natural Surface	Purpose-Built		Fulton;Lucas	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			Color: Orange. Surface: native-material. Pedestrian-only. Park: Oak Openings Preserve Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/oak-openings-evergreen-trail/	https://metroparkstoledo.com/trails/oak-openings-evergreen-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Oak Openings Ferns and Lakes Trail		Hiking	Natural Surface	Purpose-Built		Fulton;Lucas	Metropolitan Park District of the Toledo Area		Active	Moderate	Not listed as accessible			Color: Blue. Surface: native-material. Pedestrian-only. Park: Oak Openings Preserve Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/oak-openings-ferns-and-lakes-trail/	https://metroparkstoledo.com/trails/oak-openings-ferns-and-lakes-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Oak Openings Hiking Trail		Hiking	Natural Surface	Purpose-Built		Fulton;Lucas	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			Color: Yellow. Surface: native-material. Use type not specified on listing. Park: Oak Openings Preserve Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/oak-openings-hiking-trail/	https://metroparkstoledo.com/trails/oak-openings-hiking-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Oak Openings Horse Trail		Bridle	Natural Surface	Purpose-Built		Fulton;Lucas	Metropolitan Park District of the Toledo Area		Active	Moderate	Not listed as accessible			No color listed. Surface: native-material. Use type not specified. Horse trail. Park: Oak Openings Preserve Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/oak-openings-horse-trail/	https://metroparkstoledo.com/trails/oak-openings-horse-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Oak Openings Foxfire Trail		Hiking	Natural Surface	Purpose-Built		Fulton;Lucas	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			Color: Yellow. Surface: native-material. Pedestrian-only. Park: Oak Openings Preserve Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/oak-openings-foxfire-trail/	https://metroparkstoledo.com/trails/oak-openings-foxfire-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Oak Openings Mallard Lake Loop		Hiking	Crushed Stone	Purpose-Built		Fulton;Lucas	Metropolitan Park District of the Toledo Area		Active		Accessible			Color: Blue. Surface: crushed-stone. Pedestrian-only. Park: Oak Openings Preserve Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/oak-openings-mallard-lake-loop/	https://metroparkstoledo.com/trails/oak-openings-mallard-lake-loop/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Oak Openings Ridge Trail		Hiking	Natural Surface	Purpose-Built		Fulton;Lucas	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			Color: Silver. Surface: native-material. Pedestrian-only. Park: Oak Openings Preserve Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/oak-openings-ridge-trail/	https://metroparkstoledo.com/trails/oak-openings-ridge-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Oak Openings Sand Dunes Trail		Hiking	Natural Surface	Purpose-Built		Fulton;Lucas	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			Color: Red. Surface: native-material. Pedestrian-only. Park: Oak Openings Preserve Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/oak-openings-sand-dunes-trail/	https://metroparkstoledo.com/trails/oak-openings-sand-dunes-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Oak Openings Ski Trails		Cross Country Ski	Natural Surface	Purpose-Built		Fulton;Lucas	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			No color listed. No surface class listed. Pedestrian-only (cross-country ski). Park: Oak Openings Preserve Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/oak-openings-ski-trails/	https://metroparkstoledo.com/trails/oak-openings-ski-trails/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Oak Openings Springbrook Lake Trail		Hiking	Natural Surface	Purpose-Built		Fulton;Lucas	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			Color: Teal. Surface: native-material. Pedestrian-only. Park: Oak Openings Preserve Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/oak-openings-springbrook-lake-trail/	https://metroparkstoledo.com/trails/oak-openings-springbrook-lake-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Pearson All Purpose Trail		Multi-Use	Paved	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active		Accessible			Color: Brown. Surface: hard-surface. Bikes allowed. Park: Pearson Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/pearson-all-purpose-trail/	https://metroparkstoledo.com/trails/pearson-all-purpose-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Pearson Black Swamp Trail		Hiking	Crushed Stone	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active	Moderate	Not listed as accessible			Color: Orange. Surface: native-material + decking + crushed-stone. Pedestrian-only. Park: Pearson Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/pearson-black-swamp-trail/	https://metroparkstoledo.com/trails/pearson-black-swamp-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Pearson Bicycle Trail		Bicycling	Crushed Stone	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active		Accessible			Color: Brown. Surface: crushed-stone. Bikes allowed. Park: Pearson Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/pearson-bicycle-trail/	https://metroparkstoledo.com/trails/pearson-bicycle-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Pearson Exercise Trail		Hiking	Crushed Stone	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active		Accessible			Color: Red. Surface: crushed-stone. Bikes allowed. Park: Pearson Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/pearson-exercise-trail/	https://metroparkstoledo.com/trails/pearson-exercise-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Pearson Wood Thrush Trail		Hiking	Natural Surface	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active	Moderate	Accessible			Color: Blue. Surface: native-material. Pedestrian-only. Park: Pearson Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/pearson-wood-thrush-trail/	https://metroparkstoledo.com/trails/pearson-wood-thrush-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Pearson North All Purpose Trail		Multi-Use	Crushed Stone	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active	Moderate	Accessible			No color listed. Surface: crushed-stone. Bikes allowed. Park: Pearson Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/pearson-north-all-purpose-trail/	https://metroparkstoledo.com/trails/pearson-north-all-purpose-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Pearson North Yellow Trail		Hiking	Crushed Stone	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			Color: Yellow. Surface: crushed-stone. Pedestrian-only. Park: Pearson Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/pearson-north-yellow-trail/	https://metroparkstoledo.com/trails/pearson-north-yellow-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Providence River Bluff Trail		Hiking	Crushed Stone	Purpose-Built		Wood	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			"Color: Orange. Surface: native-material + crushed-stone. Pedestrian-only. Park: Providence Metropark (GIS_VERIFY_COUNTY — address in Wood County, Grand Rapids OH 43522). County_primary = Wood pending GIS verification. Length/description from individual trail page not yet captured."		https://metroparkstoledo.com/trails/providence-river-bluff-trail/	https://metroparkstoledo.com/trails/providence-river-bluff-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Providence Wolf Rapids		Hiking	Natural Surface	Purpose-Built		Wood	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			Color: Yellow. Surface: native-material. Pedestrian-only. Park: Providence Metropark (GIS_VERIFY_COUNTY — Wood County). Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/providence-wolf-rapids/	https://metroparkstoledo.com/trails/providence-wolf-rapids/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Secor All Purpose Trail		Multi-Use	Paved	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active		Accessible			Color: Brown. Surface: hard-surface. Bikes allowed. Park: Secor Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/secor-all-purpose-trail/	https://metroparkstoledo.com/trails/secor-all-purpose-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Secor Bluebird Habitat Trail		Hiking	Natural Surface	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			Color: Blue. Surface: native-material. Pedestrian-only. Park: Secor Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/secor-bluebird-habitat-trail/	https://metroparkstoledo.com/trails/secor-bluebird-habitat-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Secor Forest Edge Trail		Hiking	Natural Surface	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			Color: Green. Surface: native-material. Pedestrian-only. Park: Secor Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/secor-forest-edge-trail/	https://metroparkstoledo.com/trails/secor-forest-edge-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Secor Prairie Trail		Hiking	Natural Surface	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			Color: Orange. Surface: native-material. Pedestrian-only. Park: Secor Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/secor-prairie-trail/	https://metroparkstoledo.com/trails/secor-prairie-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Secor Ski Trail		Cross Country Ski	Natural Surface	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			Color: Purple. No difficulty class on listing. Pedestrian-only (cross-country ski). Park: Secor Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/secor-ski-trail/	https://metroparkstoledo.com/trails/secor-ski-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Secor Upland Woods Trail		Hiking	Natural Surface	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			Color: Silver. Surface: native-material. Pedestrian-only. Park: Secor Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/secor-upland-woods-trail/	https://metroparkstoledo.com/trails/secor-upland-woods-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Secor Wetwoods Trail		Hiking	Natural Surface	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			Color: Red. Surface: native-material. Pedestrian-only. Park: Secor Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/secor-wetwoods-trail/	https://metroparkstoledo.com/trails/secor-wetwoods-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Secor Wildflower Trail		Hiking	Natural Surface	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			Color: Yellow. Surface: native-material. Pedestrian-only. Park: Secor Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/secor-wildflower-trail/	https://metroparkstoledo.com/trails/secor-wildflower-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Secor Woodland Pond Trail		Hiking	Natural Surface	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active		Not listed as accessible			Color: Purple. Surface: native-material. Pedestrian-only. Park: Secor Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/secor-woodland-pond-trail/	https://metroparkstoledo.com/trails/secor-woodland-pond-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Side Cut Canal Locks Trail		Multi-Use	Paved	Canal Towpath		Lucas	Metropolitan Park District of the Toledo Area		Active	Moderate	Accessible			Color: Blue. Surface: hard-surface. Pedestrian-only. Park: Side Cut Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/side-cut-canal-locks-trail/	https://metroparkstoledo.com/trails/side-cut-canal-locks-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Side Cut Fallen Timbers Trail		Hiking	Natural Surface	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active	Moderate	Not listed as accessible			Color: Red. Surface: native-material. Pedestrian-only. Park: Side Cut Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/side-cut-fallen-timbers-trail/	https://metroparkstoledo.com/trails/side-cut-fallen-timbers-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Side Cut Riverview Trail		Hiking	Natural Surface	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active	Moderate	Accessible			Color: Orange. Surface: native-material. Pedestrian-only. Park: Side Cut Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/side-cut-riverview-trail/	https://metroparkstoledo.com/trails/side-cut-riverview-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Side Cut Wood Duck Trail		Hiking	Natural Surface	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active	Moderate	Not listed as accessible			Color: Green. Surface: native-material. Pedestrian-only. Park: Side Cut Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/side-cut-wood-duck-trail/	https://metroparkstoledo.com/trails/side-cut-wood-duck-trail/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
Swan Creek All Purpose		Multi-Use	Paved	Purpose-Built		Lucas	Metropolitan Park District of the Toledo Area		Active		Accessible			Color: Brown. Surface: hard-surface + crushed-stone. Bikes allowed. Park: Swan Creek Preserve Metropark. Length/description from individual trail page not yet captured.		https://metroparkstoledo.com/trails/swan-creek-all-purpose/	https://metroparkstoledo.com/trails/swan-creek-all-purpose/	2026-04-29T05:11:27Z	2026-04-29T05:11:27Z
