Trail Name	Alternate Names	Trail Use Type	Trail Surface Type	Trail Origin Type	Total Length (Miles)	Counties	Governance	Partner Agencies	Status	Difficulty	Accessibility	Description	Trail History	Identity Notes	Notes	URL	Maps	Trail ID
Around the World Tree Trail						Scioto	Shawnee State University			Easy		Features trees from around the world within the Level 2 ArbNet-accredited Deal Arboretum.		Contained within Shawnee State University — Deal Arboretum and Campus Trails (SC-S-0011).			https://www.shawnee.edu/campus-life/trees/campus-trails	OH-SC-T-0011
Relics of the Past Tree Trail						Scioto	Shawnee State University			Easy		Features ancient and evolutionarily relict tree species within the Level 2 ArbNet-accredited Deal Arboretum.		Contained within Shawnee State University — Deal Arboretum and Campus Trails (SC-S-0011).			https://www.shawnee.edu/campus-life/trees/campus-trails	OH-SC-T-0012
Medicinal Tree Trail						Scioto	Shawnee State University			Easy		Features trees with known medicinal properties and ethnobotanical significance within the Level 2 ArbNet-accredited Deal Arboretum.		Contained within Shawnee State University — Deal Arboretum and Campus Trails (SC-S-0011).			https://www.shawnee.edu/campus-life/trees/campus-trails	OH-SC-T-0013
Stone Quarry Trail						Adams;Pike;Scioto	Ohio Department of Natural Resources, Division of Forestry					Passes historical stone quarry features within Brush Creek State Forest.		Named trail at Brush Creek State Forest listed on ODNR property page under 'Favorite Things to Do.' Length and specific location within the multi-county forest not confirmed Contained within Shawnee State Forest (SC-S-0004).				OH-MC-T-0014
Coffee Hollow & Crabtree Cemetery Bridle Trail						Adams;Pike;Scioto	Ohio Department of Natural Resources, Division of Forestry					Passes through Coffee Hollow and near Crabtree Cemetery historic site within Brush Creek State Forest.		Named bridle trail at Brush Creek State Forest listed on ODNR property page under 'Favorite Things to Do.' Length and specific location within the multi-county forest not confirmed Contained within Shawnee State Forest (SC-S-0004).				OH-MC-T-0015
River Otter Trail						Scioto	Ohio Department of Natural Resources, Division of Natural Areas and Preserves					Runs along the north bank of Scioto Brush Creek, affording views of the deep pools within the preserve. Excellent birding in all seasons, particularly during migration.		TIER 2 MISS — discovered during Tier 4 county research via Scenic Scioto Heritage Trail website. Not in baseline seeds. Trail located at Tatman-Coe Road, Union Township — same address as Scioto Brush Creek State Nature Preserve (SC-S-0008). Trail is within the preserve (source: Scioto Heritage Trail page states 'the deep pools in the creek that lie within the preserve') Contained within Gladys Riley Golden-star State Nature Preserve (SC-S-0006).				OH-SC-T-0016
Allan W. Eckert Trail						Scioto	Scioto County (County Commissioners / Scioto County Parks Department)					Offers views of the banks and bottom lands at the confluence of the Scioto and Ohio Rivers.		Named trail within Earl Thomas Conley Riverside Park (Tier 4). Trail named after Allan W. Eckert, prolific Ohio historical author. Trail length not confirmed Contained within Earl Thomas Conley Riverside Park (SC-S-0014).				OH-SC-T-0017
Ohio Hanging Rock Trail						Scioto	Arc of Appalachia			Difficult				Trails lead from valley floor to upper-elevation ridgetops strewn with large rocks. Additional 2.25-mile public trail planned for 2026. Contained within Ohio Hanging Rock (SC-S-0039).				OH-SC-T-0018
Tremper Mound Trail						Scioto	Arc of Appalachia							Loop trail beginning at north end of main parking lot; leads through grassland meadows to the 2,000-year-old Hopewell ceremonial earthwork. Contained within Tremper Mound (SC-S-0041).				OH-SC-T-0019
Fairybell Hollow Trail						Scioto	Arc of Appalachia							Winds into steep Appalachian hill-country through remote forested coves; ascends to high elevations of Huckleberry Ridge. Separate Huckleberry Ridge Trailhead parking on OH-104. Contained within Tremper Mound (SC-S-0041).				OH-SC-T-0020
Pond Creek Bottom Trail						Scioto	Arc of Appalachia							Riparian loop along Pond Creek bottomland within Tremper Mound preserve. Contained within Tremper Mound (SC-S-0041).				OH-SC-T-0021
Yellow Buckeye Trail						Scioto	Arc of Appalachia			Difficult				Yellow Buckeye Trail leads to the top of the ridge and back through an oak-hickory hillside forest with many trees of impressive girth (1 mile loop). Trail name confirmed from Arc visitor guide. Contained within Gladys Riley Golden Star Lily Preserve (SC-S-0042).				OH-SC-T-0022
White Walnut Trail						Scioto	Arc of Appalachia			Moderate				White Walnut Trail leads through the wildflower-rich floodplain of the Rocky Fork of Scioto Brush Creek, aglow with golden star lilies and trilliums in spring (1.25-mile loop). Trail name confirmed from Arc visitor guide. Contained within Gladys Riley Golden Star Lily Preserve (SC-S-0042).				OH-SC-T-0023
