site_id	name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id
OH-WA-S-0014	Gerstenslager Park	Park	Natural/Woodland Park		Open	City of Wooster	City of Wooster			Rustic Wooster park.	Wooster, Ohio		Wayne	Wooster		40.814625	-81.914602	8MGWQ94F+3Q	Rustic		https://www.woosteroh.com/parks		
OH-WA-S-0015	Stan Miller Park	Park	Community Park		Open	City of Wooster	City of Wooster			Wooster community park.	Wooster, Ohio		Wayne	Wooster		40.826899	-81.923812	8MGWQ9HG+C4			https://www.woosteroh.com/parks		
OH-WA-S-0016	Orr Park	Park	Community Park		Open	City of Orrville	City of Orrville			Primary community park in Orrville.	Orrville, Wayne County, Ohio		Wayne	Orrville		40.84461	-81.77245	8MGWX5P4+GG					
OH-WA-S-0017	Gailey Park	Park	Community Park		Open	City of Orrville	City of Orrville			Orrville community park.	Orrville, Wayne County, Ohio		Wayne	Orrville		40.835667	-81.755116	8MGWX3Q4+WF					
OH-WA-S-0018	Orrville Dog Park	Park	Dog Park		Open	City of Orrville	City of Orrville			Off-leash dog park in Orrville.	Orrville, Wayne County, Ohio		Wayne	Orrville		40.845003	-81.768516	8MGWX5P4+QC	Off-leash dog area; fenced				
OH-WA-S-0019	Morton Salt Park	Park	Community Park		Open	City of Rittman	City of Rittman			Rittman community park near Morton Salt facility.	N State St area, Rittman, Wayne County, Ohio		Wayne	Rittman		40.974809	-81.780212	8MGWX694+62		GPS-APPROXIMATE — no Maps listing; address geocode only.			
OH-WA-S-0020	Vincent & Rose Tricomi Memorial Park	Park	Community Park		Open	City of Rittman	City of Rittman			Memorial park in Rittman with pond and athletic fields.	E Ohio Ave, Rittman, Wayne County, Ohio		Wayne	Rittman		40.97636	-81.77133	8MGWX694+X2	Pond; athletic fields; memorial				
OH-WA-S-0021	Rotary Park Tennis Courts	Park	Recreation Area		Open	City of Rittman	City of Rittman			Rittman park featuring tennis courts at the recreation center complex.	Recreation center area, Rittman, Wayne County, Ohio		Wayne	Rittman		40.97466	-81.79961	8MGWX684+4J	Tennis courts; recreation center complex				
OH-WA-S-0022	Apple Creek Park	Park	Community Park		Open	Village of Apple Creek	Village of Apple Creek			Community park in Apple Creek.	Apple Creek, Wayne County, Ohio		Wayne	Apple Creek		40.750882	-81.830626	8MGWM4QG+66					
OH-WA-S-0023	Creston Community Park	Park	Community Park		Open	Village of Creston	Village of Creston			Primary community park in Creston.	Creston, Wayne County, Ohio		Wayne	Creston		40.98912	-81.892377	8MGWX8H3+2X					
OH-WA-S-0024	Brooklyn Park	Park	Community Park		Open	Village of Creston	Village of Creston			Secondary park in Creston.	Creston, Wayne County, Ohio		Wayne	Creston		40.988632	-81.890036	8MGWX8H3+2F					
OH-WA-S-0025	Martin Fritz Memorial Park	Park	Community Park		Open	City of Rittman	City of Rittman			Rittman memorial park.	Rittman, Wayne County, Ohio		Wayne	Rittman		40.977685	-81.773434	8MGWX694+W8					
OH-WA-S-0026	First Street Ashton Hall Park	Park	Community Park		Open	City of Rittman	City of Rittman			Rittman park on First Street.	Rittman, Wayne County, Ohio		Wayne	Rittman		40.971419	-81.783235	8MGWX684+5W					
OH-WA-S-0027	Central Park	Park	Community Park		Open	City of Rittman	City of Rittman			Central park in Rittman.	Rittman, Wayne County, Ohio		Wayne	Rittman		40.971054	-81.786664	8MGWX684+3C					
OH-WA-S-0028	E.J. Young Grand View Park	Park	Community Park		Open	City of Rittman	City of Rittman			Rittman park. No standalone Maps listing.	Rittman, Wayne County, Ohio		Wayne	Rittman		40.970631	-81.791067	8MGWX674+X8		GPS-APPROXIMATE — intersection geocode only.			
OH-WA-S-0029	Washington Street Park	Park	Community Park		Open	City of Rittman	City of Rittman			Rittman park on Washington Street. No standalone Maps listing.	Washington St, Rittman, Wayne County, Ohio		Wayne	Rittman		40.97968	-81.793922	8MGWX694+62		GPS-APPROXIMATE — intersection geocode only.			
OH-WA-S-0030	William J. Robertson Nature Preserve	Nature Preserve	Woodland		Open	City of Rittman	City of Rittman			City-owned nature preserve in Rittman.	Rittman, Wayne County, Ohio		Wayne	Rittman		40.977441	-81.764589	8MGWX6C4+9V	Woodland; city nature preserve				
OH-WA-S-0031	Marshallville Community Park	Park	Community Park		Open	Village of Marshallville	Village of Marshallville			Community park in Marshallville.	Marshallville, Wayne County, Ohio		Wayne	Marshallville		40.900306	-81.737956	8MGWV5J3+52					
OH-WA-S-0032	Smithville Village Park	Park	Community Park		Open	Village of Smithville	Village of Smithville			Community park in Smithville.	Smithville, Wayne County, Ohio		Wayne	Smithville		40.863101	-81.857338	8MGWV6M4+3G					
OH-WA-S-0033	Drake Park	Park	Community Park		Open	Village of West Salem	Village of West Salem			Community park in West Salem.	West Salem, Wayne County, Ohio		Wayne	West Salem		40.967464	-82.117952	8MGWX3G4+GH					
OH-WA-S-0034	Burbank Community Park	Park	Community Park		Open	Village of Burbank	Village of Burbank			Community park in Burbank.	Burbank, Wayne County, Ohio		Wayne	Burbank		40.988786	-81.996069	8MGWX4H4+FX					
OH-WA-S-0035	Memorial Park	Park	Community Park		Open	Village of Doylestown	Village of Doylestown			Primary park in Doylestown. Includes Gene Daniel Community Center.	Doylestown, Wayne County, Ohio		Wayne	Doylestown		40.975713	-81.695668	8MGWX7C4+5M	Gene Daniel Community Center; Chippewa Local School District track/stadium; pavilion				
OH-WA-S-0036	Paridon Park	Park	Community Park		Open	Village of Doylestown	Village of Doylestown			Doylestown community park.	Doylestown, Wayne County, Ohio		Wayne	Doylestown		40.969172	-81.698788	8MGWX6C4+VP					
OH-WA-S-0037	Gilcrest Park	Park	Community Park		Open	Village of Doylestown	Village of Doylestown			Doylestown community park.	Doylestown, Wayne County, Ohio		Wayne	Doylestown		40.97744	-81.69901	8MGWX7C4+9J	Maintained green field				
OH-WA-S-0038	Fredericksburg Community Park	Park	Community Park		Open	Village of Fredericksburg	Village of Fredericksburg			Community park in Fredericksburg.	Fredericksburg, Wayne County, Ohio		Wayne	Fredericksburg		40.678705	-81.86952	8MGVV5J4+HJ					
OH-WA-S-0039	Robert Brooker Nature Preserve	Nature Preserve	Woodland		Open	Village of Marshallville	Village of Marshallville			Nearly 50-acre village-owned nature preserve in Marshallville featuring oak-to-maple transitional forest with three named trails.	Marshallville, Wayne County, Ohio	50.0	Wayne	Marshallville		40.901336	-81.727713	8MGWV5J5+GG	~50 acres; oak-to-maple transitional forest; stream crossings (bridges); solar field; 3 named trails; bike rack; interpretive sign; no facilities except porta-pots; sunrise to sunset; no bikes/horses/fires/hunting				
OH-WA-S-0040	Mt Eaton Community Park	Park	Community Park		Open	Village of Mt Eaton	Village of Mt Eaton			Community park in Mt Eaton.	Mt Eaton, Wayne County, Ohio		Wayne	Mt Eaton		40.698537	-81.700587	8MGVV7J4+5J					
OH-WA-S-0041	Shreve Village Park	Park	Community Park		Open	Village of Shreve	Village of Shreve			Primary village park in Shreve.	Shreve, Wayne County, Ohio		Wayne	Shreve		40.68901	-82.017811	8MGVV4J5+9F					
OH-WA-S-0042	Harold Miller Park	Park	Community Park		Open	Village of Shreve	Village of Shreve			Secondary park in Shreve.	Shreve, Wayne County, Ohio		Wayne	Shreve		40.679412	-82.019446	8MGVV4J4+GH					
OH-WA-S-0043	Secrest Arboretum	Arboretum	Research Arboretum		Open	Ohio State University / Ohio Agricultural Research and Development Center (OARDC)	OSU OARDC Wooster Campus		OARDC, 1680 Madison Ave, Wooster, OH 44691	110-acre living plant collection and research arboretum on the OSU OARDC campus, featuring extensive woody plant collections open to the public.	OARDC campus, 1680 Madison Ave, Wooster, Wayne County, Ohio	110.0	Wayne	Wooster		40.782984	-81.917203	8MGWQ4JH+5G	110 acres; living plant collection; research arboretum; woody plant collections; public access; no fee	On OSU/OARDC campus. Open year-round.	https://secrestarboretum.osu.edu		
OH-WA-S-0044	Vulture's Knob Mountain Bike Park	Recreation Area	Mountain Bike Park		Open	Friends of Vultures Knob (501(c)(3)); ownership transferred December 31 2025 — new owner undisclosed	Friends of Vultures Knob (501(c)(3))			125-acre mountain bike trail park near Wooster, operated as a nonprofit trail system. Ownership transferred December 31, 2025; trail remains operating.	Near Wooster, Wayne County, Ohio	125.0	Wayne			40.85097	-81.9806	8MGWQ6J5+RF	125 acres; mountain bike trails; nonprofit trail system; operating post-ownership transfer	Ownership transferred Dec 31 2025; new owner undisclosed as of 2026-03-08. Trail operating normally.	https://www.vulturesknob.com		
