site_id	name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id
OH-FR-S-0011	Glacier Ridge Metro Park	Park				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County	Honda of America (Honda Wetland Education Center partnership)		Honda Wetland Education Center; 200-acre restored wetland; Wind and Solar Learning Center; 25-foot observation tower; 18-hole disc golf; 5-mile bridle trail; paved trail (2.8 mi and 3.7 mi loops); natural trail (0.8 mi); boardwalk through wetlands; challenge course	Plain City area, Franklin County (western Franklin County near Madison County line)	0.01	Franklin	Columbus		39.9607633	-83.0684652	86FRXW6J+82			https://www.metroparks.net/parks-and-trails/glacier-ridge/	https://www.metroparks.net/parks-and-trails/glacier-ridge/	
OH-MC-S-0012	Highbanks Metro Park	Park				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County			10 trails (~11 miles); nature center; sledding hill; nature preserve (206 acres, Edward F. Hutchins Nature Preserve); bluffs up to 110 ft over Olentangy River; Adena burial mounds and earthworks; National Natural Landmark (designated 1980); National Historic Landmark (earthworks); old-growth oak-hickory and beech-maple forest	Northern Franklin County / southern Delaware County along Olentangy River	343.17	Delaware;Franklin	Columbus		40.1301646	-83.0293646	86GR4XJC+32			https://www.metroparks.net/parks-and-trails/highbanks/	https://www.metroparks.net/parks-and-trails/highbanks/;https://en.wikipedia.org/wiki/Highbanks_Metro_Park	
OH-FR-S-0013	Heritage Trail Park Metro Park	Park				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County			corridor park along Heritage Trail	Hilliard area, Franklin County (along western border of Homestead Metro Park)	16.12	Franklin	Groveport		39.8481224	-82.8858828	86FVR4X7+82			https://www.metroparks.net/parks-and-trails/	https://www.metroparks.net/parks-and-trails/	
OH-FR-S-0014	Homestead Metro Park	Park				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County			covered bridge; replica train station; outdoor amphitheater; 0.75-mile paved trail connecting to Heritage Trail	Hilliard, Franklin County	0.01	Franklin	Columbus		39.9607633	-83.0684652	86FRXW6J+82			https://www.metroparks.net/parks-and-trails/homestead/	https://www.metroparks.net/parks-and-trails/homestead/	
OH-FR-S-0015	Inniswood Metro Gardens	Park				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County			botanical garden with themed garden rooms; nature preserve; trails; educational programming; scenic wooded ravines	Westerville area, Franklin County	122.42	Franklin	Westerville	Sharon Township	40.1014131	-82.8982487	86GV4422+G2			https://www.metroparks.net/parks-and-trails/inniswood-metro-gardens/	https://www.metroparks.net/parks-and-trails/inniswood-metro-gardens/	
OH-MC-S-0016	Pickerington Ponds Metro Park	Park				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County			wetland ponds and seasonal ponds; state nature preserve designation; exceptional birding (260+ species); great blue heron rookery (50+ nests); trails include Killdeer Trail, Yellowlegs Trail, Arrowhead Trail, Burning Lake Trail, Meadowlark Trail; multiple parking/viewing areas	Southeast corner of Franklin County / northwest corner of Fairfield County; near Canal Winchester	1154.06	Fairfield;Franklin	Columbus		39.8864308	-82.8078591	86FVV5PR+H2			https://www.metroparks.net/parks-and-trails/pickerington-ponds/	https://www.metroparks.net/parks-and-trails/pickerington-ponds/;https://en.wikipedia.org/wiki/Pickerington_Ponds_Metro_Park	
OH-FR-S-0017	Prairie Oaks Metro Park	Park				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County			Restored native prairie/grassland (500 acres); Big Darby Creek corridor; Beaver Lake; Darby Bend Lakes; fishing and kayaking lakes; Doggie Beach; 7 hiking trails + bridle trail; trails include Alder Trail (0.6 mi), Beaver Lake Trail (0.9 mi), Darby Creek Greenway Trail (3.5 mi), Sycamore Plains Trail (2.2 mi), River Rock Trail (0.7 mi)	3225 NE Plain City-Georgesville Rd, West Jefferson, OH 43162 (western Franklin County; extends toward Madison County line)	2274.48	Franklin			39.990165	-83.2477956	86FRXQR2+52			https://www.metroparks.net/parks-and-trails/prairie-oaks/	https://www.metroparks.net/parks-and-trails/prairie-oaks/	
OH-FR-S-0018	Quarry Trails Metro Park	Park				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County			trails; observation areas; single-track mountain bike trail; via ferrata (urban iron path, advance registration required); sports climbing wall; 25-foot waterfall; lakes; 20th Metro Park in the system	West side of Columbus, Franklin County (within 5 miles of 350,000 residents)	117.61	Franklin	Columbus		40.0054639	-83.0951324	86GR2W43+52			https://www.metroparks.net/parks-and-trails/quarry-trails/	https://www.metroparks.net/parks-and-trails/quarry-trails/;https://en.wikipedia.org/wiki/Quarry_Trails_Metro_Park	
OH-FR-S-0019	Rocky Fork Metro Park	Park				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County	City of New Albany; City of Columbus; Plain Township			New Albany / Westerville area, Franklin County	338.05	Franklin	New Albany		40.1221045	-82.8327754	86GV45C8+X2	Bridle Trail; Dog Park; Multi-use Trail; Picnic Shelter; Wetland		https://www.metroparks.net/parks-and-trails/rocky-fork/	https://www.metroparks.net/parks-and-trails/rocky-fork/	
OH-FR-S-0020	Scioto Audubon Metro Park	Park				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County	Columbus Audubon Society (coordination/partnership)	Columbus Audubon Society	60-foot climbing wall (free, public); paved trail (0.65 mi); boardwalk; wetland habitat; exceptional urban birding; Scioto River frontage	South Columbus, Franklin County	14.37	Franklin	Dublin		40.1169271	-83.1110234	86GR4V8Q+P2			https://www.metroparks.net/parks-and-trails/scioto-audubon/	https://www.metroparks.net/parks-and-trails/scioto-audubon/	
OH-FR-S-0021	Scioto Grove Metro Park	Park				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County			Scioto River corridor; trails; fishing; natural areas	5172 Jackson Pike, Grove City, OH 43123	618.39	Franklin		Jackson Township	39.846889	-83.0201149	86FRRXWH+Q2			https://www.metroparks.net/parks-and-trails/scioto-grove/	https://www.metroparks.net/parks-and-trails/scioto-grove/	
OH-FR-S-0022	Sharon Woods Metro Park	Park				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County			Edward S. Thomas State Nature Preserve (319.88 acres) within park; eight oak species (some 250+ years old); large hickory, maple, beech trees; Sharon Creek; trails; picnic areas; nature programs	Northern Franklin County (Westerville/Columbus area)	754.93	Franklin		Sharon Township	40.1161907	-82.9623543	86GV428Q+C2			https://www.metroparks.net/parks-and-trails/sharon-woods/	https://www.metroparks.net/parks-and-trails/sharon-woods/;http://naturepreserves.ohiodnr.gov/sharonwoods	
OH-FR-S-0023	Edward S. Thomas Scenic Nature Preserve	Nature Preserve				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County (managed); Ohio Department of Natural Resources (state nature preserve designation)			old-growth oaks (some 250+ years), hickory, maple, beech; state nature preserve; named for Ohio naturalist Edward S. Thomas	Within Sharon Woods Metro Park, northern Franklin County	6.33	Franklin	New Albany		40.0809109	-82.8246212	86GV35JG+62			http://naturepreserves.ohiodnr.gov/sharonwoods	http://naturepreserves.ohiodnr.gov/sharonwoods;https://cbus4kids.com/edward-s-thompson-state-nature-preserve/	
OH-FR-S-0024	Three Creeks Metro Park	Park				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County			Blacklick Creek, Alum Creek, and Big Walnut Creek confluence area; trails; fishing; natural areas; wetlands	Southeast Columbus, Franklin County (near Brice Road / Gender Road area)	1631.48	Franklin	Columbus		39.8914357	-82.91399	86FVV3RP+F2			https://www.metroparks.net/parks-and-trails/three-creeks/	https://www.metroparks.net/parks-and-trails/three-creeks/	
OH-FR-S-0025	Walnut Woods Metro Park	Park				Columbus and Franklin County Metropolitan Park District	Metro Parks Serving Franklin County			dog park for large dogs (3 acres, with fenced swimming area); dog park for small dogs (1 acre); trails; natural areas	6716 Lithopolis Road, Groveport, OH 43125	1162.73	Franklin		Windsor Township	39.8397022	-82.8651235	86FVR4QM+X2			https://www.metroparks.net/parks-and-trails/walnut-woods/	https://www.metroparks.net/parks-and-trails/walnut-woods/	
OH-FR-S-0026	Franklin Park Conservatory and Botanical Gardens	Recreation Facility				City of Columbus (land — Franklin Park, 88 acres); Franklin Park Conservatory Joint Recreation District (facility operations)	Franklin Park Conservatory Joint Recreation District (JRD), a joint recreation district under Ohio Revised Code Section 755.14, governed by a Board of Trustees appointed jointly by Franklin County and the City of Columbus	City of Columbus; Franklin County Board of Commissioners		13-acre visitor experience campus; 83,000 square feet of glasshouses including the 1895 John F. Wolfe Palm House; botanical gardens; Dale Chihuly glass art; special exhibitions; event and meeting facilities; outdoor botanical gardens	1777 East Broad Street, Columbus, OH 43203; within City of Columbus Franklin Park (88-acre park on Columbus east side)	86.49	Franklin	Columbus		39.9652296	-82.9547248	86FVX28W+22			https://www.fpconservatory.org/	https://www.fpconservatory.org/;https://www.fpconservatory.org/about-us/;https://www.experiencecolumbus.com/things-to-do/attractions/franklin-park-conservatory/	
OH-FR-S-0027	Franklin County Fairgrounds	Recreation Facility				Franklin County Agricultural Society	Franklin County Agricultural Society, a county agricultural society organized under Ohio Revised Code Chapter 1711; quasi-public entity with board elected by society membership; county-level enabling legislation			Approximately 100 acres; annual Franklin County Fair venue; permanent agricultural and livestock exhibition facilities; open-air event grounds; natural ground and green space	5043 Northwest Parkway, Hilliard, OH 43026	340	Franklin			40.0345	-83.1535	86GR2RMW+W2		Approx. 340 acres per multiple sources; Franklin County Agricultural Society fairgrounds, Hilliard	https://www.fcfair.org/	https://www.fcfair.org/;https://www.fcfair.org/fairgrounds	
OH-FR-S-0028	Ridgewood Park	Park			Active		Blendon Township				off Buenos Aires Boulevard, Westerville vicinity, Franklin County, Ohio	28.2252344	Franklin	Westerville		40.0853077	-82.912223	86GV33PQ+22	Covered Shelter; Gazebo; Hiking Trail; Playground	Township park in Blendon Township. Features walking trails in addition to recreational amenities. Source: blendontwp.org Parks, Open Spaces & Trails page.	https://www.blendontwp.org/residents/parks-open-spaces-trails	https://www.blendontwp.org/residents/parks-open-spaces-trails;https://public-morpc.hub.arcgis.com/datasets/parks-and-open-space/explore	
OH-FR-S-0029	Phelps Acre Park	Park			Active		Blendon Township			The park is one of several village-maintained green spaces in this small incorporated village along the Scioto River.	Blendon Township, Franklin County, Ohio	0.64	Franklin	Marble Cliff		39.9875333	-83.0578121	86FRXWQR+52		Township park in Blendon Township. Address and features require field verification. Source: blendontwp.org Parks, Open Spaces & Trails page.	https://www.blendontwp.org/residents/parks-open-spaces-trails	https://www.blendontwp.org/residents/parks-open-spaces-trails	
OH-FR-S-0030	Sunbury Woods Commons	Open Space			Active		Blendon Township				Sunbury Woods neighborhood, Blendon Township, Franklin County, Ohio	4.05	Franklin	Columbus		40.0205252	-82.9332972	86GV23C8+82	Playground	Calculated from MORPC Shape__Area: 176,245 sq ft	https://www.blendontwp.org/residents/parks-open-spaces-trails	https://www.blendontwp.org/residents/parks-open-spaces-trails	
OH-FR-S-0031	Veteran's Park	Park			Active		Clinton Township			veteran memorial, commemorative bricks	3856 Walford Street, Columbus, OH 43224	0.156152	Franklin	Groveport		39.8519279	-82.8885621	86FVV426+P2		Clinton Township park honoring veterans. Brick purchase program available for veteran commemorations. Source: clintontownship.org Parks page.	https://www.clintontownship.org/248/Parks	https://www.clintontownship.org/248/Parks;https://www.clintontownship.org/home/pages/public-parks-clinton-township;https://public-morpc.hub.arcgis.com/datasets/parks-and-open-space/explore	
OH-FR-S-0032	Sale Road Playground	Park			Active		Clinton Township				Sale Road vicinity, Clinton Township, Franklin County, Ohio		Franklin			39.995	-83.09	86FRXWW6+52	Playground	Township playground. Address needs field verification — 'Sale Road' is approximate location from township parks listing.; GPS approx: GPS approximate — address unconfirmed; Sale Road vicinity, Clinton Township	https://www.clintontownship.org/248/Parks	https://www.clintontownship.org/248/Parks	
OH-FR-S-0033	Fred Stigers Memorial Park	Memorial			Active		Clinton Township				Clinton Township, Franklin County, Ohio	84.29	Franklin	Obetz		39.8836656	-82.940794	86FVV3M5+G2	Monument; Playground	Township memorial park also known as Triangle Park. Address and features require field verification.	https://www.clintontownship.org/248/Parks	https://www.clintontownship.org/248/Parks	
OH-FR-S-0034	Case Road Community Garden	Community Garden			Active		Clinton Township			community garden plots	Case Road vicinity, Clinton Township, Franklin County, Ohio	58.05	Franklin	Columbus		40.0712486	-83.0838726	86GR3WC8+F2		Township-managed community garden. Listed in township parks inventory. May not meet Site threshold for natural area classification — flagged for Resolution review. Address needs verification.	https://www.clintontownship.org/248/Parks	https://www.clintontownship.org/248/Parks	
OH-FR-S-0035	Chambers Circle Park	Park			Active		Clinton Township				1000 Chambers Circle W., Columbus, OH 43212	0.64	Franklin	Marble Cliff		39.9875333	-83.0578121	86FRXWQR+52		Clinton Township park in the Chambers Circle W. area. Source: clintontownship.org.	https://www.clintontownship.org/248/Parks	https://www.clintontownship.org/248/Parks	
OH-FR-S-0036	West Side / University View Playground	Park			Active		Clinton Township				Clinton Township, Franklin County, Ohio (West Side / University View area)		Franklin			39.978	-83.065	86FRXWHP+62	Playground	Township playground serving the West Side and University View neighborhoods. May be one combined park or two separate playgrounds — identity needs field verification.; GPS approx: GPS approximate — West Side/University View neighborhood, Clinton Township	https://www.clintontownship.org/248/Parks	https://www.clintontownship.org/248/Parks	
OH-FR-S-0037	Hamilton Township Park	Park			Active		Hamilton Township			2 football fields, 2 soccer fields, 2 baseball diamonds, children's playground, concession stand, picnic tables, recreational trail, Big Walnut Creek access	west side of Lockbourne Road between Rathmell Road and Rohr Road, Hamilton Township, Franklin County, Ohio (south of Hamilton Meadows development)	5.35	Franklin	Hilliard		40.0335616	-83.1506207	86GR2RMX+H2		Hamilton Township's primary park, described as the 'largest park' in the township. Features a recreational trail and direct access to Big Walnut Creek. Youth athletics managed by 'Hamilton Youth Athletics' (separate non-profit). Park open sunrise to sunset. Source: hamtwpfcoh.gov/general-8.	https://www.hamtwpfcoh.gov/general-8	https://www.hamtwpfcoh.gov/general-8	
OH-FR-S-0038	Firetruck Park	Park			Active		Hamilton Township			children's play set (firetruck architecture), covered picnic area, picnic tables, large open grass field	behind 6400 Lockbourne Road, Hamilton Township, Franklin County, Ohio	0.97	Franklin		Hamilton Township	39.9807346	-82.9407921	86FVX3J5+82		Smaller township park behind 6400 Lockbourne Rd. 'Firetruck Park' is a colloquial/unofficial nickname based on play equipment architecture — no official name documented on township website. Official name requires field/records verification. Park open sunrise to sunset. Source: hamtwpfcoh.gov/general-8.	https://www.hamtwpfcoh.gov/general-8	https://www.hamtwpfcoh.gov/general-8	
OH-FR-S-0039	Blacklick Ridge Community Park	Park			Active		Jefferson Township				Jefferson Township, Franklin County, Ohio (Blacklick area)	17.21	Franklin		Jefferson Township	39.9923887	-82.8082856	86FVX5RR+W2	Athletic Field; Parking Lot; Picnic Area; Playground	Jefferson Township community park in the Blacklick Ridge area. Address and features require field verification. Source: jeffersontownship.org.	https://jeffersontownship.org	https://jeffersontownship.org	
OH-FR-S-0040	Boehnke Nature Preserve	Nature Preserve			Active		Jefferson Township			The site protects important natural habitat and provides passive recreation opportunities including nature trails and wildlife observation in a preserved natural landscape.	Jefferson Township, Franklin County, Ohio	11.68	Franklin		Jefferson Township	40.0374512	-82.8325139	86GV25P8+X2	Hiking Trail	Jefferson Township nature preserve. This is a higher-value natural area entity. Address, acreage, and access details require field/records verification. Source: jeffersontownship.org.	https://jeffersontownship.org	https://jeffersontownship.org	
OH-FR-S-0041	Jefferson Community Park	Park			Active		Jefferson Township				Jefferson Township, Franklin County, Ohio	41.5	Franklin		Jefferson Township	40.0456307	-82.7980409	86GV26W2+92	Athletic Field; Picnic Area; Playground	Jefferson Township community park. Address and features require field verification. Source: jeffersontownship.org.	https://jeffersontownship.org	https://jeffersontownship.org	
OH-FR-S-0042	Jefferson Run Park	Park			Active		Jefferson Township				Jefferson Township, Franklin County, Ohio	21.42	Franklin		Jefferson Township	40.0138843	-82.7788686	86GV267C+F2	Playground	Jefferson Township park. Address and features require field verification. Source: jeffersontownship.org.	https://jeffersontownship.org	https://jeffersontownship.org	
OH-FR-S-0043	Olde Quarry Park	Park			Active		Jefferson Township			Blacklick Creek access	Jefferson Township, Franklin County, Ohio (Blacklick area)	84.36	Franklin		Jefferson Township	40.0008197	-82.8039003	86GV252W+72		Jefferson Township park with documented Blacklick Creek access. Creek access may generate an Access Point record. Park is in the Blacklick Creek corridor. Source: jeffersontownship.org.	https://jeffersontownship.org	https://jeffersontownship.org	
OH-FR-S-0044	Blue Lake Park	Park			Active		Prairie Township				Lake Darby Estates, Prairie Township, Franklin County, Ohio	0.11	Franklin		Prairie Township	39.980288	-82.940431	86FVX3J5+52	Fishing Area; Hiking Trail; Lake; Wildlife Observation Area	Prairie Township neighborhood park in the Lake Darby Estates development. Specific address and features require field verification. Source: prairietownship.org Parks and Reservations page.	https://www.prairietownship.org/491/Parks-and-Reservations	https://www.prairietownship.org/491/Parks-and-Reservations	
OH-FR-S-0045	Carl Frye Park	Park			Active		Prairie Township			walking path (7/10 mile), shelter house (reservable), picnic tables, grills, playground	318 Darbyhurst Road, Prairie Township, Franklin County, Ohio	0.14	Franklin	Columbus		39.9760624	-82.9467854	86FVX3G3+F2		Prairie Township's main park at 318 Darbyhurst Road. Features a 7/10-mile walking path and a reservable shelter house. Walking path generates a Trail record. Prairie CHAT Area Walking Maps available at township website. Source: prairietownship.org Parks and Reservations page.	https://www.prairietownship.org/491/Parks-and-Reservations	https://www.prairietownship.org/491/Parks-and-Reservations	
OH-FR-S-0046	Dalebrook Park	Park			Active		Prairie Township				Lake Darby Estates, Prairie Township, Franklin County, Ohio	0.05	Franklin	Columbus		39.9740569	-82.9503095	86FVX2FX+Q2	Playground	Prairie Township neighborhood park in the Lake Darby Estates development. Specific address and features require field verification. Source: prairietownship.org Parks and Reservations page.	https://www.prairietownship.org/491/Parks-and-Reservations	https://www.prairietownship.org/491/Parks-and-Reservations	
OH-FR-S-0047	Friendship Park	Park			Active		Prairie Township			Covered picnic tables and a gazebo make it a popular gathering spot. A shelter is available for events.	Beacon Hill Road & Deerfield Road, Prairie Township, Franklin County, Ohio	22.67	Franklin	Gahanna		40.0147192	-82.8755477	86GV247F+X2	Multi-use Trail; Picnic Shelter; Playground	Prairie Township neighborhood park at the intersection of Beacon Hill Road and Deerfield Road. Features require field verification. Source: prairietownship.org Parks and Reservations page.	https://www.prairietownship.org/491/Parks-and-Reservations	https://www.prairietownship.org/491/Parks-and-Reservations;https://www.gahanna.gov/Facilities;https://oh-gahanna.civicplus.com/DocumentCenter/View/278/Parks-and-Trails-Guide-PDF	
OH-FR-S-0048	Lakota Park	Park			Active	City of Columbus	Prairie Township				476 Redmond Road, Prairie Township, Franklin County, Ohio	1.199	Franklin	Columbus		39.974042	-82.9477144	86FVX3F2+Q2	Playground	Prairie Township neighborhood park at 476 Redmond Road. Features require field verification. Source: prairietownship.org Parks and Reservations page.	https://www.prairietownship.org/491/Parks-and-Reservations	https://www.prairietownship.org/491/Parks-and-Reservations;https://columbusrecparks.com/parks/dakota-park/	
OH-FR-S-0049	15th Avenue Street Park	Park			Active	City of Columbus	Columbus Recreation and Parks Department					0.396	Franklin	Columbus		40.0505566	-83.0258361	86GR3X2F+82			https://columbusrecparks.com/parks/15th-avenue-street-park/	https://columbusrecparks.com/parks/15th-avenue-street-park/	
