Access Point ID	Name	AP Type	Status	Parent Entity Type	Parent Entity ID	County	Township	Municipality	Address	GPS Lat	GPS Lon	Plus Code	Features	Identity Notes	Notes	URL
OH-FR-AP-0015	Hayden Falls Park Access	River Access	Active	Trail	OH-FR-T-0116	Franklin		Columbus	Hayden Falls Road, Columbus, OH	40.003012	-83.084993	86GR2W38+62	Parking; River access at base of cliff	MORPC Central Ohio Blueways facility ID: S9	City of Columbus park.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0016	Dublin Road Water Intake Dam Portage	Hazard Portage	Active	Trail	OH-FR-T-0116	Franklin		Columbus	Dublin Road, Columbus, OH	39.967537	-83.034776	86FRXX98+23	Portage river right only; No parking; Dangerous undertow near intake	MORPC Central Ohio Blueways facility ID: S10	Mandatory portage. No parking. Portage river right only. No access on river left.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0017	Confluence Park Scioto Access	River Access	Active	Trail	OH-FR-T-0116	Franklin		Columbus	Confluence Park, Columbus, OH	39.957694	-83.009975	86FRXX5R+32	Parking; Picnic area; Confluence of Scioto and Olentangy	MORPC Central Ohio Blueways facility ID: S11	City of Columbus park at confluence of Scioto and Olentangy Rivers.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0018	Genoa Park Access	River Access	Active	Trail	OH-FR-T-0116	Franklin		Columbus	Genoa Park, Columbus, OH	39.961085	-83.002066	86FRXX6X+C5	Parking; Restroom; Picnic area; ADA ramp to river	MORPC Central Ohio Blueways facility ID: S12	City of Columbus park. Stairs and ADA ramp to river.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0019	Bicentennial Park Access	River Access	Active	Trail	OH-FR-T-0116	Franklin		Columbus	Bicentennial Park, Columbus, OH	39.956783	-82.998644	86FVX242+PG	Parking; Restroom; Picnic area; Ramp to river	MORPC Central Ohio Blueways facility ID: S13	City of Columbus park.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0020	COSI / Scioto Audubon Access	River Access	Active	Trail	OH-FR-T-0116	Franklin		Columbus	COSI / Scioto Audubon Metro Park, Columbus, OH	39.950478	-82.999685	86FVX222+54	Parking; Restroom; Picnic area	MORPC Central Ohio Blueways facility ID: S14	River access behind COSI and Scioto Audubon Metro Park.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0021	Greenlawn Dam Portage	Hazard Portage	Active	Trail	OH-FR-T-0116	Franklin		Columbus	Greenlawn Dam, Columbus, OH	39.940854	-82.99989	86FVW2R2+82	Portage river right; Mandatory; No parking	MORPC Central Ohio Blueways facility ID: S15	Mandatory portage river right around Greenlawn Dam.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0022	Frank Road Access	River Access	Active	Trail	OH-FR-T-0116	Franklin		Columbus	Frank Road, Columbus, OH	39.928453	-82.994038	86FVW2H4+99	Parking (gravel); River access path	MORPC Central Ohio Blueways facility ID: S16		https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0023	Big Run Metro Park Access	River Access	Active	Trail	OH-FR-T-0116	Franklin		Columbus	Big Run Metro Park, Columbus, OH	39.906895	-82.994022	86FVW244+Q9	Parking; Restroom; Picnic area; Concrete path to river	MORPC Central Ohio Blueways facility ID: S17	Columbus and Franklin County Metro Parks.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0024	Scioto Grove Metro Park Access	River Access	Active	Trail	OH-FR-T-0116	Franklin		Columbus	Scioto Grove Metro Park, Columbus, OH	39.86397	-83.003748	86FRVX7W+HG	Parking; Restroom; Picnic area	MORPC Central Ohio Blueways facility ID: S18	Columbus and Franklin County Metro Parks.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0025	O'Shaughnessy Dam Portage	Hazard Portage	Active	Trail	OH-FR-T-0116	Franklin		Columbus	O'Shaughnessy Dam, Columbus, OH	40.154135	-83.125278	86GR5V3F+MV	DANGER: Dam. Portage required. Do not go near or under dam.	MORPC Central Ohio Blueways facility ID: SH1	DANGER! O'Shaughnessy Dam. Take out to portage around or go back.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0026	Griggs Dam Portage	Hazard Portage	Active	Trail	OH-FR-T-0116	Franklin		Columbus	Griggs Dam, Columbus, OH	40.016092	-83.093908	86GR2W84+CC	DANGER: Dam. Portage required. Do not go near or under dam.	MORPC Central Ohio Blueways facility ID: SH2	DANGER! Griggs Dam. Take out to portage around or go back.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0027	Greenlawn Dam Hazard Marker	Hazard Portage	Active	Trail	OH-FR-T-0116	Franklin		Columbus	Greenlawn Dam, Columbus, OH	39.940824	-82.99989	86FVW2R2+82	DANGER: Dam. Portage river right.	MORPC Central Ohio Blueways facility ID: SH5	DANGER! Greenlawn Dam. Take out to portage.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0028	Highbanks Metro Park Canoe Launch	River Access	Active	Trail	OH-FR-T-0001	Franklin		Columbus	Highbanks Metro Park, 9466 Columbus Pike, Lewis Center, OH	40.156186	-83.027466	86GR5X4F+F2	Parking; Restroom; Picnic area; Steep carry; Canoe/kayak launch	MORPC Central Ohio Blueways facility ID: O6	Columbus and Franklin County Metro Parks. Steep carry down to river.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0029	Sharon Woods Metro Park Canoe Launch	River Access	Active	Trail	OH-FR-T-0001	Franklin		Columbus	Sharon Woods Metro Park, 6911 Cleveland Ave, Westerville, OH	40.105164	-82.999406	86GV4242+36	Parking; Restroom; Picnic area; Moderate carry	MORPC Central Ohio Blueways facility ID: O7	Columbus and Franklin County Metro Parks. Moderate carry to river.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0030	Antrim Park River Access	River Access	Active	Trail	OH-FR-T-0001	Franklin		Columbus	Antrim Park, 5800 Olentangy River Rd, Columbus, OH	40.066978	-83.027547	86GR3X8C+QX	Parking; Restroom; Picnic area; Paved path to river	MORPC Central Ohio Blueways facility ID: O8	City of Columbus park.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0031	Olentangy River Road at Ackerman Access	River Access	Active	Trail	OH-FR-T-0001	Franklin		Columbus	Olentangy River Road at Ackerman Road, Columbus, OH	40.014975	-83.018993	86GR2X7J+XC	Limited street parking; River steps	MORPC Central Ohio Blueways facility ID: O9	Street access with limited parking.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0032	Central College Road Alum Creek Access	River Access	Active	Trail	OH-MC-T-0117	Franklin		Columbus	Central College Road at Alum Creek, Columbus, OH	40.12547	-82.921658	86GV43GH+58	Parking (gravel)	MORPC Central Ohio Blueways facility ID: A2	Access via gravel pulloff at Central College Rd.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0033	Sunbury Road Alum Creek Access	River Access	Active	Trail	OH-MC-T-0117	Franklin		Columbus	Sunbury Road Bridge at Alum Creek, Columbus, OH	40.099965	-82.916	86GV33XM+XJ	Parking (gravel)	MORPC Central Ohio Blueways facility ID: A3	Access via gravel pulloff at Sunbury Rd bridge.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0034	Hoover Reservoir Calumet Road Access	River Access	Active	Trail	OH-MC-T-0117	Franklin		Columbus	Calumet Road at Hoover Reservoir, Columbus, OH	40.066372	-82.915022	86GV338M+GX	Parking	MORPC Central Ohio Blueways facility ID: A4	Access at Hoover Reservoir, Calumet Rd.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0035	Hoover Reservoir Sunbury Road Access	River Access	Active	Trail	OH-MC-T-0117	Franklin		Columbus	Sunbury Road at Hoover Reservoir, Columbus, OH	40.022516	-82.891987	86GV24F5+26	Parking	MORPC Central Ohio Blueways facility ID: A5	Access at Hoover Reservoir, Sunbury Rd.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0036	Hoover Reservoir Harlem Road Access	River Access	Active	Trail	OH-MC-T-0117	Franklin		Columbus	Harlem Road at Hoover Reservoir, Columbus, OH	39.988007	-82.893	86FVX4Q4+6Q	Parking	MORPC Central Ohio Blueways facility ID: A6	Access at Hoover Reservoir, Harlem Rd.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0037	Blacklick Estates Metro Park Alum Creek Access	River Access	Active	Trail	OH-MC-T-0117	Franklin		Columbus	Blacklick Estates Metro Park, Columbus, OH	39.958618	-82.837	86FVX557+C5	Parking; Restroom; Picnic area	MORPC Central Ohio Blueways facility ID: A7	Columbus and Franklin County Metro Parks.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0038	Hamilton Road Alum Creek Access	River Access	Active	Trail	OH-MC-T-0117	Franklin		Columbus	Hamilton Road Bridge at Alum Creek, Columbus, OH	39.945992	-82.854272	86FVW4WW+97	Parking (gravel)	MORPC Central Ohio Blueways facility ID: A8	Gravel access at Hamilton Rd bridge.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0039	Hoover Reservoir Dam Portage	Hazard Portage	Active	Trail	OH-MC-T-0117	Franklin		Columbus	Hoover Reservoir Dam, Columbus, OH	40.107938	-82.881606	86GV4459+59	DANGER: Dam. Portage required. Do not approach dam.	MORPC Central Ohio Blueways facility ID: AH2	DANGER! Hoover Reservoir Dam. Take out to portage around or go back.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0040	Battelle Darby Creek Metro Park Alkire Road Boat Launch	Boat Launch	Active	Trail	OH-FR-T-0118	Franklin		Columbus	Battelle Darby Creek Metro Park, Alkire Road, Columbus, OH	39.902	-83.196	86FRWR23+QJ	Parking; Restroom; Picnic area; Boat launch	MORPC Central Ohio Blueways facility ID: BD1	Columbus and Franklin County Metro Parks.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0041	Big Darby Creek Plain City Road Access	River Access	Active	Trail	OH-FR-T-0118	Franklin		Plain City	Plain City Road at Big Darby Creek, OH	40.115	-83.268	86GR4P8J+2Q	Parking	MORPC Central Ohio Blueways facility ID: BD2	Access off Plain City Rd.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0042	Battelle Darby Creek Metro Park Darby Creek Drive Access	River Access	Active	Trail	OH-FR-T-0118	Franklin		Columbus	Battelle Darby Creek Metro Park, Darby Creek Drive, Columbus, OH	39.921	-83.178	86FRWRCC+9R	Parking; Restroom; Picnic area	MORPC Central Ohio Blueways facility ID: BD3	Columbus and Franklin County Metro Parks.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0043	Battelle Darby Creek Metro Park Georgesville Road Access	River Access	Active	Trail	OH-FR-T-0118	Franklin		Columbus	Battelle Darby Creek Metro Park, Georgesville Road, Columbus, OH	39.939	-83.171	86FRWRQH+HH	Parking; Restroom; Picnic area	MORPC Central Ohio Blueways facility ID: BD4	Columbus and Franklin County Metro Parks.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0044	Jerome Road Big Darby Access	River Access	Active	Trail	OH-FR-T-0118	Franklin		Columbus	Jerome Road at Big Darby Creek, Columbus, OH	40.073	-83.23	86GR3QF9+6X	Parking	MORPC Central Ohio Blueways facility ID: BD5	Access off Jerome Rd.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0045	Big Darby Creek Lowhead Dam Portage	Hazard Portage	Active	Trail	OH-FR-T-0118	Franklin		Columbus	Big Darby Creek Dam, Columbus, OH	39.955	-83.15	86FRXR3X+XX	DANGER: Lowhead dam. Portage required.	MORPC Central Ohio Blueways facility ID: BDH1	DANGER! Lowhead dam on Big Darby Creek.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0046	Big Walnut Creek Sunbury Road Access	River Access	Active	Trail	OH-MC-T-0119	Franklin		Columbus	Sunbury Road at Big Walnut Creek, Columbus, OH	40.138	-82.872	86GV44QH+66	Parking	MORPC Central Ohio Blueways facility ID: BW2	Access off Sunbury Rd.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0047	Big Walnut Creek Central College Road Access	River Access	Active	Trail	OH-MC-T-0119	Franklin		Columbus	Central College Road at Big Walnut Creek, Columbus, OH	40.115	-82.883	86GV4488+2R	Parking	MORPC Central Ohio Blueways facility ID: BW3	Access near Central College Rd.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0048	Blacklick Estates Metro Park Big Walnut Access	River Access	Active	Trail	OH-MC-T-0119	Franklin		Columbus	Blacklick Estates Metro Park, Columbus, OH	40.062633	-82.888802	86GV3476+3F	Parking; Restroom; Picnic area	MORPC Central Ohio Blueways facility ID: BW4	Columbus and Franklin County Metro Parks.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0049	Hap Cremean Put-In	River Access	Active	Trail	OH-MC-T-0119	Franklin		Columbus	Hap Cremean Water Plant, Columbus, OH	40.062283	-82.888453	86GV3466+WJ	Difficult access; No parking	MORPC Central Ohio Blueways facility ID: BW5	Difficult put-in near Hap Cremean Water Plant.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0050	Woodside Green Park Access	River Access	Active	Trail	OH-FR-T-0111	Franklin		Gahanna	Woodside Green Park, Gahanna, OH	40.045676	-82.882438	86GV24W9+72	Parking; Restroom; Picnic area; Low slope launch	MORPC Central Ohio Blueways facility ID: BW6	City of Gahanna park. Low slope and clear launch point.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0051	Creekside Park Portage Takeout	Hazard Portage	Active	Trail	OH-FR-T-0111	Franklin		Gahanna	Creekside Park, Gahanna, OH	40.021082	-82.881016	86GV24C9+CH	Parking; Restroom; Restaurants nearby; MANDATORY PORTAGE	MORPC Central Ohio Blueways facility ID: BW7	DANGER! Mandatory portage. Low footbridge downstream requires takeout here.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0052	Creekside Park Portage Put-In	Hazard Portage	Active	Trail	OH-FR-T-0111	Franklin		Gahanna	Creekside Park (downstream), Gahanna, OH	40.018	-82.879	86GV249C+69	Re-entry point after Creekside footbridge portage	MORPC Central Ohio Blueways facility ID: BW8	Re-entry point downstream of low footbridge.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0053	Big Walnut Creek Lowhead Dam Portage	Hazard Portage	Active	Trail	OH-MC-T-0119	Franklin		Columbus	Big Walnut Creek, Columbus, OH	40.019	-82.881	86GV2499+JH	DANGER: Lowhead dam. Portage required.	MORPC Central Ohio Blueways facility ID: BWH1	DANGER! Lowhead Dam on Big Walnut Creek.	https://www.morpc.org/central-ohio-blueways/
OH-FR-AP-0054	Broad Meadows Dam Portage	Hazard Portage	Active	Trail Segment	OH-FR-TS-0001	Franklin		Columbus		40.07464	-83.03495	86GR3XF8+V2	Lowhead dam; Do not paddle upstream of this point; North boundary of Section A		Mandatory portage at northern terminus of Section A. Brochure warns: do not paddle upstream. Marks the effective upstream limit of the Olentangy River Water Trail.	https://columbusrecparks.com/wp-content/uploads/2023/04/Olentangy-River-Water-Trail-Brochure.pdf
OH-FR-AP-0055	Antrim Park Trailhead	Trailhead	Active	Trail	OH-MC-T-0108	Franklin		Columbus		40.080484	-83.033705	86GR3XJ8+5G	Parking; Restroom; Bike repair station; Trail map kiosk	CRPD-listed trailhead with parking for Olentangy Trail	Greenway trailhead with parking. GPS source: DB.	https://columbusrecparks.com/facilities/trails/greenways/olentangy-trail/
OH-FR-AP-0056	Clinton-Como Park Trailhead	Trailhead	Active	Trail	OH-MC-T-0108	Franklin		Columbus		40.026037	-83.022566	86GR2XGG+CX	Parking; Trail map kiosk	CRPD-listed trailhead with parking for Olentangy Trail	Greenway trailhead with parking. GPS source: DB.	https://columbusrecparks.com/facilities/trails/greenways/olentangy-trail/
OH-FR-AP-0057	Northmoor Park Trailhead	Trailhead	Active	Trail	OH-MC-T-0108	Franklin		Columbus		40.035843	-83.02639	86GR2XPF+8C	Parking; Trail map kiosk	CRPD-listed trailhead with parking; part of Northmoor–Clinton-Como reconstruction project (2024-2025)	Greenway trailhead with parking. GPS source: DB.	https://columbusrecparks.com/facilities/trails/greenways/olentangy-trail/
OH-FR-AP-0058	Tuttle Park Trailhead	Trailhead	Active	Trail	OH-MC-T-0108	Franklin		Columbus		40.010905	-83.016345	86GR2X6M+9F	Parking; Restroom; Recreation center access; Pool access; Trail map kiosk	CRPD-listed trailhead with parking for Olentangy Trail; adjacent Tuttle Community Center and pool	Greenway trailhead with parking. GPS source: DB.	https://columbusrecparks.com/facilities/trails/greenways/olentangy-trail/
OH-FR-AP-0059	Whetstone Park Trailhead	Trailhead	Active	Trail	OH-MC-T-0108	Franklin		Columbus		40.043106	-83.027204	86GR2XVF+64	Parking; Restroom; Trail map kiosk; Access to Columbus Park of Roses	CRPD-listed trailhead with parking for Olentangy Trail	Greenway trailhead with parking. GPS source: DB.	https://columbusrecparks.com/facilities/trails/greenways/olentangy-trail/
OH-FR-AP-0060	Worthington Hills Park Trailhead	Trailhead	Active	Trail	OH-MC-T-0108	Franklin		Worthington		40.122394	-83.033249	86GR4XC8+XP	Parking; Trail map kiosk	CRPD-listed trailhead with parking for Olentangy Trail; northernmost Columbus R&P trailhead on corridor	Greenway trailhead with parking. GPS source: DB.	https://columbusrecparks.com/facilities/trails/greenways/olentangy-trail/
OH-FR-AP-0061	Academy Park Trailhead	Trailhead	Active	Trail	OH-FR-T-0100	Franklin	Mifflin Township	Gahanna		40.047343	-82.885329	86GV24W7+WV	Parking; Trail map kiosk	CRPD-listed trailhead with parking for Alum Creek Trail; City of Gahanna park on trail corridor	Greenway trailhead with parking. GPS source: DB.	https://columbusrecparks.com/facilities/trails/greenways/alum-creek-trail/
OH-FR-AP-0062	Casto Park Trailhead	Trailhead	Active	Trail	OH-FR-T-0100	Franklin		Columbus		40.082609	-82.922732	86GV33MG+2W	Parking; Trail map kiosk	CRPD-listed trailhead with parking for Alum Creek Trail	Greenway trailhead with parking. GPS source: DB.	https://columbusrecparks.com/facilities/trails/greenways/alum-creek-trail/
OH-FR-AP-0063	Cooper Sports Park Trailhead	Trailhead	Active	Trail	OH-FR-T-0100	Franklin		Columbus		40.092497	-82.93042	86GV33R9+XR	Parking; Trail map kiosk; Sports facilities adjacent	CRPD-listed trailhead with parking for Alum Creek Trail	Greenway trailhead with parking. GPS source: DB.	https://columbusrecparks.com/facilities/trails/greenways/alum-creek-trail/
OH-FR-AP-0064	Hayden Park Trailhead	Trailhead	Active	Trail	OH-FR-T-0100	Franklin		Columbus		39.98966	-82.938413	86FVX3Q6+VJ	Parking; Trail map kiosk	CRPD-listed trailhead with parking for Alum Creek Trail	Greenway trailhead with parking. GPS source: DB.	https://columbusrecparks.com/facilities/trails/greenways/alum-creek-trail/
OH-FR-AP-0065	Innis Park Trailhead	Trailhead	Active	Trail	OH-FR-T-0100	Franklin		Columbus		40.038151	-82.935205	86GV23Q7+7W	Parking; Trail map kiosk	CRPD-listed trailhead with parking for Alum Creek Trail	Greenway trailhead with parking. GPS source: DB.	https://columbusrecparks.com/facilities/trails/greenways/alum-creek-trail/
OH-FR-AP-0066	Madison Mills Park Trailhead	Trailhead	Active	Trail	OH-FR-T-0100	Franklin		Columbus		39.951458	-82.914066	86FVX32P+H9	Parking; Trail map kiosk	CRPD-listed trailhead with parking for Alum Creek Trail	Greenway trailhead with parking. GPS source: DB.	https://columbusrecparks.com/facilities/trails/greenways/alum-creek-trail/
OH-FR-AP-0067	Three Creeks Park Alum Creek Trailhead	Trailhead	Active	Trail	OH-FR-T-0100	Franklin	Madison Township	Groveport		39.88031	-82.87809	86FVV4JC+4Q	Parking; Restroom; Trail map kiosk; Natural areas; Multi-trail hub	CRPD-listed southern terminus trailhead for Alum Creek Trail; also serves Big Walnut and Blacklick Creek trails	Greenway trailhead with parking. GPS source: DB.	https://columbusrecparks.com/facilities/trails/greenways/alum-creek-trail/
OH-FR-AP-0068	Wolfe Park Trailhead	Trailhead	Active	Trail	OH-FR-T-0100	Franklin		Columbus		39.965877	-82.947795	86FVX382+9V	Parking; Trail map kiosk	CRPD-listed trailhead with parking for Alum Creek Trail	Greenway trailhead with parking. GPS source: DB.	https://columbusrecparks.com/facilities/trails/greenways/alum-creek-trail/
OH-FR-AP-0069	Hoover Nature Preserve Trailhead	Trailhead	Active	Trail	OH-FR-T-0100	Franklin		Westerville		40.129933	-82.885689	86GV44H7+XP	Parking; Trail map kiosk; Nature preserve access	Northern corridor access point for Alum Creek Trail near Hoover Reservoir; Westerville area	Greenway trailhead with parking. GPS source: Nominatim-LOW. Coordinates require confirmation.	https://columbusrecparks.com/facilities/trails/greenways/alum-creek-trail/
OH-FR-AP-0070	Shepard Park Trailhead	Trailhead	Active	Trail	OH-FR-T-0100	Franklin		Columbus		39.9846	-82.940711	86FVX3M5+RP	Parking; Trail map kiosk	Access point for Alum Creek Trail corridor in east Columbus	Greenway trailhead with parking. GPS source: DB.	https://columbusrecparks.com/facilities/trails/greenways/alum-creek-trail/
OH-FR-AP-0071	Big Walnut Park Trailhead	Trailhead	Active	Trail	OH-FR-T-0101	Franklin		Columbus		39.94179	-82.860298	86FVW4RQ+PV	Parking; Trail map kiosk	CRPD-listed trailhead with parking for Big Walnut Trail	Greenway trailhead with parking. GPS source: DB.	https://columbusrecparks.com/facilities/trails/greenways/big-walnut-trail/
OH-FR-AP-0072	Elk Run Park Trailhead	Trailhead	Active	Trail	OH-FR-T-0101	Franklin		Columbus		39.896714	-82.896972	86FVV4W3+M6	Parking; Trail map kiosk	CRPD-listed trailhead with parking for Big Walnut Trail	Greenway trailhead with parking. GPS source: DB.	https://columbusrecparks.com/facilities/trails/greenways/big-walnut-trail/
