Trail Name	Alternate Names	Trail Use Type	Trail Surface Type	Trail Origin Type	Total Length (Miles)	Counties	Governance	Partner Agencies	Status	Difficulty	Accessibility	Description	Trail History	Identity Notes	Notes	URL	Maps	Trail ID
Edgewood Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County				Hiking; natural surface			Trail at Battelle Darby Creek Metro Park. Source lists 'Edgewood, Lake, and Prairie Way Trails' as a combined 2.3-mile group. Individual mileage for Edgewood Trail not confirmed separately. IDENTITY FLAG: May be three separate named trails (Edgewood, Lake, Prairie Way) or a combined named route. Flagged for Resolution to confirm individual trail identity. Contained within Battelle Darby Creek Metro Park (FR-S-0007).		https://www.metroparks.net/parks-and-trails/battelle-darby-creek/		OH-FR-T-0011
Prairie Way Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County				Hiking; natural surface			Trail at Battelle Darby Creek Metro Park. Source lists 'Edgewood, Lake, and Prairie Way Trails' as a combined 2.3-mile group. Individual mileage for Prairie Way Trail not confirmed separately. IDENTITY FLAG: Flagged for Resolution with Edgewood Trail record above. Contained within Battelle Darby Creek Metro Park (FR-S-0007).		https://www.metroparks.net/parks-and-trails/battelle-darby-creek/		OH-FR-T-0012
Harrier Loop Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Moderate	Hiking; natural surface			Trail at Battelle Darby Creek Metro Park. Source lists 'Harrier Loop, Rail Way, and Teal Trails' as a combined 3-mile group. Individual mileage for Harrier Loop not confirmed separately. IDENTITY FLAG: May be three separate named trails. Flagged for Resolution. Contained within Battelle Darby Creek Metro Park (FR-S-0007).		https://www.metroparks.net/parks-and-trails/battelle-darby-creek/		OH-FR-T-0013
Rail Way Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Moderate	Hiking; natural surface			Trail at Battelle Darby Creek Metro Park. Source lists 'Harrier Loop, Rail Way, and Teal Trails' as a combined 3-mile group. Individual mileage not confirmed separately. IDENTITY FLAG: Flagged for Resolution with Harrier Loop Trail record above. Contained within Battelle Darby Creek Metro Park (FR-S-0007).		https://www.metroparks.net/parks-and-trails/battelle-darby-creek/		OH-FR-T-0014
Teal Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Moderate	Hiking; natural surface			Trail at Battelle Darby Creek Metro Park. Source lists 'Harrier Loop, Rail Way, and Teal Trails' as a combined 3-mile group. Individual mileage not confirmed separately. IDENTITY FLAG: Flagged for Resolution with Harrier Loop and Rail Way Trail records above. Contained within Battelle Darby Creek Metro Park (FR-S-0007).		https://www.metroparks.net/parks-and-trails/battelle-darby-creek/		OH-FR-T-0015
Hawthorn Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Hiking; natural surface			0.8-mile trail at Battelle Darby Creek Metro Park. Contained within Battelle Darby Creek Metro Park (FR-S-0007).		https://www.metroparks.net/parks-and-trails/battelle-darby-creek/		OH-FR-T-0016
Indian Ridge Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Difficult	Hiking; natural surface			0.6-mile trail at Battelle Darby Creek Metro Park. Contained within Battelle Darby Creek Metro Park (FR-S-0007).		https://www.metroparks.net/parks-and-trails/battelle-darby-creek/		OH-FR-T-0017
Osprey Lake Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Hiking; natural surface			0.5-mile trail at Battelle Darby Creek Metro Park. Contained within Battelle Darby Creek Metro Park (FR-S-0007).		https://www.metroparks.net/parks-and-trails/battelle-darby-creek/		OH-FR-T-0018
Riffle Run Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Difficult	Hiking; natural surface			0.2-mile trail at Battelle Darby Creek Metro Park. Rated difficult despite short length. Contained within Battelle Darby Creek Metro Park (FR-S-0007).		https://www.metroparks.net/parks-and-trails/battelle-darby-creek/		OH-FR-T-0019
Terrace Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Difficult	Hiking; natural surface			2.1-mile trail at Battelle Darby Creek Metro Park. Contained within Battelle Darby Creek Metro Park (FR-S-0007).		https://www.metroparks.net/parks-and-trails/battelle-darby-creek/		OH-FR-T-0020
Turkey Foot Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Hiking; natural surface			0.5-mile trail at Battelle Darby Creek Metro Park. Contained within Battelle Darby Creek Metro Park (FR-S-0007).		https://www.metroparks.net/parks-and-trails/battelle-darby-creek/		OH-FR-T-0021
Wagtail Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Hiking; natural surface			1.9-mile trail at Battelle Darby Creek Metro Park. Contained within Battelle Darby Creek Metro Park (FR-S-0007).		https://www.metroparks.net/parks-and-trails/battelle-darby-creek/		OH-FR-T-0022
Coyote Run Trail		Hiking	Natural Surface			Delaware;Franklin	Metro Parks Serving Franklin County			Easy	Hiking; cross-country skiing in season; natural surface			3.5-mile trail at Highbanks Metro Park. Doubles as cross-country ski trail when snow conditions permit. Park spans Franklin and Delaware counties. Contained within Highbanks Metro Park (FR-S-0012).		https://www.metroparks.net/parks-and-trails/highbanks/		OH-MC-T-0023
Scenic River Trail		Hiking	Natural Surface			Delaware;Franklin	Metro Parks Serving Franklin County			Easy	Hiking; cross-country skiing in season; natural surface			0.6-mile trail at Highbanks Metro Park. Doubles as cross-country ski trail when snow conditions permit. Park spans Franklin and Delaware counties. Contained within Highbanks Metro Park (FR-S-0012).		https://www.metroparks.net/parks-and-trails/highbanks/		OH-MC-T-0024
Nature Center Loop Trail		Hiking	Natural Surface			Delaware;Franklin	Metro Parks Serving Franklin County				Hiking; natural surface			Loop trail at Highbanks Metro Park connecting Nature Center to Big Meadows Picnic Area; passes through thick forests and past one of deepest ravines in central Ohio. Mileage not confirmed from available sources. Contained within Highbanks Metro Park (FR-S-0012).		https://www.metroparks.net/parks-and-trails/highbanks/		OH-MC-T-0025
Big Meadows Path			Paved			Delaware;Franklin	Metro Parks Serving Franklin County			Easy	Paved; ADA accessible			2.3-mile paved trail at Highbanks Metro Park through woods and fields. ADA accessible. Contained within Highbanks Metro Park (FR-S-0012).	[MISSING use_type — flag for review]	https://www.metroparks.net/parks-and-trails/highbanks/		OH-MC-T-0026
Dripping Rock Trail		Hiking	Natural Surface			Delaware;Franklin	Metro Parks Serving Franklin County			Moderate	Hiking; natural surface; loop trail with additional loops available			Loop trail at Highbanks Metro Park through forest past steep ravines; additional loops available. Mileage not confirmed from available sources. Contained within Highbanks Metro Park (FR-S-0012).		https://www.metroparks.net/parks-and-trails/highbanks/		OH-MC-T-0027
Overlook Trail		Hiking	Gravel			Delaware;Franklin	Metro Parks Serving Franklin County			Difficult	Gravel; hiking			2.3-mile gravel trail at Highbanks Metro Park passing through Highbanks State Nature Preserve section (Edward S. Thomas SNP area — different from Sharon Woods Edward S. Thomas SNP) to observation deck 100 feet above Olentangy River. Parent site: Highbanks Metro Park. NOTE: This 'Overlook Trail' is at Highbanks and is distinct from other 'Overlook Trail' records at other Metro Parks. Contained within Highbanks Metro Park (FR-S-0012).		https://www.metroparks.net/parks-and-trails/highbanks/		OH-MC-T-0028
Wetland Spur Trail		Hiking	Natural Surface			Delaware;Franklin	Metro Parks Serving Franklin County			Easy	Hiking; natural surface; spur off Overlook Trail			0.4-mile spur trail at Highbanks Metro Park branching from Overlook Trail; leads to wetland observation shelter. Contained within Highbanks Metro Park (FR-S-0012).		https://www.metroparks.net/parks-and-trails/highbanks/		OH-MC-T-0029
Alder Trail		Hiking	Natural Surface			Franklin;Madison	Metro Parks Serving Franklin County			Easy	Hiking; natural surface			0.6-mile trail at Prairie Oaks Metro Park. Contained within Prairie Oaks Metro Park (FR-S-0017).		https://www.metroparks.net/parks-and-trails/prairie-oaks/		OH-MC-T-0030
Beaver Lake Trail		Hiking	Natural Surface			Franklin;Madison	Metro Parks Serving Franklin County			Easy	Hiking; natural surface			0.9-mile trail at Prairie Oaks Metro Park. Contained within Prairie Oaks Metro Park (FR-S-0017).		https://www.metroparks.net/parks-and-trails/prairie-oaks/		OH-MC-T-0031
Coneflower Trail		Hiking	Natural Surface			Franklin;Madison	Metro Parks Serving Franklin County			Easy	Hiking; mostly flat and grassy through fields and wooded sections; accessible from three points along Darby Creek Greenway Trail			Trail at Prairie Oaks Metro Park accessed from multiple points along Darby Creek Greenway Trail. Mileage not confirmed individually. Runs through fields and wooded sections. Contained within Prairie Oaks Metro Park (FR-S-0017).		https://www.metroparks.net/parks-and-trails/prairie-oaks/		OH-MC-T-0032
Lake View Trail		Hiking	Natural Surface			Franklin;Madison	Metro Parks Serving Franklin County			Easy	Hiking; natural surface			0.9-mile trail at Prairie Oaks Metro Park. Source notes it includes Mound Trail as a component. Identity of Mound Trail as separate entity uncertain — flagged for Resolution. Contained within Prairie Oaks Metro Park (FR-S-0017).		https://www.metroparks.net/parks-and-trails/prairie-oaks/		OH-MC-T-0033
River Rock Trail		Hiking	Natural Surface			Franklin;Madison	Metro Parks Serving Franklin County			Easy	Hiking; natural surface			0.7-mile trail at Prairie Oaks Metro Park. Contained within Prairie Oaks Metro Park (FR-S-0017).		https://www.metroparks.net/parks-and-trails/prairie-oaks/		OH-MC-T-0034
Sycamore Plains Trail		Hiking	Natural Surface			Franklin;Madison	Metro Parks Serving Franklin County			Easy	Hiking; natural surface			2.2-mile trail at Prairie Oaks Metro Park. Source notes it includes Osage Orange Trail and Tall Grass Trail as sub-components or alternates. Identity of those as separate entities uncertain — flagged for Resolution. Contained within Prairie Oaks Metro Park (FR-S-0017).		https://www.metroparks.net/parks-and-trails/prairie-oaks/		OH-MC-T-0035
Prairie Oaks Bridle Trail		Bridle	Natural Surface			Franklin;Madison	Metro Parks Serving Franklin County			Easy	Equestrian only; natural surface			5.7-mile bridle trail at Prairie Oaks Metro Park, for horse riding only. One of several bridle trails in the Metro Parks system. Contained within Prairie Oaks Metro Park (FR-S-0017).		https://www.metroparks.net/parks-and-trails/prairie-oaks/		OH-MC-T-0036
Killdeer Trail		Hiking	Paved			Fairfield;Franklin	Metro Parks Serving Franklin County			Easy	Hiking; paved			1.1-mile trail at Pickerington Ponds Metro Park. Loops around Blue Wing Pond and leads to observation deck overlooking Pintail Marsh. Park spans Franklin and Fairfield counties. Contained within Pickerington Ponds Metro Park (FR-S-0016).		https://www.metroparks.net/parks-and-trails/pickerington-ponds/		OH-MC-T-0037
Yellowlegs Trail		Hiking	Natural Surface			Fairfield;Franklin	Metro Parks Serving Franklin County			Easy	Hiking; natural surface			0.5-mile trail at Pickerington Ponds Metro Park. NOTE: Some sources list 'Killdeer and Yellowlegs Trail' as a combined 3.4-mile route; Killdeer (1.1 mi) and Yellowlegs (0.5 mi) appear to be individually named trails that can be combined. IDENTITY FLAG: Confirm individual vs. combined entity at Resolution. Contained within Pickerington Ponds Metro Park (FR-S-0016).		https://www.metroparks.net/parks-and-trails/pickerington-ponds/		OH-MC-T-0038
Arrowhead Trail		Hiking	Natural Surface			Fairfield;Franklin	Metro Parks Serving Franklin County			Easy	Hiking; natural surface			1.7-mile trail at Pickerington Ponds Metro Park. NOTE: An 'Arrowhead Trail' also exists at Scioto Grove Metro Park — these are distinct entities at different parks. Contained within Pickerington Ponds Metro Park (FR-S-0016).		https://www.metroparks.net/parks-and-trails/pickerington-ponds/		OH-MC-T-0039
Burning Lake Trail		Hiking	Natural Surface			Fairfield;Franklin	Metro Parks Serving Franklin County			Easy	Hiking; natural surface; two loops — outer through meadows and woodlands, inner through wetland ecosystem			1.5-mile trail in northeastern portion of Pickerington Ponds Metro Park with two loop options. Contained within Pickerington Ponds Metro Park (FR-S-0016).		https://www.metroparks.net/parks-and-trails/pickerington-ponds/		OH-MC-T-0040
Meadow Lark Trail		Hiking	Natural Surface			Fairfield;Franklin	Metro Parks Serving Franklin County			Easy	Hiking; natural surface; follows Pickering Creek and loops through grassland			1.0-mile trail at Pickerington Ponds Metro Park following Pickering Creek and looping through grassland. Contained within Pickerington Ponds Metro Park (FR-S-0016).		https://www.metroparks.net/parks-and-trails/pickerington-ponds/		OH-MC-T-0041
Ironweed Trail			Paved			Franklin	Metro Parks Serving Franklin County			Easy	Paved; ADA accessible; stroller friendly; leads to Honda Wetland Education Center			2.8-mile paved trail at Glacier Ridge Metro Park. Goes through woods and fields and leads to Honda Wetland Education Center. ADA accessible, stroller and wheelchair friendly. Contained within Glacier Ridge Metro Park (FR-S-0011).	[MISSING use_type — flag for review]	https://www.metroparks.net/parks-and-trails/glacier-ridge/		OH-FR-T-0042
Marsh Hawk Trail			Paved			Franklin	Metro Parks Serving Franklin County			Easy	Paved; ADA accessible; stroller friendly			2.3-mile paved trail at Glacier Ridge Metro Park. ADA accessible, stroller and wheelchair friendly. Contained within Glacier Ridge Metro Park (FR-S-0011).	[MISSING use_type — flag for review]	https://www.metroparks.net/parks-and-trails/glacier-ridge/		OH-FR-T-0043
Red Oak Trail			Natural Surface			Franklin	Metro Parks Serving Franklin County			Moderate	Natural surface (grassy, dirt, sometimes muddy); not ADA accessible			0.8-mile natural trail at Glacier Ridge Metro Park winding through old forest. Unimproved surface, can be muddy. Contained within Glacier Ridge Metro Park (FR-S-0011).	[MISSING use_type — flag for review]	https://www.metroparks.net/parks-and-trails/glacier-ridge/		OH-FR-T-0044
Savannah Trail			Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Natural surface (grassy, dirt); equestrian friendly; cross-country skiing in season			5.0-mile natural trail at Glacier Ridge Metro Park. Horse-friendly, doubles as cross-country ski trail in winter. Longest trail in the park. Contained within Glacier Ridge Metro Park (FR-S-0011).	[MISSING use_type — flag for review]	https://www.metroparks.net/parks-and-trails/glacier-ridge/		OH-FR-T-0045
Edward S. Thomas Trail			Gravel			Franklin	Metro Parks Serving Franklin County			Easy	Gravel; ADA accessible; winds through state nature preserve			1.1-mile gravel trail at Sharon Woods Metro Park. Winds through Edward S. Thomas State Nature Preserve (child site of Sharon Woods), passing large burr oaks with observation deck. ADA accessible. Contained within Sharon Woods Metro Park (FR-S-0022).	[MISSING use_type — flag for review]	https://www.metroparks.net/parks-and-trails/sharon-woods/		OH-FR-T-0046
Spring Creek Trail		Hiking	Gravel			Franklin	Metro Parks Serving Franklin County			Moderate	Gravel; hiking; pets allowed			1.8-mile gravel trail at Sharon Woods Metro Park. Crosses two steep hills, runs alongside Spring Creek, and passes through forest. Contained within Sharon Woods Metro Park (FR-S-0022).		https://www.metroparks.net/parks-and-trails/sharon-woods/		OH-FR-T-0047
Sharon Woods Multipurpose Trail		Multi-Use	Paved			Franklin	Metro Parks Serving Franklin County			Moderate	Paved; ADA accessible; multi-use (hiking, biking)			3.8-mile paved multipurpose loop trail at Sharon Woods Metro Park. Loops around park through woods and fields. ADA accessible. Named 'Sharon Woods Multipurpose Trail' to distinguish from same generic name at other Metro Parks. Contained within Sharon Woods Metro Park (FR-S-0022).		https://www.metroparks.net/parks-and-trails/sharon-woods/		OH-FR-T-0048
Sharon Woods Lake Trail		Hiking	Paved			Franklin	Metro Parks Serving Franklin County			Easy	Paved; ADA accessible; hiking and pets			0.4-mile paved trail at Sharon Woods Metro Park running around the southern half of Schrock Lake. ADA accessible. Name qualified as 'Sharon Woods Lake Trail' to distinguish from Lake Trail records at other Metro Parks. Contained within Sharon Woods Metro Park (FR-S-0022).		https://www.metroparks.net/parks-and-trails/sharon-woods/		OH-FR-T-0049
Oak Openings Trail		Hiking	Gravel			Franklin	Metro Parks Serving Franklin County			Easy	Gravel; hiking; connects to Edward S. Thomas Trail			0.2-mile gravel trail at Sharon Woods Metro Park going through forest and fields; connects with Edward S. Thomas Trail. Contained within Sharon Woods Metro Park (FR-S-0022).		https://www.metroparks.net/parks-and-trails/sharon-woods/		OH-FR-T-0050
Goldenrod Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Grass surface; hiking and pets			1.3-mile grass-surface trail at Blendon Woods Metro Park. Contained within Blendon Woods Metro Park (FR-S-0010).		https://www.metroparks.net/parks-and-trails/blendon-woods/		OH-FR-T-0051
Sugarbush Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Natural surface; hiking; cross-country skiing in season			1.2-mile trail at Blendon Woods Metro Park. Doubles as cross-country ski trail when snow conditions permit. Some sources list up to 2 miles — mileage uncertain; 1.2 miles is most commonly cited. Contained within Blendon Woods Metro Park (FR-S-0010).		https://www.metroparks.net/parks-and-trails/blendon-woods/		OH-FR-T-0052
Blendon Woods Overlook Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Natural surface; hiking; passes through woods and crosses Ripple Rock Creek			0.6-mile trail at Blendon Woods Metro Park passing through woods and crossing Ripple Rock Creek. Name qualified as 'Blendon Woods Overlook Trail' to distinguish from identically named trails at Highbanks and Scioto Grove. Contained within Blendon Woods Metro Park (FR-S-0010).		https://www.metroparks.net/parks-and-trails/blendon-woods/		OH-FR-T-0053
Ripple Rock Trail		Hiking	Gravel			Franklin	Metro Parks Serving Franklin County			Easy	Gravel; hiking			0.8-mile gravel trail at Blendon Woods Metro Park. Contained within Blendon Woods Metro Park (FR-S-0010).		https://www.metroparks.net/parks-and-trails/blendon-woods/		OH-FR-T-0054
Blendon Woods Lake Trail		Hiking	Paved			Franklin	Metro Parks Serving Franklin County			Easy	Paved; hiking; leads to Thoreau Pond			0.5-mile paved trail at Blendon Woods Metro Park leading to Thoreau Pond. Name qualified as 'Blendon Woods Lake Trail' to distinguish from identically named trails at Sharon Woods, Three Creeks. Contained within Blendon Woods Metro Park (FR-S-0010).		https://www.metroparks.net/parks-and-trails/blendon-woods/		OH-FR-T-0055
Hickory Ridge Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Natural surface (wooded); hiking			0.25-mile wooded trail at Blendon Woods Metro Park. Contained within Blendon Woods Metro Park (FR-S-0010).		https://www.metroparks.net/parks-and-trails/blendon-woods/		OH-FR-T-0056
Brookside Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Grass surface; hiking and pets			0.2-mile grass-surface trail at Blendon Woods Metro Park. Contained within Blendon Woods Metro Park (FR-S-0010).		https://www.metroparks.net/parks-and-trails/blendon-woods/		OH-FR-T-0057
Beech Trail		Hiking	Gravel			Fairfield;Franklin	Metro Parks Serving Franklin County			Easy	Gravel; ADA accessible; hiking			0.7-mile gravel trail at Blacklick Woods Metro Park. ADA accessible. Part of interconnected short loop network with Maple Loop and Walter A. Tucker trails (combined ~2-mile loop). Contained within Blacklick Woods Metro Park (FR-S-0009).		https://www.metroparks.net/parks-and-trails/blacklick-woods/		OH-MC-T-0058
Buttonbush Trail		Hiking	Gravel			Fairfield;Franklin	Metro Parks Serving Franklin County			Easy	Gravel; ADA accessible; hiking			0.5-mile gravel trail at Blacklick Woods Metro Park. ADA accessible. Contained within Blacklick Woods Metro Park (FR-S-0009).		https://www.metroparks.net/parks-and-trails/blacklick-woods/		OH-MC-T-0059
Maple Loop Trail		Hiking	Gravel			Fairfield;Franklin	Metro Parks Serving Franklin County			Easy	Gravel; ADA accessible; hiking			Trail at Blacklick Woods Metro Park. Part of interconnected short loop network with Beech and Walter A. Tucker trails (combined ~2-mile loop). Individual mileage not confirmed separately. ADA accessible. Contained within Blacklick Woods Metro Park (FR-S-0009).		https://www.metroparks.net/parks-and-trails/blacklick-woods/		OH-MC-T-0060
Walter A. Tucker Trail		Hiking	Gravel			Fairfield;Franklin	Metro Parks Serving Franklin County			Easy	Gravel; ADA accessible; hiking			Named trail at Blacklick Woods Metro Park. Part of interconnected short loop network with Beech and Maple Loop trails. Individual mileage not confirmed separately. ADA accessible. Named after park benefactor. Contained within Blacklick Woods Metro Park (FR-S-0009).		https://www.metroparks.net/parks-and-trails/blacklick-woods/		OH-MC-T-0061
