Unit_Nm,EsmtHldr,d_Own_Name,d_Mang_Name,GAP_Sts,d_GAP_Sts,GIS_Acres,Pub_Access,d_Pub_Access,Des_Tp,d_Des_Tp,NCED_UID,Duration
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,116,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,123,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,163,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,291,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,113,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,214,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,46,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,87,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,104,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,158,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,159,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,160,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,173,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,212,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,230,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,277,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,391,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,392,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,60,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,112,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,153,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,196,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,231,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,290,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,301,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,337,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clinton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,310,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clinton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,362,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Clinton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,373,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Greene, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,585,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Greene, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,89,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Greene, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,142,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Greene, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,79,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Greene, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,165,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Greene, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,357,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Greene, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,109,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Hamilton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,174,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Highland, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,76,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Licking, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,136,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Logan, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,373,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Logan, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,136,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Logan, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,238,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Logan, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,214,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Logan, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,41,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Logan, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,131,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Madison, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,310,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Madison, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,325,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Madison, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,373,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Madison, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,184,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Madison, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,311,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Miami, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,189,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Miami, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,223,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Preble, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,448,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Seneca, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,71,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Warren, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,106,XA,Closed,AGRE,Agricultural Easement,,UNK
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Warren, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,250,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Ashland, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,199,XA,Closed,AGRE,Agricultural Easement,,PERM
"Farm and Ranch Lands Protection Program (FRPP), Ashland, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,114,XA,Closed,AGRE,Agricultural Easement,,PERM
"Farm and Ranch Lands Protection Program (FRPP), Ashland, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,127,XA,Closed,AGRE,Agricultural Easement,,PERM
"Farm and Ranch Lands Protection Program (FRPP), Ashtabula, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,162,XA,Closed,AGRE,Agricultural Easement,,PERM
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,87,XA,Closed,AGRE,Agricultural Easement,,PERM
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,761,XA,Closed,AGRE,Agricultural Easement,,PERM
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,101,XA,Closed,AGRE,Agricultural Easement,,PERM
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,47,XA,Closed,AGRE,Agricultural Easement,,PERM
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,54,XA,Closed,AGRE,Agricultural Easement,,PERM
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,263,XA,Closed,AGRE,Agricultural Easement,,PERM
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,159,XA,Closed,AGRE,Agricultural Easement,,PERM
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,160,XA,Closed,AGRE,Agricultural Easement,,PERM
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,89,XA,Closed,AGRE,Agricultural Easement,,PERM
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,266,XA,Closed,AGRE,Agricultural Easement,,PERM
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,61,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,115,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,173,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,98,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,100,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,139,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,233,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,425,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,47,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,70,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,100,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,107,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,121,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,127,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,131,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,145,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,148,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,153,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,173,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,321,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,73,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,75,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,86,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,90,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,143,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,180,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Butler, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,268,XA,Closed,AGRE,Agricultural Easement,,UNK
"Farm and Ranch Lands Protection Program (FRPP), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,321,XA,Closed,AGRE,Agricultural Easement,,PERM
"Farm and Ranch Lands Protection Program (FRPP), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,170,XA,Closed,AGRE,Agricultural Easement,,PERM
"Farm and Ranch Lands Protection Program (FRPP), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"4",4 - no known mandate for biodiversity protection,236,XA,Closed,AGRE,Agricultural Easement,,PERM
