name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	habitat_type	features	access_notes	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	notes	url_primary	urls	last_verified_date	field_verified	parent_site_id	parent_site_name	created_at	updated_at	ebird_hotspot_id
Woodlawn (New) Cemetery	Cemetery	Public Cemetery		Active	Liberty Township trustees, Hardin County	Liberty Township trustees, Hardin County							Corner of CR 60 and east side of SR 235, Liberty Township, Hardin County		Hardin			40.746100	-83.822800			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Fairview-McDonald Cemetery	Cemetery	Public Cemetery		Active	McDonald Township trustees, Hardin County	McDonald Township trustees, Hardin County							5302 SR 67, west of Kenton, McDonald Township, Hardin County		Hardin			40.591250	-83.778750			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Dunkirk Cemetery	Cemetery	Public Cemetery		Active	Blanchard Township trustees, Hardin County	Blanchard Township trustees, Hardin County							NW corner of SR 68 and TR 40, Blanchard Township, Hardin County		Hardin			40.776274	-83.641252			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Hall Cemetery	Cemetery	Public Cemetery		Active	Blanchard Township trustees, Hardin County	Blanchard Township trustees, Hardin County							East of TR 165 and 600 feet south of TR 46, Blanchard Township, Hardin County		Hardin			40.784219	-83.961887			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Roundhead Cemetery (Old)	Cemetery	Church Cemetery		Active	Roundhead Township trustees, Hardin County	Roundhead Township trustees, Hardin County							2465 CR 190, east of SR 235, north side, Roundhead Township, Hardin County		Hardin			40.560505	-83.833634			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Roundhead Cemetery (New)	Cemetery	Public Cemetery		Active	Roundhead Township trustees, Hardin County	Roundhead Township trustees, Hardin County							2800 CR 190, 1/4 mile east of SR 235, south side, Roundhead Township, Hardin County		Hardin			40.560827	-83.829837			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Henkle/Hinkle Cemetery	Cemetery	Public Cemetery		Active	Roundhead Township trustees, Hardin County	Roundhead Township trustees, Hardin County							NW corner SR 67 and SR 235, Roundhead Township, Hardin County		Hardin			40.587193	-83.841943			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Dola Cemetery	Cemetery	Public Cemetery		Active	Washington Township trustees, Hardin County	Washington Township trustees, Hardin County							North side SR 81, Washington Township, Hardin County		Hardin			40.779985	-83.675041			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Hale Cemetery	Cemetery	Public Cemetery		Active	Hale Township trustees, Hardin County	Hale Township trustees, Hardin County							North side SR 273 west of Mount Victory, east of TR 179, Hale Township, Hardin County		Hardin			40.531952	-83.550520			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Ridgeway Cemetery	Cemetery	Public Cemetery		Active	Hale Township trustees, Hardin County	Hale Township trustees, Hardin County							West side of TR 179, south of SR 273, Hale Township, Hardin County		Hardin			40.524705	-83.553768			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Patterson Cemetery	Cemetery	Public Cemetery		Active	Jackson Township trustees, Hardin County	Jackson Township trustees, Hardin County							TR 195 north of SR 81 on east side, Jackson Township, Hardin County		Hardin			40.787321	-83.528366			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Hueston Cemetery	Cemetery	Public Cemetery		Active	Jackson Township trustees, Hardin County	Jackson Township trustees, Hardin County							CR 183 and CR 20, west of Forest, Jackson Township, Hardin County		Hardin			40.804771	-83.554760			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Gunn Cemetery	Cemetery	Public Cemetery		Active	Lynn Township trustees, Hardin County	Lynn Township trustees, Hardin County							300 ft south of SR 67, west of CR 95, Lynn Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Norman Cemetery	Cemetery	Public Cemetery		Active	Lynn Township trustees, Hardin County	Lynn Township trustees, Hardin County							West side CR 115, south of SR 67W, Lynn Township, Hardin County		Hardin			40.598399	-83.673023			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Seig Cemetery	Cemetery	Public Cemetery		Active	Taylor Creek Township trustees, Hardin County	Taylor Creek Township trustees, Hardin County							CR 200, east of US 68, Taylor Creek Township, Hardin County		Hardin			40.554397	-83.654068			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Yelverton Cemetery	Cemetery	Public Cemetery		Active	Taylor Creek Township trustees, Hardin County	Taylor Creek Township trustees, Hardin County							East side of CR 115 at TR 210, Taylor Creek Township, Hardin County		Hardin			40.538644	-83.719376			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Saulisberry Park	Campground	RV Campground		Active	City of Kenton Parks & Recreation	City of Kenton Parks & Recreation			167-acre former stone quarry site west of Kenton featuring France Lake (quarry lake) for fishing, boating, and kayaking. Includes a campground with 33 campsites (electric, water/electric, and full hookup options), primitive tent camping, and monthly hookup sites. Playground, basketball court, picnic tables scattered around the lake, kayak launcher. Permit required for lake activities; purchased through City of Kenton. No swimming permitted.	Former quarry lake; open water; grassy areas; flat terrain	Basketball Court;Camping;Picnic Area;Playground;Watercraft Access		13344 State Route 67W, Kenton, OH 43326	167.40	Hardin			40.620900	-83.637400			https://cityofkenton.recdesk.com/Community/Facility/Detail?facilityId=1	https://cityofkenton.recdesk.com/Community/Facility/Detail?facilityId=1;https://www.hipcamp.com/en-US/land/ohio-saulisberry-park-france-lake-campground-2ejhwxd1	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	L3661530
France Lake	Water Site	Lake		Active	City of Kenton Parks & Recreation	City of Kenton Parks & Recreation			Former stone quarry lake at Saulisberry Park, west of Kenton. Used for fishing, boating, and kayaking. No swimming permitted. Permit required for lake activities. Surrounded by flat grassy campground terrain.	Former quarry lake; open water	Watercraft Access		Within Saulisberry Park, 13344 State Route 67W, Kenton, OH 43326		Hardin			40.620900	-83.637400			https://cityofkenton.recdesk.com/Community/Facility/Detail?facilityId=1	https://cityofkenton.recdesk.com/Community/Facility/Detail?facilityId=1	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
C.E. Wharton Memorial Park	Park	Sports Park		Active	City of Kenton Parks & Recreation	City of Kenton Parks & Recreation			21.4-acre municipal park in Kenton featuring an 18-hole disc golf course that hosts local tournaments. Walking and running paths through green space. Leisure Playground; basketball and soccer facilities. Wharton Park Bark Park (dog park) located within the park. Known as a premier disc golf venue in Hardin County.		Basketball Court;Disc Golf Course;Dog Park;Playground		Kenton, OH (specific address TBD)	21.40	Hardin							https://cityofkenton.com/parks/	https://cityofkenton.com/parks/	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Home Run Memorial Park	Recreation Facility	Sports Complex		Active	City of Kenton Parks & Recreation	City of Kenton Parks & Recreation			40.8-acre baseball and softball complex in Kenton. Seven fields with a 1/2-mile walking track, full concession stand with board office and umpire locker room, indoor batting cages, picnic areas, and parking for approximately 400 cars. Home of Kenton Little League.		Athletic Field;Ball Diamond;Parking Lot;Pavilion;Picnic Area		13625 State Route 292, Kenton, OH 43326	40.80	Hardin							https://www.kentonlittleleague.com/Default.aspx?tabid=1389798	https://www.kentonlittleleague.com/Default.aspx?tabid=1389798	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Gene Autry Park	Memorial	Civic Memorial		Active	City of Kenton Parks & Recreation	City of Kenton Parks & Recreation			Small downtown memorial park at the corner of Market Street and State Route 309, dedicated June 26, 2004. Features a 30x80-foot mural of Gene Autry (painted on adjacent building wall) on his horse Champion. Park includes a bench adorned with wagon wheels, shrubs, and a stone commemorating Gene Autry's connection to Kenton. Primarily a mural/memorial experience; small urban green space.		Monument		Corner of Market Street and State Route 309, downtown Kenton, OH		Hardin							https://www.lasr.net/travel/city.php?TravelTo=OH0506007&Attraction_ID=OH0506007a005&VA=Y	https://www.lasr.net/travel/city.php?TravelTo=OH0506007&Attraction_ID=OH0506007a005&VA=Y	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Pioneer Park	Park	Greenspace		Active	City of Kenton Parks & Recreation	City of Kenton Parks & Recreation			Municipal park on King Street in Kenton offering green space for walking and running.				King Street, Kenton, OH		Hardin							https://cityofkenton.com/parks/	https://cityofkenton.com/parks/	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Murray Park	Park	Greenspace		Active	City of Kenton Parks & Recreation	City of Kenton Parks & Recreation			Small municipal park located on North Cherry Street in Kenton, situated around a small water body.				511-599 N Cherry St, Kenton, OH 43326		Hardin							https://cityofkenton.com/parks/	https://cityofkenton.com/parks/	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Ada War Memorial Park	Park	Historic Park		Active	Village of Ada	Village of Ada			Large municipal park covering 70+ acres in the Village of Ada, established in the 1930s as a memorial to World War I veterans. Features a historic log cabin from the early 19th century restored as a public museum. Contains a stocked fishing pond for fishing, boating, and picnicking. Several hiking trails wind through wooded areas. Recreational amenities include playground, picnic shelters, basketball court, and pavilion. Ice skating in winter.	Wooded areas; stocked pond; open park lawns	Basketball Court;Cabin Rentals;Fishing Area;Hiking Trail;Historic Structure;Pavilion;Playground;Pond		401 N Park Dr, Ada, OH 45810	70	Hardin			40.768300	-83.825000			https://www.adaoh.gov/taxonomy/term/56	https://www.adaoh.gov/taxonomy/term/56;https://www.facebook.com/AdaWarMemoralPark/	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Ada Railroad Park	Historic Site	Historic Landmark	National Register of Historic Places (NRHP)	Active	Village of Ada	Village of Ada			Historic village park at the site of the former Ada Pennsylvania Railroad Station. The village purchased the lot in 1958. Features a surface parking lot, park benches, picnic tables, and new plantings while retaining historic configuration, open space, view sheds, and memorial cannon. NRHP-listed (1998) as \"Ada Pennsylvania Station and Railroad Park\" â a former railroad station building associated with the park.		Historic Structure;Parking Lot;Picnic Area		112 E Central Ave, Ada, OH 45810		Hardin							https://www.adaoh.gov/	https://www.adaoh.gov/;https://www.historic-structures.com/oh/ada/ada-pennsylvania-station/	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Gormley Park	Park	Waterfront Park		Active	Village of Forest	Village of Forest			Village park on Mary Street on the east side of Forest. Features a beautiful stocked pond, scenic walking trails, playgrounds, softball/baseball fields, tennis courts, basketball courts, and sand volleyball courts. Three pavilion buildings available for rental (including an All-Weather Pavilion with AC, kitchen, and capacity for 115 people). Gazebo. Home of the Jackson-Forest Fire Department's annual Tree Town Festival in July.	Stocked pond; park lawns; wooded edges	Ball Diamond;Basketball Court;Fishing Area;Gazebo;Hiking Trail;Pavilion;Playground;Pond;Tennis Court;Volleyball Court		Mary Street, Forest, OH 45843 (east side of village)		Hardin							https://www.villageofforest.com/parks-and-recreation/	https://www.villageofforest.com/parks-and-recreation/	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Ranger Sports Complex	Recreation Facility	Sports Complex		Active	Village of Forest	Village of Forest			Multi-field soccer complex on the site of the former Riverdale Forest Elementary School on West Dixon Street in Forest. Home of the Riverdale Youth Soccer Club (member of Black Swamp Soccer League). Hosts soccer practices and games from multiple area communities each spring and fall. Site of the Riverdale Spring Classic Soccer Tournament in May, drawing 2000+ visitors. Features a pavilion built with a Nature Works Grant (2011), handicap accessible restrooms, concession area, and covered picnic area.		ADA Accessible;Parking Lot;Pavilion;Picnic Area;Restrooms;Soccer Pitch		West Dixon Street, Forest, OH 45843 (former Riverdale Forest Elementary site)		Hardin							https://www.villageofforest.com/parks-and-recreation/	https://www.villageofforest.com/parks-and-recreation/	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Dunkirk Community Park	Park	Neighborhood Park		Active	Village of Dunkirk	Village of Dunkirk			Village park in Dunkirk. Features playground equipment, ball field, and picnic shelter.		Playground		Dunkirk, OH 45836		Hardin							https://villageofdunkirk.com/	https://villageofdunkirk.com/	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
McGuffey Village Park	Park	Neighborhood Park		Active	Village of McGuffey	Village of McGuffey			Village park in McGuffey featuring playground equipment (slides, swings, monkey bars, tether ball) located near the pool area. Gazebo along the south border of the former railroad right-of-way. Small community park with active recreational use.		Gazebo;Playground;Swimming Pool		McGuffey, OH 45859		Hardin			40.693200	-83.783500			https://www.facebook.com/villageofmcguffey/	https://www.facebook.com/villageofmcguffey/	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Mount Victory Village Park	Park	Neighborhood Park		Active	Village of Mount Victory	Village of Mount Victory			Community park in Mount Victory featuring a walking path, natural toddler playground, baseball diamond with new lights, basketball court, concession stand, bleachers, and shelter houses. Walking path completed in phases 2018-2020. Natural toddler playground area completed Spring 2020. Ongoing community improvement project funded through grants and donations led by Mt. Victory CIC (Community Improvement Corporation). Community Building (Sportsman's Club) on site available for rentals.		Athletic Field;Ball Diamond;Basketball Court;Hiking Trail;Pavilion;Playground		Mount Victory, OH 43340		Hardin							https://mountvictory.com/village-park-progress/	https://mountvictory.com/village-park-progress/;https://www.mountvictoryohio.gov/	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Ray Brown Memorial Park	Memorial	Civic Memorial		Active	Village of Alger	Village of Alger			Community park and baseball complex in Alger, officially dedicated May 14, 2026 as Ray Brown Memorial Park in honor of Baseball Hall of Fame player Ray Brown (born Alger, 1908; Negro League star with Pittsburgh Homestead Grays; inducted 2006). Features a 30x80-foot mural of Ray Brown painted by Ohio Northern University alumna Aubrey Davis. Original Alger ballpark site with baseball diamonds, playground, and pavilions; refurbished with ODNR grants in 2021 and 2023. Dedicated at event attended by Ohio Governor Mike DeWine.		Ball Diamond;Monument;Pavilion;Playground		Alger, OH 45812		Hardin							https://www.limaohio.com/top-stories/2026/05/14/alger-residents-celebrate-opening-of-ray-brown-memorial-park/	https://www.limaohio.com/top-stories/2026/05/14/alger-residents-celebrate-opening-of-ray-brown-memorial-park/	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Memorial Park Golf Club	Recreation Facility	Golf Course		Active	Hardin County Golf Foundation	Hardin County Golf Foundation	Hardin County Veterans Memorial Park District (adjacent land)		18-hole public golf course along the Scioto River in Kenton, Ohio. Originally designed by Barry Serafin in 1929. The Hardin County Golf Foundation expanded to 18 holes in 1991 by purchasing land on both sides of the Scioto River with the anticipation of eventually deeding the land to the Veterans Memorial Park District. Par 72, approximately 6,300 yards, course rating 69.7.		Golf Course	Public course; open tee times available.	15906 OH-309, Kenton, OH 43326 (adjacent to Veterans Memorial Park)		Hardin			40.647000	-83.609500			https://www.memorialparkgolfclub.com/	https://www.memorialparkgolfclub.com/	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Hickory Grove Cemetery	Cemetery	Church Cemetery		Active	Amish congregation (private religious)	Amish congregation (private religious)							North side of TR 265, near Dudley Township line, Buck Township, Hardin County		Hardin			40.599853	-83.538235			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Grassy Point Cemetery	Cemetery	Church Cemetery		Active	Amish congregation (private religious)	Amish congregation (private religious)							SE corner SR 292 and CR 200, Hale Township, Hardin County		Hardin			40.559220	-83.586920			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Saint Johns Cemetery	Cemetery	Public Cemetery		Active	Saint Johns / Saint Paul congregation	Saint Johns / Saint Paul congregation							West side TR 25, 1/2 mile north of CR 60, Liberty Township, Hardin County		Hardin			40.756197	-83.861849			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Grove Cemetery	Cemetery	Public Cemetery		Active	Grove Union / Saint Marys Catholic congregation	Grove Union / Saint Marys Catholic congregation							Jacob Parrot Blvd (CR 171) between SR 67 and SR 309, Kenton/Pleasant Township, Hardin County. c.1872		Hardin			40.648171	-83.587572			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Pleasant Hill (New) Cemetery	Cemetery	Public Cemetery		Active	Pleasant Hill Church congregation	Pleasant Hill Church congregation							SR 235 north of SR 67 and CR 150, east side at church, Roundhead Township, Hardin County		Hardin			40.827361	-83.908292			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Briedenbaugh Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							Near SW corner of CR 64 and CR 167, Blanchard Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Draper Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							660 feet north of CR 70, Blanchard Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Fry Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							800 feet east of CR 135, 1/2 mi TR 40, Blanchard Township, Hardin County		Hardin			40.476652	-83.841874			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Show Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							CR 167 near Blanchard River, Blanchard Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Sorgen Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							500 ft south of CR 60, east of CR 135, Blanchard Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Hatcher Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							SR 31, Buck Township, Hardin County. c.1882		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
