Polar Park,Public School Property,"Growing outdoor space with walking trails, shelter, and disc golf practice nets; maintained by Northridge Schools Parks & Recreation class",Active,Northridge Local Schools,Northridge Local Schools,,"Near 2008 Timber Ln, Dayton, OH 45414",,Harrison Township,Montgomery,"39.8377,-84.1951",,,,,,,,,https://harrisontownship.org/services/parks-recreation/,
Shiloh Park,Municipal Park,"Neighborhood park with green space, shelter, and recreation amenities",Active,Harrison Township,Harrison Township,,"Markey Rd near Philadelphia Dr, Dayton, OH 45415",9,Harrison Township,Montgomery,"39.8098,-84.2497",,,,,,,,"Often mislisted online as ""Shiloh Springs Park.""",https://harrisontownship.org/services/parks-recreation/,
Sinclair Park,Municipal Park,"Community park with playground, ballfields, and open space",Active,Harrison Township,Harrison Township,,"685 Shoup Mill Road, Dayton, OH 45415",19,Harrison Township,Montgomery,"39.809,-84.2608",,,,,,,,,https://harrisontownship.org/services/parks-recreation/,
The Rat Skate Park,Public School Property,"State-of-the-art skate park with ramps, rails, pump track, and lighting; maintained by Northridge Schools students",Active,Northridge Local Schools,Northridge Local Schools,,"On Northridge Schools campus, 2011 Timber Ln, Dayton, OH 45414",,Harrison Township,Montgomery,"39.8379,-84.1942",,,,,,,,,https://harrisontownship.org/services/parks-recreation/,
Belle Plain Park,Municipal Park,Neighborhood park with playground and greenspace,Active,City of Huber Heights,City of Huber Heights,,"7715 Belle Plain Dr, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,,
Canal Lock Park,Municipal Park,Historical lock site and mini-park,Active,City of Huber Heights,City of Huber Heights,,"5999 Endicott Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,Historical canal feature,,
Carriage Hill MetroPark,Park District Park,"Large regional MetroPark with trails, historic farm, visitor center, prairie, equestrian facilities",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"7800 E Shull Rd, Huber Heights, OH",900,Huber Heights,Montgomery,"39.878327,-84.094407",,,,,,,,,https://www.metroparks.org/,
Chambersburg Road Trail Access,Trail Access Point,Access point to regional bikeway network,Public,Miami Valley Trails,,,"Chambersburg Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,https://www.miamivalleytrails.org,
Community Garden,Municipal Park,Community garden plots and greenspace,Active,City of Huber Heights,City of Huber Heights,,"4301 Powell Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,,
Community Park,Municipal Park,"Playground, shelter, open greenspace",Active,City of Huber Heights,City of Huber Heights,,"5401 Chambersburg Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,,
Cottonwood Park,Municipal Park,Neighborhood park with playground and greenspace,Active,City of Huber Heights,City of Huber Heights,,"6000 Fishburg Rd, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Dial Park,Municipal Park,Neighborhood park with greenspace and bike amenity planning,Active,City of Huber Heights,City of Huber Heights,,"5046 Longford Rd, Huber Heights, OH 45424",,Huber Heights,Montgomery,"39.86457,-84.10863",,,,,,,,,https://hhoh.recdesk.com/Community/Facility/Detail?facilityId=28,
Fishburg Road Trail Access,Trail Access Point,Access point to regional bikeway network,Public,Miami Valley Trails,,,"Fishburg Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,https://www.miamivalleytrails.org,
Flyer Field at Kitty Hawk Park,Municipal Park,Open greenspace with dog park,Active,City of Huber Heights,City of Huber Heights,,"5210 Sabra Ave, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,,
Gary Sherman Park,Municipal Park,Neighborhood park with playground and lawn,Active,City of Huber Heights,City of Huber Heights,,"6109-6121 Taylorsville Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,,
Herbert C. Huber Community Park,Municipal Park,"Also known as Community Park; playground, shelter, open greenspace",Active,City of Huber Heights,City of Huber Heights,,"8625 Brandt Pike, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Huber Heights Athletic Fields,Recreation Facility,City-managed athletic fields for youth sports,Active,City of Huber Heights,City of Huber Heights,,"Multiple sites, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Huber Heights Senior Center,Recreation Facility,"Senior programs, events, and community activities",Active,City of Huber Heights,City of Huber Heights,,"6428 Chambersburg Rd, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Huber Heights YMCA,Recreation Facility,"City-partnered YMCA facility offering fitness, aquatics, and programs",Active,YMCA; City of Huber Heights,YMCA; City of Huber Heights,,"7251 Shull Rd, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Miami Villa Park,Municipal Park,Mini-park with greenspace,Active,City of Huber Heights,City of Huber Heights,,"6275 Rip Rap Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,,
Monita Field Bike and Skate Park,Municipal Park,Bike and skate park with ramps and paved area,Active,City of Huber Heights,City of Huber Heights,,"5045 Fishburg Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,,
Music Center at The Heights,Recreation Facility,City-owned outdoor amphitheater and event venue,Active,City of Huber Heights,City of Huber Heights,,"6800 Executive Blvd, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Rip Rap Park,Municipal Park,Riverfront park with trail access,Active,City of Huber Heights,City of Huber Heights,,"6281 Rip Rap Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,Great Miami River Trail,,
Rip Rap Road Trail Access,Trail Access Point,Access point to regional bikeway network,Public,Miami Valley Trails,,,"Rip Rap Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,Trail,,,,,,,https://www.miamivalleytrails.org,
Shullgate Park,Municipal Park,Neighborhood park with playground and open field,Active,City of Huber Heights,City of Huber Heights,,"6045 Shull Rd, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Thomas A. Cloud Park,Municipal Park,"Largest city park; shelters, fields, trails, playgrounds",Active,City of Huber Heights,City of Huber Heights,,"4707 Brandt Pike, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Twin Creeks Park,Municipal Park,Neighborhood park with playground and greenspace,Active,City of Huber Heights,City of Huber Heights,,"4480 Leston Dr, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Veterans Memorial,Municipal Park,Memorial plaza and civic greenspace,Active,City of Huber Heights,City of Huber Heights,,"Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,,
Arthur O. Fisher Park,County Park,"Large county-owned park featuring ponds, ball diamonds, courts, shelters, and open natural areas; formerly home of the Montgomery County Fairgrounds.",Active,Montgomery County Parks & Recreation,Montgomery County Parks & Recreation,,"5661 Dayton-Liberty Road, Dayton, OH 45427",150,Jefferson Township,Montgomery,"39.733,-84.2848","J9Q5+7H Dayton, Ohio",,,,,,,"Named for Judge Arthur O. Fisher, a Tuskegee Airman and local civil rights figure.","https://www.daytonlocal.com/directory/profiles/arthur-o-fisher-park/; https://www.google.com/maps?q=39.7330,-84.2848",
Bear Creek Cemetery,Cemetery,Historic cemetery with mature canopy and passive walking access,Active,Jefferson Township,Jefferson Township,,"1800 Union Rd, Dayton, OH 45417",,Jefferson Township,Montgomery,"39.7405,-84.3089",,,,,,,,"Qualifies due to canopy, wildlife presence, and walkable grounds.",,
Sycamore State Park East Access Trailhead,Trailhead,Informal eastern access point to Sycamore State Park via roadside pull-off,Active,Ohio Department of Natural Resources,,,"Near 4800 Diamond Mill Rd, Dayton, OH 45417",,Jefferson Township,Montgomery,"39.7708,-84.3301",,,,,,,,Verified roadside access point to state park trail system; Great Miami River Trail feeder segment.,,
Union Road Cemetery,Cemetery,Historic cemetery with open lawn and public walking access,Active,Jefferson Township,Jefferson Township,,"2200 Union Rd, Dayton, OH 45417",,Jefferson Township,Montgomery,"39.7489,-84.3082",,,,,,,,Qualifies due to passive recreation and ecological value.,,
