RiverScape MetroPark,Park District Park,Signature downtown riverfront park and event space.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,45,Dayton,Montgomery,"39.7631,-84.1889",,,,,,,Overlook,Downtown Dayton,,
Riverside Drive Bikeway Access,Access Point,Trail access point along the Great Miami River corridor.,Active,City of Dayton,City of Dayton,,"Riverside Dr., Dayton, OH",,Dayton,Montgomery,,,,Bikeway Access Point,Great Miami River Trail,,Access Point,,,https://www.miamivalleytrails.org/trails/great-miami-river-trail,
Riverside Park,Municipal Park,Open green space with river corridor access and trail connectivity.,Active,City of Dayton,City of Dayton,,"Great Miami River, Dayton, OH",,Dayton,Montgomery,,,,,,,,River Access,,https://www.miamivalleytrails.org/trails/great-miami-river-trail,
Rosedale Drive Green,Municipal Park,Small municipal green space along Rosedale Drive.,Active,City of Dayton,City of Dayton,,"Rosedale Dr., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
Sand Ridge Prairie Conservation Area,Park District Conservation Area,Prairie and savanna habitat on glacial outwash soils; MetroParks manages restoration and invasive species removal.,Active,,Five Rivers MetroParks,,,5,Dayton,Montgomery,,,,,,,,,,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/
Sandalwood Playground,Municipal Park,Neighborhood playground space.,Active,City of Dayton,City of Dayton,,"Sandalwood Dr., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
Sheridan Park,Municipal Park,"Playground, basketball court, open green space, and picnic tables.",Active,City of Dayton,City of Dayton,,"1030 Harvard Blvd., Dayton, OH 45406",,Dayton,Montgomery,"39.783,-84.228","86C2+X2 Dayton, Ohio",,,,,Playground; Basketball Court; Picnic Shelter,,https://www.mypacer.com/parks/165643/sheridan-park-dayton,,
Shiloh Woods Conservation Area,Park District Conservation Area,Large forest conservation area managed for habitat protection.,Active,,Five Rivers MetroParks,,,385,Dayton,Montgomery,,,,,,,,,,,
St. Margaret's Park,Municipal Park,"Playground, picnic tables, restrooms, and water availability.",Active,City of Dayton,City of Dayton,,"3500 Park Overlook Dr., Dayton, OH 45417",,Dayton,Montgomery,"39.744,-84.245","86C3+RW Dayton, Ohio",,,,,Playground; Picnic Shelter; Restroom,,https://www.daytonohio.gov/Facilities/Facility/Details/St-Margarets-Park-Shelter-21,,
Stewart Street Bikeway Access,Trail Access Point,Bikeway access node along the Great Miami River Trail.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Stewart St. Bridge, Dayton, OH",,Dayton,Montgomery,,,Bikeway Access Point,Great Miami River Trail,,Access Point,,,,,
Stewart Street Green,Municipal Park,Small municipal green space along Stewart Street.,Active,City of Dayton,City of Dayton,,"Stewart St., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
Stroop Road Green,Municipal Park,Small municipal green space along Stroop Road.,Active,City of Dayton,City of Dayton,,"Stroop Rd., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
Sunrise MetroPark,Park District Park,Small riverfront overlook park with views of downtown.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,3,Dayton,Montgomery,"39.7581,-84.206831",,,,,,,Overlook,,,
Triangle Park,Municipal Park,"Neighborhood park with playground, ballfields, picnic shelter, restrooms, and open green space.",Active,City of Dayton,City of Dayton,,"1700 Embury Park Rd., Dayton, OH 45414",,Dayton,Montgomery,"39.78503,-84.199596","86GJ+Q2 Dayton, Ohio",,,,,Playground; Baseball Diamond; Picnic Shelter; Restroom,,https://www.daytonohio.gov/facilities/facility/details/triangleparkpavilion-37,,
Walnut Hills Park,Municipal Park,"Playground, courts, restrooms, spray park, and open green space.",Active,City of Dayton,City of Dayton,,"2340 Wayne Ave., Dayton, OH 45420",7,Dayton,Montgomery,"39.7445,-84.1003","86C9+R4 Dayton, Ohio",,,,,Playground; Basketball Court; Restroom; Aquatics,,https://www.daytonohio.gov/facilities/facility/details/Walnut-Hills-Park-Shelter-33,,
Washington Park,Municipal Park,Playground and open green space with shaded areas.,Active,City of Dayton,City of Dayton,,"Dayton, OH 45403",,Dayton,Montgomery,"39.7700,-84.1440",,,,,,,Playground,,https://www.mapquest.com/us/ohio/washington-park-652512335,
Wegerzyn Gardens MetroPark,Park District Park,"Botanical gardens, children's garden, and river corridor trails within a large MetroPark.",Active,Five Rivers MetroParks,Five Rivers MetroParks,,,88,Dayton,Montgomery,"39.7986,-84.1917",,,,,,,Gardens; Nature Trail,,https://www.metroparks.org,
Welcome Park,Municipal Park,"Bike playground with pump tracks, flow trails, and multi?use trail features.",Active,City of Dayton,City of Dayton,,"1437 S. Edwin C. Moses Blvd., Dayton, OH 45402",,Dayton,Montgomery,"39.7375,-84.1992",,,,,,,Multi?Use Trail,,https://daytonbikeyard.com/,
Wesleyan MetroPark,Park District Park,Riverfront park with trails and access to Wolf Creek.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,62,Dayton,Montgomery,,,,,,,,River Access; Nature Trail,,,
Western Hills Park,Municipal Park,"Playground, courts, picnic areas, and restrooms.",Active,City of Dayton,City of Dayton,,"600 N. Westwood Ave., Dayton, OH 45402",,Dayton,Montgomery,"39.765,-84.238","86C2+5C Dayton, Ohio",,,,,Playground; Basketball Court; Picnic Shelter; Restroom,,https://www.daytonohio.gov/Facilities/Facility/Details/Western-Hills-Park-Shelter-34,,
Wolcott Park,Municipal Park,"Playground, basketball court, picnic tables, and open green space.",Active,City of Dayton,City of Dayton,,"620 E. Helena St., Dayton, OH 45404",,Dayton,Montgomery,"39.781,-84.178","86F7+Q6 Dayton, Ohio",,,,,Playground; Basketball Court; Picnic Shelter,,https://www.mypacer.com/parks/165644/wolcott-park-dayton,,
Wolf Creek Corridor,Municipal Park,Trail access and river corridor greenspace.,Active,City of Dayton,City of Dayton,,"Wolf Creek, Dayton, OH",,Dayton,Montgomery,,,,,,,,River Access,,https://www.miamivalleytrails.org/trails/wolf-creek-trail,
Woodland Cemetery & Arboretum,Cemetery; Arboretum,Historic rural cemetery and Level II arboretum with extensive tree collections.,Active,Woodland Cemetery Association,Woodland Cemetery Association,,"118 Woodland Ave., Dayton, OH 45409",200,Dayton,Montgomery,"39.741,-84.178","85CW+QW Dayton, Ohio",,,,,Arboretum; Historic Site,One of the oldest rural cemeteries in the U.S.,https://woodlandcemetery.org,,
Wright Brothers Hill,Federal Memorial Green,Memorial hilltop with Olmsted?designed landscape and aviation monuments.,Active,National Park Service,National Park Service,,"2380 Memorial Road, Dayton, OH 45433",27,Dayton,Montgomery,"39.814,-84.071","86QV+XW Dayton, Ohio",,,,,Historic Marker,Overlooks Huffman Prairie Flying Field; part of Dayton Aviation Heritage NHP.,https://www.nps.gov/places/wright-brothers-memorial.htm,,
Xenia Avenue Stormwater Green,Controversial,Stormwater green infrastructure site with drainage features and vegetation.,Active,City of Dayton,,,"Xenia Ave., Dayton, OH",,Dayton,Montgomery,,,,,,,,Rain Garden,,https://www.daytonohio.gov/409/Storm-Water-Management-Program,
Bruin Park,Municipal Park,Neighborhood park within Englewood's municipal park system.,Active,City of Englewood,City of Englewood,,"201 N Main Street, Englewood, OH 45322",,Englewood,Montgomery,"39.88013,-84.30313",,,,,,,Playground; Picnic Shelter; Picnic Tables,Features from City of Englewood facility page,https://www.englewood.oh.us/Facilities/Facility/Details/Bruin-Park-1,
Centennial Park,Municipal Park,Community park providing multi?use recreation space within Englewood's park system.,Active,City of Englewood,City of Englewood,,"321 Union Boulevard, Englewood, OH 45322",,Englewood,Montgomery,"39.87343,-84.3118",,,,,,,Fishing Pond; Picnic Shelter; Playground,Amenities summarized from city bikeways and recreation brochure,https://www.englewood.oh.us/189/Parks-Playgrounds,
Doctor Bowers Lakes,Municipal Park,Lakeside public open space within Englewood's park system.,Active,City of Englewood,City of Englewood,,"Englewood, OH 45322",,Englewood,Montgomery,,,,,,,,,,,https://www.englewood.oh.us/189/Parks-Playgrounds
Englewood MetroPark,Park District Park,"Large regional natural area with waterfalls, forest, river corridor, dam, and multiple trail systems.",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"4361 National Rd., Englewood, OH",1900,Englewood,Montgomery,"39.8795,-84.316","86GJ+Q4 Englewood, Ohio",,,,,Waterfall; Nature Trail,Includes Martindale Falls; Includes Englewood Dam (MCD) and multiple waterfalls,https://www.metroparks.org/places-to-go/englewood-metropark/,,
Englewood Reserve (formerly Englewood Hills South Park),Municipal Park,Wooded neighborhood park with trails and natural areas.,Active,City of Englewood,City of Englewood,,"400 S. Main St., Englewood, OH",,Englewood,Montgomery,,,,,,,,Nature Trail,Formerly Englewood Hills South Park,https://www.englewood.oh.us/,
Englewood Reserve Bikeway,Land Trail,Paved bikeway corridor within Englewood's recreational network.,Active,City of Englewood,City of Englewood,,"Englewood, OH 45322",,Englewood,Montgomery,,,,Trail System,,Linear,,,Multi-Use Trail,Segment and amenity details generalized from city bikeways brochure,https://www.englewood.oh.us/189/Parks-Playgrounds
Englewood YMCA,Recreation Facility,Recreation facility and grounds associated with the Englewood YMCA.,Active,City of Englewood,City of Englewood,,"West National Road, Englewood, OH 45322",,Englewood,Montgomery,,,,,,,,,,,https://www.englewood.oh.us/189/Parks-Playgrounds
Gazebo Park,Municipal Park,Small municipal park centered on a gazebo structure.,Active,City of Englewood,City of Englewood,,"Englewood, OH 45322",,Englewood,Montgomery,,,,,,,,Pavilion,,https://www.englewood.oh.us/189/Parks-Playgrounds,
Government Center Playground,Municipal Park,Playground area at or near the Englewood Government Center.,Active,City of Englewood,City of Englewood,,"Englewood, OH 45322",,Englewood,Montgomery,,,,,,,,Playground,,https://www.englewood.oh.us/189/Parks-Playgrounds,
Jake Grossnickle Memorial Park,Municipal Park,Memorial park serving surrounding neighborhoods within Englewood's park system.,Active,City of Englewood,City of Englewood,,"137 Heathcliff Road, Englewood, OH 45322",,Englewood,Montgomery,,,,Trailhead,Englewood Reserve Bikeway,,Trailhead,3,,Memorial park,https://www.englewood.oh.us/189/Parks-Playgrounds
Jake Grossnickle Park,Municipal Park,Neighborhood park with playground and open space.,Active,City of Englewood,City of Englewood,,,,Englewood,Montgomery,,,,,,,,Playground,,https://www.englewood.oh.us/,
Oberer Field,Municipal Park,Athletic field complex used for youth sports and community events.,Active,City of Englewood,City of Englewood,,"115 Union Blvd., Englewood, OH",,Englewood,Montgomery,,,,,,,,Football Field; Soccer Pitch,,https://www.englewood.oh.us/,
Oberer Field,Municipal Park,Athletic field used for community sports within Englewood's park system.,Active,City of Englewood,City of Englewood,,"Arcadia Boulevard, Englewood, OH 45322",,Englewood,Montgomery,,,,,,,,Football Field; Soccer Pitch,,https://www.englewood.oh.us/189/Parks-Playgrounds,
Union & Old Salem Trail Spur,Bikeway Spur,Connector spur between Union and Old Salem Rd. bikeways.,Active,City of Englewood,City of Englewood,,"Old Salem Rd., Englewood, OH 45322",,Englewood,Montgomery,"39.87,-84.307","86MR+H8 Englewood, Ohio",Bikeway Spur,,Connector,Connector,,,Part of the regional bikeway system.,,
Ward Field,Municipal Park,Athletic field providing organized and informal sports space.,Active,City of Englewood,City of Englewood,,"Hoke Road, Englewood, OH 45322",,Englewood,Montgomery,,,,,,,,Football Field; Soccer Pitch,,https://www.englewood.oh.us/189/Parks-Playgrounds,
