Miamisburg Community Center,Recreation Facility,Primary community center with programs and activities,Active,City of Miamisburg,City of Miamisburg,,305 E. Central Ave.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Miamisburg Community Center North,Recreation Facility,Community recreation building,Active,City of Miamisburg,City of Miamisburg,,224 Maple Ave.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Miamisburg Mound,State Historical Site,"One of the largest Adena mounds in the U.S., with stairs and overlook; largest Adena burial mound in Ohio",Active,Ohio History Connection,,,"900 Mound Rd., Miamisburg, OH 45342",37,Miamisburg,Montgomery,"39.633,-84.287","78X3+6V Miamisburg, Ohio",,,,,,,Major prehistoric earthwork,https://www.miamisburg.org; www.ohiohistory.org
Mound Park,Municipal Park,Historic park adjacent to Miamisburg Mound State Memorial; playground; shelters; restrooms,Active,City of Miamisburg,City of Miamisburg,,900 Mound Rd.,,Miamisburg,Montgomery,,,,,,,,,Adjacent to prehistoric Adena Miamisburg Mound,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf; https://www.playmiamisburg.com/parks_facilities/parks/
Rice Field,Municipal Park,Athletic field complex,Active,City of Miamisburg,City of Miamisburg,,9131 Dayton Cincinnati Pk.,,Miamisburg,Montgomery,,,,,,,,,Primarily athletic use.,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Riverfront Park,Municipal Park,"Riverfront civic park with amphitheater, splash pad, playground, and bikeway access",Active,City of Miamisburg,City of Miamisburg,,3 N. Miami Ave.,,Miamisburg,Montgomery,,,,,,,,,Major civic riverfront park and event venue.,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf; https://www.playmiamisburg.com/parks_facilities/parks/
Runyeon Park,Municipal Park,Neighborhood park with open space and local access,Active,City of Miamisburg,City of Miamisburg,,1144 Orchard Dr.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Senior Parkway,Municipal Park,Civic greenspace along Pearl Street,Active,City of Miamisburg,City of Miamisburg,,25 W. Pearl St.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Simms Park,Municipal Park,Neighborhood greenspace,Active,City of Miamisburg,City of Miamisburg,,King Richard Pkwy.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Sixth & Pearl Playlot,Municipal Park,Small neighborhood playlot,Active,City of Miamisburg,City of Miamisburg,,Sixth & Pearl St.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Soccer Complex,Municipal Park,Large athletic complex with multiple soccer fields,Active,City of Miamisburg,City of Miamisburg,,4350 Medlar Rd.,,Miamisburg,Montgomery,,,,,,,,,Athletic facility.,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Sunflower Park,Municipal Park,Neighborhood park with playground and open space,Active,City of Miamisburg,City of Miamisburg,,2432 Sunflower Dr.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Sycamore Trails Aquatic Center,Recreation Facility,"Outdoor municipal pool complex with slides, lap lanes, and leisure pool",Active,City of Miamisburg,City of Miamisburg,,400 S. Heincke Rd.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf; https://www.playmiamisburg.com/parks_facilities/parks/
Sycamore Trails Park,Municipal Park,"Large multi-use park with trails, shelters, and nature areas",Active,City of Miamisburg,City of Miamisburg,,1681 Maue Rd.; 214 S. Heincke Rd.,,Miamisburg,Montgomery,,,,,,,,,Two official entrances; unified park entity.,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Veterans Memorial Park,Municipal Park,Memorial park with monuments and landscaped grounds,Active,City of Miamisburg,City of Miamisburg,,426 E. Central Ave.,,Miamisburg,Montgomery,,,,,,,,,Formerly known as Library Park.,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Westover Park,Municipal Park,Neighborhood park with open green space,Active,City of Miamisburg,City of Miamisburg,,400 Schroeder St.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
"Wright ""B"" Flyer Hangar and Museum",Museum,"Aviation museum and hangar featuring the Wright ""B"" Flyer replica",Active,"Wright ""B"" Flyer Inc.","Wright ""B"" Flyer Inc.",,"10550 Springboro Pike, Miamisburg, OH 45342",,Miamisburg,Montgomery,"39.616,-84.229","77XW+JH Miamisburg, Ohio",,,,,,,Located at Dayton-Wright Brothers Airport,https://www.wright-b-flyer.org
Great Miami River Trail Corridor (MetroParks),Controversial,Riverfront bikeway corridor managed by MetroParks,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Along Great Miami River, Montgomery County",,Montgomery,Montgomery,,,,,,,,,Part of regional bikeway network,
Deer Meadow Connector Trail,Municipal Park,Short paved connector linking Deer Meadow Park to the regional trail system,Active,City of Moraine,City of Moraine,,Near 2650 Blanchard Avenue,,Moraine,Montgomery,,,,,,,,,Connector trail,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Deer Meadow Park,Municipal Park,Playground equipment; picnic tables; grills; shelters; basketball court,Active,City of Moraine,City of Moraine,,2650 Blanchard Avenue,5,Moraine,Montgomery,,,,,,,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
East River Landing,Municipal Park,Boat ramp; fishing access; picnic tables; riverfront green space,Active,City of Moraine,City of Moraine,,3800 East River Road,2,Moraine,Montgomery,,,,,,,,,Great Miami River access,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Garden Plots,Municipal Park,Community garden plots available for seasonal rental,Active,City of Moraine,City of Moraine,,4200 Dryden Road,2,Moraine,Montgomery,,,,,,,,,Community agriculture site.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
George Taylor Park,Municipal Park,Playground equipment; picnic tables; grills; shelters; basketball courts; tennis court,Active,City of Moraine,City of Moraine,,4709 E. Venetian Way,2,Moraine,Montgomery,,,,,,,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
German Village Park,Municipal Park,Playground equipment; picnic tables; grills; shelters,Active,City of Moraine,City of Moraine,,4700 Pinnacle Road,1,Moraine,Montgomery,,,,,,,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Great Miami Valley Trail,Municipal Park,Regional paved multi-use trail following the Great Miami River,Active,City of Moraine,City of Moraine,,Various access points,,Moraine,Montgomery,,,,,,,,,Part of the regional trail network.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Lehigh Park,Municipal Park,Playground equipment; picnic tables; grills; shelters,Active,City of Moraine,City of Moraine,,2607 Lehigh Place,0.5,Moraine,Montgomery,,,,,,,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Ora Everetts Park,Municipal Park,Playground; picnic tables; grills; shelters; ball fields; 1/4?mile walking path,Active,City of Moraine,City of Moraine,,3050 Kreitzer Road,13,Moraine,Montgomery,,,,,,,,,Situated on the same site as the Gerhardt Civic Center.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Pinnacle Park,Municipal Park,Playground; picnic tables; grills; shelters; basketball court,Active,City of Moraine,City of Moraine,,4800 Pinnacle Road,3,Moraine,Montgomery,,,,,,,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Pinnacle Road Bike Path,Municipal Park,Paved bike path connecting residential areas to the Johnny Appleseed Trail,Active,City of Moraine,City of Moraine,,Pinnacle Road corridor,,Moraine,Montgomery,,,,,,,,,Connector trail,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Pinnacle Tot Lot,Municipal Park,Playground; picnic tables; grills; shelters; courts; hiking trail spur,Active,City of Moraine,City of Moraine,,3670 Charlotte Mill Drive,1,Moraine,Montgomery,,,,,,,,,Trailhead for a .1?mile spur to the Johnny Appleseed Trail.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Riverview Park,Municipal Park,Playground; picnic tables; grills; shelters,Active,City of Moraine,City of Moraine,,3021 Lakehurst Court,1,Moraine,Montgomery,,,,,,,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Wax Park,Municipal Park,"Community park with playgrounds, shelters, ballfields, and fishing pond",Active,City of Moraine,City of Moraine,,3800 Main Street,38,Moraine,Montgomery,,,,,,,,,Largest and most popular Moraine park.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Wright Brothers Pinnacles Trail,Municipal Park,Natural surface trail with scenic overlooks and historic interpretive points,Active,City of Moraine,City of Moraine,,Pinnacles area off Pinnacle Road,,Moraine,Montgomery,,,,,,,,,Historic and scenic trail.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Buckeye Pheasant Hunting Preserve,Private Hunting Reserve,Privately operated upland game preserve offering guided and unguided pheasant hunts; habitat includes fields and mixed cover,Private,Private,,,"1601 Diamond Mill Rd, New Lebanon, OH 45345",,New Lebanon,Montgomery,"39.7419,-84.3308",,,,,,,,Hunting preserve; upland game habitat,https://www.buckeyepheasanthunting.com
Don Rusk Park (Fuls Park),Municipal Park,"Community park with ballfields, paved loop trail, playground; dog-friendly",Active,Village of New Lebanon,Village of New Lebanon,,"209-233 S Fuls Rd, New Lebanon, OH 45345",,New Lebanon,Montgomery,"39.7399,-84.388",,,,,,,,,https://www.newlebanonoh.com
Stanley Jones Park,Municipal Park,Community park with open recreation space and athletic use,Active,Village of New Lebanon,Village of New Lebanon,,"198 S Clayton Rd, New Lebanon, OH 45345",,New Lebanon,Montgomery,"39.7417,-84.3948",,,,,,,,Recreation fields; open space,https://www.newlebanonoh.com
Elizabeth Gardens,Municipal Park,Formal public garden with landscaped beds and seating areas,Active,City of Oakwood,City of Oakwood,,Elizabeth Ct.,,Oakwood,Montgomery,,,,,,,,,Companion site to Smith Gardens,
Fairmont Triangle,Municipal Park,Small landscaped traffic?island green with ornamental plantings,Active,City of Oakwood,City of Oakwood,,Far Hills Ave. & Thruston Blvd.,,Oakwood,Montgomery,,,,,,,,,Recognized micro?park within Oakwood's civic landscape.,
Fairridge Park,Municipal Park,Small neighborhood park with open lawn and informal recreation space,Active,City of Oakwood,City of Oakwood,,2100 Far Hills Ave. (approx.),,Oakwood,Montgomery,,,,,,,,,Small green space serving nearby residential area.,
