Name,Type,Description,Status,Ownership,Management,Coordination,Address,Acres,Location,County,GPS Coordinates,Plus Code,Trail Role,Parent Trail Name,Trail Segment Type,Trail Access Type,Trail Length (Miles),Features,Notes,URL
Roscoe Roof Park,Municipal Park,"Largest park in Carlisle with two playgrounds, shelters, walking trail, Memorial Tree path, restrooms, and adaptive swing seat",Active,Village of Carlisle,Village of Carlisle,,"601 Beachler Rd, Carlisle, OH 45005",,Carlisle,Montgomery,"39.5747,-84.324","8G2P+9X Carlisle, Ohio",,,,Multi-Use Trail,,Playground; Picnic Shelter; Restroom,Memorial Tree path; adaptive swing seat,https://www.carlisleoh.gov/community/parks_recreation/index.php
Benham's Grove,Municipal Park,19th?century farmhouse complex and community gathering place,Active,City of Centerville,City of Centerville,,"166 N Main St, Centerville, OH 45459",10,Centerville,Montgomery,"39.6376,-84.1597","9G3C+Q7 Centerville, Ohio",,,,,,,Historic estate; renovated grounds; event center,https://www.benhamsgrove.com/BENDEV/
Cornerstone Park,Municipal Park,"Passive parkland with trails, greenspace, plaza, sculpture, and preserved stream",Active,City of Centerville,City of Centerville,,"5210 Cornerstone North Blvd, Centerville, OH 45440",11,Centerville,Montgomery,"39.6357,-84.1134","9G3X+M8 Centerville, Ohio",,,,Nature Trail,,,Sculpture; preserved stream; plaza; Clean Ohio grant; part of DORA district,https://www.centervilleohio.gov/402/Cornerstone-Park
Stubbs Park,Municipal Park,"Large community park with amphitheater, Veterans Memorial Plaza, walking trails, playground, inline skating rink, cricket pitch, and disc golf course",Active,City of Centerville,City of Centerville,,"255 W Spring Valley Pike, Centerville, OH 45440",60,Centerville,Montgomery,"39.6247,-84.1648","9G22+JH Centerville, Ohio",,,,Multi-Use Trail,,Playground; Amphitheater; Cricket Pitch; Disc Golf Course,Inline skating rink; Veterans Memorial Plaza; renovated 2025,https://www.centervilleohio.gov/233/Stubbs-Park
Activity Center Park,Park District Park,"All?access playground, sprayground, shelter, and inclusive play features",Active,Centerville-Washington Park District,Centerville-Washington Park District,,"221 N. Main St., Centerville, OH 45459",22.1,Centerville,Montgomery,"39.6389,-84.1593","9G3C+R9 Centerville, Ohio",,,,,,Playground; Picnic Shelter,Rain Garden; AED; battery recycling barrel; pickleball courts; sprayground hours; universal changing table; restrooms; 3 baseball diamonds,https://cwpd.org/parks/activity-center/
Beechwood Springs Park,Park District Park,"Neighborhood park with open sports area, wooded stream corridor, and play equipment",Active,Centerville-Washington Park District,Centerville-Washington Park District,,1141 Quiet Brook Trail,11.455,Washington Township,Montgomery,"39.6125,-84.1652","8G22+W7 Centerville, Ohio",,,,,,Playground,Open sports area; wooded stream corridor; acquired via open space transfer in 1987,https://cwpd.org/parks/beechwood-springs/
Big Bend Park,Park District Park,"Neighborhood park with wooded area, trails, bridge, and playground",Active,Centerville-Washington Park District,Centerville-Washington Park District,,1328 Spring Ash Drive,7.841,Washington Township,Montgomery,"39.6149,-84.1599","8G33+22 Centerville, Ohio",Trail,,Nature Trail,,Playground,Access to old railroad bed; stream feature; drinking fountain (seasonal),https://cwpd.org/parks/big-bend/,
Bill Yeck Park,Park District Park,"Large natural area with rare plant species, fossils, and extensive trail system",Active,Centerville-Washington Park District,Centerville-Washington Park District,,Rooks Mill Entrance: 8798 Rooks Mill Ln.; Smith House Entrance: 2230 E. Centerville Station Rd.; McGuffey Meadow Entrance: 7893 Wilmington-Dayton Rd.,194.352,Centerville; Washington Township,Montgomery,"39.62,-84.13","9G23+4X Centerville, Ohio",Trail,,Nature Trail,,,Historic sites; environmental education programs; multiple parking areas,https://cwpd.org/parks/bill-yeck/,
Black Oak East Park,Park District Park,"Natural area with forest, stream, and informal trails",Active,Centerville-Washington Park District,Centerville-Washington Park District,,7835 John Elwood Drive,25.394,Washington Township,Montgomery,"39.6208,-84.1478","9G23+Q5 Centerville, Ohio",Trail,,Nature Trail,,,Forest; stream; acquired via open space transfer (1971-1992),https://cwpd.org/parks/black-oak-east/,
Black Oak Park,Park District Park,"Nature park with hiking trails, paved path, wetland overlook, and play equipment",Active,Centerville-Washington Park District,Centerville-Washington Park District,,1552 Ambridge Road; 7766 Bigger Road,17.855,Washington Township,Montgomery,"39.618,-84.143","9G23+H9 Centerville, Ohio",Trail,,Multi-Use Trail,,Playground,Wetland overlook; stream; sled hills; paved path; drinking fountain (seasonal),https://cwpd.org/parks/black-oak/,
Brittany Hills Park,Park District Park,"Neighborhood park with wooded area and play equipment including slides, climbers, belt swings, and infant swings",Active,Centerville-Washington Park District,Centerville-Washington Park District,,5825 Batsford Drive,4.184,Washington Township,Montgomery,"39.62,-84.1505","9G23+FQ Centerville, Ohio",Trail,,Multi-Use Trail,,Playground,Hiking trails; purchased in 1977 with U.S. Department of the Interior funding,https://cwpd.org/parks/brittany-hills/,
Cherry Hill Park,Park District Park,Neighborhood park with play equipment and open athletic area,Active,Centerville-Washington Park District,Centerville-Washington Park District,,10244 Cherry Tree Terrace,6.016,Washington Township,Montgomery,"39.619,-84.156","9G23+9C Centerville, Ohio",,,,,,Playground,Informal open play area; grill; picnic tables; sled hill; acquired 1988; originally Section 16 Park; renamed 1997,https://cwpd.org/parks/cherry-hill/
Cloverbrook Park,Park District Park,Neighborhood park with open sports area and play equipment,Active,Centerville-Washington Park District,Centerville-Washington Park District,,7566 Cloverbrook Park Drive,5.522,Washington Township,Montgomery,"39.617,-84.153","9G23+6X Centerville, Ohio",,,,,,Playground,Informal play area; formerly Pelbrook Park; renamed 2020; acquired 1973,https://cwpd.org/parks/cloverbrook/
Concept Park,Park District Park,"Neighborhood park with basketball court, shelter, play equipment, and stream feature",Active,Centerville-Washington Park District,Centerville-Washington Park District,,345 Clareridge Lane,6.016,Washington Township,Montgomery,"39.6155,-84.148","9G23+3R Centerville, Ohio",,,,,,Playground; Basketball Court; Picnic Shelter,Informal natural stream area; drinking fountain; picnic tables; water feature; acquired 1963,https://cwpd.org/parks/concept/
Countryside Park,Park District Park,"Mixed natural and recreational park with lake, ponds, boardwalk, kayak launch, playgrounds, fields, and paved path",Active,Washington Township,Washington Township,,895 Miamisburg?Centerville Road,21.2,Washington Township,Montgomery,"39.612,-84.159","8G22+V2 Centerville, Ohio",Trail,,Nature Trail,,Playground; Boardwalk; Canoe/Kayak Access Point,Lake; ponds; paved pedestrian path; donor required nature preserve use; historic cabin; master plan improvements,https://www.washingtontwp.org/recreation/rentals___parties/countryside_park,
Divided Ridge Park,Park District Park,"Neighborhood park with paved walking path, benches, play equipment, and shelter",Active,Centerville-Washington Park District,Centerville-Washington Park District,,347 Beck Drive,1.374,Washington Township,Montgomery,"39.616,-84.151","9G23+5V Centerville, Ohio",,,,,,Playground; Picnic Shelter,Paved walking path; watershed divide; playground expanded 2019,https://cwpd.org/parks/divided-ridge/
Donnybrook Park,Park District Park,"Neighborhood park with wooded area, rare fen, stream, and play equipment",Active,Centerville-Washington Park District,Centerville-Washington Park District,,6161 Donnybrook Drive; 6161 Millbrook Drive,4.724,Washington Township,Montgomery,"39.6185,-84.1545","9G23+8M Centerville, Ohio",Trail,,Nature Trail,,Playground,Hiking trails; fen access; boardwalk; invasive removal; acquired 1966,https://cwpd.org/parks/donnybrook/,
Elizabeth Hoy Park,Park District Park,Open green space with whale climber; paved trail connection,Active,Centerville-Washington Park District,Centerville-Washington Park District,,185 Hampton Drive,4.058,Centerville,Montgomery,"39.629,-84.158","9G32+JX Centerville, Ohio",,,,,,Playground,Paved multi-use trail; dedicated 1973; transferred 1979,https://cwpd.org/parks/elizabeth-hoy/
Fence Row Park,Park District Park,"Neighborhood park with climbers, swings, and picnic tables",Active,Centerville-Washington Park District,Centerville-Washington Park District,,1650 Haley Drive,2.0169,Washington Township,Montgomery,"39.6178,-84.157","9G23+7H Centerville, Ohio",,,,,,Playground,Informal play area; picnic tables; acquired 1979-2001,https://cwpd.org/parks/fence-row/
Forest Field Park,Municipal Park,"Arboretum-style community park with 14 evergreen varieties, 41 deciduous species, playground, and wooded paths",Active,Centerville-Washington Park District,Centerville-Washington Park District,,"2100 E. Centerville Station Rd., Centerville, OH 45459",44.274,Centerville,Montgomery,"39.6279,-84.1428","9G23+X8 Centerville, Ohio",Trail,,Multi-Use Trail,,Playground; Tennis Court,Arboretum plantings; natural play area; wooded paths; picnic space; updated playground in 2018,https://cwpd.org/parks/forest-field/,
Forest Walk Park,Municipal Park,"Nature park with wooded areas, stream, two playgrounds, and short hiking trails",Active,Centerville-Washington Park District,Centerville-Washington Park District,,"7570 Forest Brook Blvd & 1193 Deer Run Rd, Centerville, OH 45459",8.278,Centerville,Montgomery,"39.6449,-84.1693","9G4C+QH Centerville, Ohio",Trail,,Nature Trail,,Playground,Picnic tables; two play areas; stream corridor; wooded habitat; acquired via open space transfers in 1979 and 2000,https://cwpd.org/parks/forest-walk/,
Grant Park,Municipal Park,"Large natural area with creeks, meadows, forests, prairies, wetlands, and a network of trails of varying difficulty",Active,Centerville-Washington Park District,Centerville-Washington Park District,,"501 Normandy Ridge Rd; 6588 McEwen Rd; 616 Grant's Trail, Centerville, OH 45459",222.48,Centerville,Montgomery,"39.628,-84.173","9G23+X2 Centerville, Ohio",Trail,Grant's Trail,Nature Trail,Hiking Trail,,Playground,Fire rings (permit only); diverse habitats; steep terrain; creek crossings; multiple trailheads; historic Normandy Farms estate,https://cwpd.org/parks/grant/
Green Park,Municipal Park,"Neighborhood park with large open play field, tennis court, playground with climber, belt swings, infant swings, and neighborhood shelter",Active,Centerville-Washington Park District,Centerville-Washington Park District,,"6661 Green Park Drive, Centerville, OH 45458",5,Centerville,Montgomery,"39.6289,-84.1598","9G23+XW Centerville, Ohio",Trail,,Neighborhood Access,,Playground; Tennis Court; Picnic Shelter,Open field; drinking fountain (seasonal),https://cwpd.org/parks/green/,
Greene Line Park,Municipal Park,"Large neighborhood park with wooded hiking trails, play equipment, sled hill, picnic tables, grill, and stream corridor",Active,Centerville-Washington Park District,Centerville-Washington Park District,,"6774 Crossbrook Drive & 2170 Briggs Drive, Centerville, OH 45459",11.325,Centerville,Montgomery,"39.651,-84.1735","9G4C+X3 Centerville, Ohio",Trail,,Nature Trail,,Playground; Sledding Hill,Picnic tables; grill; stream corridor; acquired via open space transfers in 1991-1992,https://cwpd.org/parks/greene-line/,
Hithergreen Park,Municipal Park,"Neighborhood park under development with paved and natural trails, wooded section, grassland plantings, small shelter, and playground",Under Development,Centerville-Washington Park District,Centerville-Washington Park District,,"5900 Hithergreen Drive, Centerville, OH 45429",14.889,Centerville,Montgomery,"39.664,-84.1595","9G5C+5W Centerville, Ohio",Trail,,Nature Trail,,Playground; Picnic Shelter,Paved loop trail; dirt trail through woods; restrooms; grassland plantings; accessible trail; acquired 2019; Clean Ohio grant,https://cwpd.org/parks/hithergreen/,
Holes Creek Park,Municipal Park,"Nature park with a 1.3-mile paved multi-use trail along Holes Creek, three bridge crossings, wooded stream corridor, gazebo, and trail connections",Active,Centerville-Washington Park District,Centerville-Washington Park District,,"8575 Yankee Street, Centerville, OH 45458",25.197,Centerville,Montgomery,"39.6209,-84.1698","9G22+Q4 Centerville, Ohio",Trail,,Multi-Use Trail,,,Gazebo; creek corridor; bridge crossings; restrooms; wheelchair-accessible trail; paved trail; connections to Silvercreek Park and Yankee Trace,https://cwpd.org/parks/holes-creek/,
Huffman Park,Municipal Park,"Natural area with meandering stream, no formal trails, and preserved wildlife habitat",Active,Centerville-Washington Park District,Centerville-Washington Park District,,"1616 W. Alex-Bell Road, Centerville, OH 45459",12.448,Centerville,Montgomery,"39.6609,-84.183","9G5C+2C Centerville, Ohio",,,,Roadside Access,,,Wildlife habitat; stream corridor; natural green space; roadside pull-off; donated 1974; designated natural state in 1975,https://cwpd.org/parks/huffman/
Iron Horse Park,Municipal Park,"Community park with baseball diamonds, soccer fields, large railroad-themed playground, mature trees, and access to the Iron Horse Trail",Active,Centerville-Washington Park District,Centerville-Washington Park District,,"6161 Millshire Drive, Centerville, OH 45459",31.833,Centerville,Montgomery,"39.6447,-84.1649","9G4C+P8 Centerville, Ohio",Trail,Iron Horse Trail,Multi-Use Trail,,Playground; Baseball Diamond; Soccer Pitch; Picnic Shelter; Restroom,Paved trail; shade trees; historic rail corridor,https://cwpd.org/parks/iron-horse/,
Little Mound Park,Municipal Park,"Neighborhood park with sled hill, play equipment, picnic tables, and open green space",Active,Centerville-Washington Park District,Centerville-Washington Park District,,"9490 Still Meadow Lane, Centerville, OH 45458",5.141,Centerville,Montgomery,"39.6277,-84.1786","9G23+W2 Centerville, Ohio",Trail,,Neighborhood Access,,Playground; Sledding Hill,Picnic tables; open field; small walking paths; acquired 1978; originally Treeline Park,https://cwpd.org/parks/little-mound/,
Little Woods Park,Municipal Park,"Small native-plant preserve with mowed north-south path, seasonal wildflowers, wooded canopy, and quiet walking space",Active,Centerville-Washington Park District,Centerville-Washington Park District,,"Far Hills Avenue & Colonial Lane, Centerville/Kettering, OH 45429",3.6,Centerville / Kettering,Montgomery,"39.6746,-84.1647","9G6C+J9 Kettering, Ohio",Trail,,,,,Mowed natural path; native plantings; small parking area; wooded habitat; wildflowers; donated 2014,https://cwpd.org/parks/little-woods/,
Manor Park,Municipal Park,"Neighborhood park with play equipment, picnic tables, open lawn, and shade trees",Active,Centerville-Washington Park District,Centerville-Washington Park District,,"989 Thorndale Drive, Centerville, OH 45458",7.431,Centerville,Montgomery,"39.6539,-84.1597","9G5C+JX Centerville, Ohio",Trail,,Neighborhood Access,,Playground,Picnic tables; open green space; shade trees; acquired 1971,https://cwpd.org/parks/manor/,
Nutt Woods Park,Municipal Park,"Small wooded natural area with spring wildflowers, goldenseal patch, and short informal hiking paths",Active,Centerville-Washington Park District,Centerville-Washington Park District,,"10188 Ashpark Court, Centerville, OH 45458",3.075,Centerville,Montgomery,"39.6409,-84.1802","9G3C+Q2 Centerville, Ohio",Trail,,Nature Trail,,,Spring wildflowers; goldenseal patch; picnic tables; wooded habitat; acquired 1978,https://cwpd.org/parks/nutt-woods/,
Oak Creek South Park,Municipal Park,"Community park with naturalized wetland/stream, skatepark, baseball diamonds, picnic shelter, restrooms, paved multi-use trail, and playground",Active,Centerville-Washington Park District,Centerville-Washington Park District,,"790 Miamisburg-Centerville Road, Centerville, OH 45458",24.16,Centerville,Montgomery,"39.6339,-84.1694","9G22+FQ Centerville, Ohio",Trail,,Multi-Use Trail,,Playground; Baseball Diamond; Picnic Shelter; Restroom,Skatepark; wetland; nature literature trail; paved trail; renovated pond (2008); skatepark expansion (2016),https://cwpd.org/parks/oak-creek-south/,
Oak Grove Park,Municipal Park,"Large multi-use community park with soccer stadium, baseball diamonds, tennis courts, dog park, archery range, fitness trail, pond with dock, playgrounds, and paved walking paths",Active,Centerville-Washington Park District,Centerville-Washington Park District,,"1790 E. Social Row Rd., Centerville, OH 45458",102.058,Centerville,Montgomery,"39.5843,-84.1303","8FVV+6W Centerville, Ohio",Trail,,Multi-Use Trail,,Playground; Baseball Diamond; Tennis Court; Dog Park; Archery Range; Picnic Shelter; Restroom,Fitness trail; pond & dock; shelters; extensive paved paths; major athletic hub,https://cwpd.org/parks/oak-grove/,
Old Lane Park,Park District Park,Neighborhood park with play equipment and open play area,Active,Centerville-Washington Park District,Centerville-Washington Park District,,1000 Old Lane,3,Centerville / Washington Township,Montgomery,"39.6379,-84.1764","9G3C+X9 Centerville, Ohio",Trail,,Nature Trail,Neighborhood Access,,Playground,Informal play area; picnic tables; acquired 1967,https://cwpd.org/parks/old-lane/
Pleasant Hill Park,Park District Park,Neighborhood park with play equipment and large natural area under development with trails and signage,Active,Centerville-Washington Park District,Centerville-Washington Park District,,358 Zengel Drive,37,Centerville / Washington Township,Montgomery,"39.6534,-84.1788","9G5C+J2 Centerville, Ohio",Trail,,Nature Trail,Hiking Trail,,Playground,Hiking trails; nature play area; 32 acres added 2016; Clean Ohio Fund,https://cwpd.org/parks/pleasant-hill/
Quail Run Park,Park District Park,Neighborhood park with open sports area and play equipment,Active,Centerville-Washington Park District,Centerville-Washington Park District,,1180 Timberhawk Trail; 9561 Quailwood Trail,9.16,Centerville / Washington Township,Montgomery,"39.6338,-84.1807","9G23+FQ Centerville, Ohio",Trail,,Nature Trail,Hiking Trail,,Playground,Hiking trails; picnic tables; sled hill; acquired 1974,https://cwpd.org/parks/quail-run/
Rahn Park,Park District Park,"Small neighborhood park with climbers, slides, swings, and picnic tables",Active,Centerville-Washington Park District,Centerville-Washington Park District,,223 W. Rahn Road,0.98,Centerville / Washington Township,Montgomery,"39.6647,-84.1738","9G6C+6X Centerville, Ohio",Trail,,Nature Trail,Neighborhood Access,,Playground,Informal play area; donated 1964,https://cwpd.org/parks/rahn/
Red Coach Park,Park District Park,"Neighborhood park with climbers, slides, swings, and a small picnic shelter",Active,Centerville-Washington Park District,Centerville-Washington Park District,,5500 Royalwood Drive,5,Centerville / Washington Township,Montgomery,"39.644,-84.1832","9G4C+P2 Centerville, Ohio",Trail,,Nature Trail,Neighborhood Access,,Playground; Picnic Shelter,Informal play area; drinking fountain; acquired 1967,https://cwpd.org/parks/red-coach/
