Great Miami South Connector,Controversial,Greenway corridor linking Miamisburg and West Carrollton,Active,Five Rivers MetroParks,Five Rivers MetroParks,,Along Great Miami River south of Dayton,,,Montgomery,,,,,,,,,Linear natural corridor,
Holes Creek Corridor (Miami Township Segment),Controversial,Officially recognized riparian corridor with public access at multiple road crossings,Active,Montgomery County,Montgomery County,,"Holes Creek through Miami Township, OH",,,Montgomery,"39.626,-84.249",,,,,,,,Verified hydrological corridor with ecological value,
Monument Avenue River Parcel,Greenway,Small riverfront parcel with riparian vegetation,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Monument Ave., Dayton, OH",,,Montgomery,,,,,,,,,River corridor fragment,
ODNR Stillwater River Fishing Access,Fishing Access,Multiple ODNR?recognized fishing access sites along the Stillwater River,Active,Ohio Department of Natural Resources,Ohio Department of Natural Resources,,,,,Montgomery,,,,,,,,,,
Riverside Drive Riparian Parcel,Greenway,Riparian parcel along Stillwater River,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Riverside Dr., Dayton, OH",,,Montgomery,,,,,,,,,River corridor fragment,
Spring Run - Former Larch Tree Golf Course Parcel,Park District Conservation Area,"A 190-acre former golf course restored to conservation land with grasslands, riparian buffers, and early successional habitat; part of Spring Run Conservation Area.",Active,,Five Rivers MetroParks,,"2765 N Snyder Rd, Dayton, OH 45426",190,,Montgomery,"39.818,-84.343",,,,,,,,Part of Spring Run Conservation Area.,https://www.metroparks.org/places-to-go/spring-run/
Spring Run Conservation Area,Park District Conservation Area,"A 550-acre MetroParks conservation complex including the Great Miami Mitigation Bank and former Larch Tree Golf Course parcel; restored wetlands, riparian corridors, and grasslands.",Active,,Five Rivers MetroParks,,"2765 N Snyder Rd, Dayton, OH 45426",550,,Montgomery,"39.818,-84.343",,,,,,,,Contains Great Miami Mitigation Bank and Larch Tree parcels; adjacent to Sycamore State Park.,https://www.metroparks.org/places-to-go/spring-run/
Stillwater Bend Natural Area,Park District Conservation Area,Undeveloped natural area along Stillwater River,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Siebenthaler Ave., Dayton, OH",,,Montgomery,,,,,,,,,Undeveloped MetroParks holding,
Stillwater River Access (MetroParks),Fishing Access,River access point managed by MetroParks,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Riverside Dr., Dayton, OH",,,Montgomery,,,,,,,,,River access,
Stillwater River Trail Corridor (MetroParks),Controversial,Riparian bikeway corridor along the Stillwater River,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Along Stillwater River, Montgomery County",,,Montgomery,,,,,,,,,Part of regional bikeway network,
Tait Station Low Dam Access,Fishing Access,River access area near historic low dam,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Tait Rd., Dayton, OH",,,Montgomery,,,,,,,,,River access,
Wolf Creek Access (MetroParks),Fishing Access,River access point managed by MetroParks,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Broadway St., Dayton, OH",,,Montgomery,,,,,,,,,River access,
Wolf Creek East Buffer Zone,Park District Conservation Area,Natural area buffering Wolf Creek Trail corridor,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Broadway St., Dayton, OH",,,Montgomery,,,,,,,,,Buffer zone,
Wolf Creek Trail Corridor (MetroParks),Controversial,Bikeway corridor along Wolf Creek,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Along Wolf Creek, Montgomery County",,,Montgomery,,,,,,,,,Part of regional bikeway network,
