Miamisburg Community Center,Recreation Facility,Primary community center with programs and activities,Active,City of Miamisburg,City of Miamisburg,,305 E. Central Ave.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Miamisburg Community Center North,Recreation Facility,Community recreation building,Active,City of Miamisburg,City of Miamisburg,,224 Maple Ave.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Miamisburg Mound,State Historical Site,"One of the largest Adena mounds in the U.S., with stairs and overlook; largest Adena burial mound in Ohio",Active,Ohio History Connection,,,"900 Mound Rd., Miamisburg, OH 45342",37,Miamisburg,Montgomery,"39.633,-84.287","78X3+6V Miamisburg, Ohio",,,,,,,Major prehistoric earthwork,https://www.miamisburg.org; www.ohiohistory.org
Mound Park,Municipal Park,Historic park adjacent to Miamisburg Mound State Memorial; playground; shelters; restrooms,Active,City of Miamisburg,City of Miamisburg,,900 Mound Rd.,,Miamisburg,Montgomery,,,,,,,,,Adjacent to prehistoric Adena Miamisburg Mound,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf; https://www.playmiamisburg.com/parks_facilities/parks/
Rice Field,Municipal Park,Athletic field complex,Active,City of Miamisburg,City of Miamisburg,,9131 Dayton Cincinnati Pk.,,Miamisburg,Montgomery,,,,,,,,,Primarily athletic use.,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Riverfront Park,Municipal Park,"Riverfront civic park with amphitheater, splash pad, playground, and bikeway access",Active,City of Miamisburg,City of Miamisburg,,3 N. Miami Ave.,,Miamisburg,Montgomery,,,,,,,,,Major civic riverfront park and event venue.,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf; https://www.playmiamisburg.com/parks_facilities/parks/
Runyeon Park,Municipal Park,Neighborhood park with open space and local access,Active,City of Miamisburg,City of Miamisburg,,1144 Orchard Dr.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Senior Parkway,Municipal Park,Civic greenspace along Pearl Street,Active,City of Miamisburg,City of Miamisburg,,25 W. Pearl St.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Simms Park,Municipal Park,Neighborhood greenspace,Active,City of Miamisburg,City of Miamisburg,,King Richard Pkwy.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Sixth & Pearl Playlot,Municipal Park,Small neighborhood playlot,Active,City of Miamisburg,City of Miamisburg,,Sixth & Pearl St.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Soccer Complex,Municipal Park,Large athletic complex with multiple soccer fields,Active,City of Miamisburg,City of Miamisburg,,4350 Medlar Rd.,,Miamisburg,Montgomery,,,,,,,,,Athletic facility.,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Sunflower Park,Municipal Park,Neighborhood park with playground and open space,Active,City of Miamisburg,City of Miamisburg,,2432 Sunflower Dr.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Sycamore Trails Aquatic Center,Recreation Facility,"Outdoor municipal pool complex with slides, lap lanes, and leisure pool",Active,City of Miamisburg,City of Miamisburg,,400 S. Heincke Rd.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf; https://www.playmiamisburg.com/parks_facilities/parks/
Sycamore Trails Park,Municipal Park,"Large multi-use park with trails, shelters, and nature areas",Active,City of Miamisburg,City of Miamisburg,,1681 Maue Rd.; 214 S. Heincke Rd.,,Miamisburg,Montgomery,,,,,,,,,Two official entrances; unified park entity.,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Veterans Memorial Park,Municipal Park,Memorial park with monuments and landscaped grounds,Active,City of Miamisburg,City of Miamisburg,,426 E. Central Ave.,,Miamisburg,Montgomery,,,,,,,,,Formerly known as Library Park.,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
Westover Park,Municipal Park,Neighborhood park with open green space,Active,City of Miamisburg,City of Miamisburg,,400 Schroeder St.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf
"Wright ""B"" Flyer Hangar and Museum",Museum,"Aviation museum and hangar featuring the Wright ""B"" Flyer replica",Active,"Wright ""B"" Flyer Inc.","Wright ""B"" Flyer Inc.",,"10550 Springboro Pike, Miamisburg, OH 45342",,Miamisburg,Montgomery,"39.616,-84.229","77XW+JH Miamisburg, Ohio",,,,,,,Located at Dayton-Wright Brothers Airport,https://www.wright-b-flyer.org
Great Miami River Trail Corridor (MetroParks),Controversial,Riverfront bikeway corridor managed by MetroParks,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Along Great Miami River, Montgomery County",,Montgomery,Montgomery,,,,,,,,,Part of regional bikeway network,
Deer Meadow Connector Trail,Municipal Park,Short paved connector linking Deer Meadow Park to the regional trail system,Active,City of Moraine,City of Moraine,,Near 2650 Blanchard Avenue,,Moraine,Montgomery,,,,,,,,,Connector trail,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Deer Meadow Park,Municipal Park,Playground equipment; picnic tables; grills; shelters; basketball court,Active,City of Moraine,City of Moraine,,2650 Blanchard Avenue,5,Moraine,Montgomery,,,,,,,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
East River Landing,Municipal Park,Boat ramp; fishing access; picnic tables; riverfront green space,Active,City of Moraine,City of Moraine,,3800 East River Road,2,Moraine,Montgomery,,,,,,,,,Great Miami River access,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Garden Plots,Municipal Park,Community garden plots available for seasonal rental,Active,City of Moraine,City of Moraine,,4200 Dryden Road,2,Moraine,Montgomery,,,,,,,,,Community agriculture site.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
George Taylor Park,Municipal Park,Playground equipment; picnic tables; grills; shelters; basketball courts; tennis court,Active,City of Moraine,City of Moraine,,4709 E. Venetian Way,2,Moraine,Montgomery,,,,,,,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
German Village Park,Municipal Park,Playground equipment; picnic tables; grills; shelters,Active,City of Moraine,City of Moraine,,4700 Pinnacle Road,1,Moraine,Montgomery,,,,,,,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Great Miami Valley Trail,Municipal Park,Regional paved multi-use trail following the Great Miami River,Active,City of Moraine,City of Moraine,,Various access points,,Moraine,Montgomery,,,,,,,,,Part of the regional trail network.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Lehigh Park,Municipal Park,Playground equipment; picnic tables; grills; shelters,Active,City of Moraine,City of Moraine,,2607 Lehigh Place,0.5,Moraine,Montgomery,,,,,,,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Ora Everetts Park,Municipal Park,Playground; picnic tables; grills; shelters; ball fields; 1/4?mile walking path,Active,City of Moraine,City of Moraine,,3050 Kreitzer Road,13,Moraine,Montgomery,,,,,,,,,Situated on the same site as the Gerhardt Civic Center.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Pinnacle Park,Municipal Park,Playground; picnic tables; grills; shelters; basketball court,Active,City of Moraine,City of Moraine,,4800 Pinnacle Road,3,Moraine,Montgomery,,,,,,,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Pinnacle Road Bike Path,Municipal Park,Paved bike path connecting residential areas to the Johnny Appleseed Trail,Active,City of Moraine,City of Moraine,,Pinnacle Road corridor,,Moraine,Montgomery,,,,,,,,,Connector trail,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Pinnacle Tot Lot,Municipal Park,Playground; picnic tables; grills; shelters; courts; hiking trail spur,Active,City of Moraine,City of Moraine,,3670 Charlotte Mill Drive,1,Moraine,Montgomery,,,,,,,,,Trailhead for a .1?mile spur to the Johnny Appleseed Trail.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Riverview Park,Municipal Park,Playground; picnic tables; grills; shelters,Active,City of Moraine,City of Moraine,,3021 Lakehurst Court,1,Moraine,Montgomery,,,,,,,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Wax Park,Municipal Park,"Community park with playgrounds, shelters, ballfields, and fishing pond",Active,City of Moraine,City of Moraine,,3800 Main Street,38,Moraine,Montgomery,,,,,,,,,Largest and most popular Moraine park.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Wright Brothers Pinnacles Trail,Municipal Park,Natural surface trail with scenic overlooks and historic interpretive points,Active,City of Moraine,City of Moraine,,Pinnacles area off Pinnacle Road,,Moraine,Montgomery,,,,,,,,,Historic and scenic trail.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052
Buckeye Pheasant Hunting Preserve,Private Hunting Reserve,Privately operated upland game preserve offering guided and unguided pheasant hunts; habitat includes fields and mixed cover,Private,Private,,,"1601 Diamond Mill Rd, New Lebanon, OH 45345",,New Lebanon,Montgomery,"39.7419,-84.3308",,,,,,,,Hunting preserve; upland game habitat,https://www.buckeyepheasanthunting.com
Don Rusk Park (Fuls Park),Municipal Park,"Community park with ballfields, paved loop trail, playground; dog-friendly",Active,Village of New Lebanon,Village of New Lebanon,,"209-233 S Fuls Rd, New Lebanon, OH 45345",,New Lebanon,Montgomery,"39.7399,-84.388",,,,,,,,,https://www.newlebanonoh.com
Stanley Jones Park,Municipal Park,Community park with open recreation space and athletic use,Active,Village of New Lebanon,Village of New Lebanon,,"198 S Clayton Rd, New Lebanon, OH 45345",,New Lebanon,Montgomery,"39.7417,-84.3948",,,,,,,,Recreation fields; open space,https://www.newlebanonoh.com
Elizabeth Gardens,Municipal Park,Formal public garden with landscaped beds and seating areas,Active,City of Oakwood,City of Oakwood,,Elizabeth Ct.,,Oakwood,Montgomery,,,,,,,,,Companion site to Smith Gardens,
Fairmont Triangle,Municipal Park,Small landscaped traffic?island green with ornamental plantings,Active,City of Oakwood,City of Oakwood,,Far Hills Ave. & Thruston Blvd.,,Oakwood,Montgomery,,,,,,,,,Recognized micro?park within Oakwood's civic landscape.,
Fairridge Park,Municipal Park,Small neighborhood park with open lawn and informal recreation space,Active,City of Oakwood,City of Oakwood,,2100 Far Hills Ave. (approx.),,Oakwood,Montgomery,,,,,,,,,Small green space serving nearby residential area.,
Houk Stream / Houk Meadows,Municipal Park,"Natural corridor with streamside greenway, meadows, and informal walking routes",Active,City of Oakwood,City of Oakwood,,Along Houk Stream between Shafor Blvd. & Far Hills Ave.,,Oakwood,Montgomery,,,,,,,,,Linear greenway integrated into neighborhood fabric.,
Irving Field,Municipal Park,Baseball field; open green space; informal recreation area,Active,City of Oakwood,City of Oakwood,,210 Irving Ave.,,Oakwood,Montgomery,,,,,,,,,Primarily an athletic field with surrounding green space.,
Irving Field Annex,Municipal Park,Small open field adjacent to Irving Field used for informal recreation,Active,City of Oakwood,City of Oakwood,,Near 210 Irving Ave.,,Oakwood,Montgomery,,,,,,,,,Secondary green space associated with Irving Field.,
Old River Sports Complex,Municipal Park,"Athletic complex with baseball fields, open turf, and recreation facilities",Active,City of Oakwood,City of Oakwood,,225 Old River Trail,,Oakwood,Montgomery,,,,,,,,,Primary sports complex serving youth athletics.,
Orchardly Park,Municipal Park,Playground; splash pad; courts; picnic shelter,Active,City of Oakwood,City of Oakwood,,343 Wonderly Ave.,,Oakwood,Montgomery,,,,,,,,,Neighborhood park with water play and courts.,
Shafor Park,Municipal Park,"Community park with playground, courts, picnic shelter, and open green space",Active,City of Oakwood,City of Oakwood,,181 Patterson Rd.,,Oakwood,Montgomery,,,,,,,,,Primary community park with multiple recreation amenities.,
Smith Gardens,Municipal Park,Formal public garden with landscaped beds and pathways,Active,City of Oakwood,City of Oakwood,,799 Oakwood Ave.,,Oakwood,Montgomery,,,,,,,,,Signature formal garden maintained by the city.,
Englewood Dam Recreation Area,Army Corps of Engineers Property,"Recreation area with trails, river access, and open space",Active,,U.S. Army Corps of Engineers,,"Near U.S. 40, Englewood, OH 45322",,Randolph Township,Montgomery,,,,,,,,,Part of Miami Conservancy District flood control system,
Airway East Green,Controversial,Linear greenspace on the eastern Airway corridor,Proposed,City of Riverside,City of Riverside,,"Airway Rd (East), Riverside, OH",,Riverside,Montgomery,,,,,,,,,Unconfirmed name; real greenspace,https://www.riversideoh.gov
Airway Road Green,Controversial,Linear greenspace along the Airway corridor,Active,City of Riverside,City of Riverside,,"Airway Rd, Riverside, OH",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
Airway Stormwater Basin,Controversial,Stormwater basin along Airway corridor,Public,City of Riverside,,,"Airway Rd, Riverside, OH",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
Bayside Drive Green,Controversial,Small neighborhood green within the Shellabarger Park complex,Active,City of Riverside,City of Riverside,,"Bayside Dr, Riverside, OH",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
Bayside Stormwater Basin,Controversial,Stormwater retention basin with maintained public greenspace,Public,City of Riverside,,,"Bayside Dr, Riverside, OH",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
Community Park,Municipal Park,"Community park with sports courts, walking paths, playground, shelters; dog park",Active,City of Riverside,City of Riverside,,"796 Old Harshman Rd, Riverside, OH 45431",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
Creekside Trail Access - Airway Rd,Trail Access Point,Trail access point to Creekside Trail,Active,MIami Valley Trails,,,"Airway Rd, Riverside, OH",,Riverside,Montgomery,,,Bikeway Access Point,Creekside Trail,,Access Point,,,,https://www.miamivalleytrails.org
Creekside Trail Access - Woodman Dr,Trail Access Point,Trail access point to Creekside Trail,Active,Miami Valley Trails,,,"Woodman Dr, Riverside, OH",,Riverside,Montgomery,,,Bikeway Access Point,Creekside Trail,,Access Point,,,,https://www.miamivalleytrails.org
Harshman Road Green,Controversial,Linear greenspace along the Harshman corridor,Active,City of Riverside,City of Riverside,,"Harshman Rd, Riverside, OH",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
Harshman Stormwater Basin,Controversial,Stormwater basin near Harshman corridor,Public,City of Riverside,,,"Harshman Rd, Riverside, OH",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
Huffman Dam,Dam,Flood?control dam on the Mad River; part of the Miami Conservancy District system; adjacent to Huffman MetroPark,Active,Miami Conservancy District,Miami Conservancy District,,"Near Lower Valley Pike, Dayton, OH 45424",,Riverside,Greene,"39.78,-84.11","86F9+H3 Dayton, Ohio",,,,,,,Part of the MCD flood?control system; adjacent to Huffman MetroPark.,https://mcdwater.org
Mad River Trail Access - Old Harshman Rd,Trail Access Point,Trail access point to Mad River Trail,Active,Miami Conservancy District,Miami Conservancy District,,"Old Harshman Rd, Riverside, OH",,Riverside,Montgomery,"39.7790,-84.1220",,Bikeway Access Point,Mad River Bikeway,,Access Point,,,,https://www.miamivalleytrails.org
Riverside Veterans Memorial,Municipal Park,Memorial plaza with monuments and flag display,Active,City of Riverside,City of Riverside,,"1791 Harshman Rd, Riverside, OH 45424",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
Rohrer Park,Municipal Park,"Trails, playground, shelters, courts, baseball diamond; pump track planned",Active,City of Riverside,City of Riverside,,"720 Rohrer Blvd, Dayton, OH 45404",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
Shellabarger Park,Municipal Park,"Walking trails, playgrounds, picnic areas; paved loop ~0.7 miles",Active,City of Riverside,City of Riverside,,"5875 Bayside Dr, Dayton, OH 45431",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
John Wolfe Park,Municipal Park,Picnic shelter; playground; fishing pond; basketball court,Active,City of Trotwood,City of Trotwood,,"4030 Denlinger Rd, Trotwood, OH 45426",,Trotwood,Montgomery,"39.7889,-84.2607",,,,,,,,Verified municipal park,https://www.trotwoodchamber.org/recreation.php
Madison Lakes Park,County Park,"Large county-owned park with multiple fishing lakes, shelters, and open recreation areas.",Active,Montgomery County Parks & Recreation,Montgomery County Parks & Recreation,,"581 Olive Road, Dayton, OH 45427",,Trotwood,Montgomery,"39.7406,-84.3334","J9W2+X9 Dayton, Ohio",,,,,,,One of three official Montgomery County parks.,"https://www.google.com/maps?q=39.7406,-84.3334"
Madison Park,Municipal Park,Pavilion; shelters; playground; soccer fields; tennis courts; exercise trail,Active,City of Trotwood,City of Trotwood,,"301 S Broadway, Trotwood, OH 45426",,Trotwood,Montgomery,"39.7408,-84.2904",,,,,,,,Verified municipal park,https://www.trotwoodchamber.org/recreation.php
North Broadway Park,Municipal Park,Picnic shelter; playground,Active,City of Trotwood,City of Trotwood,,"460 N Broadway, Trotwood, OH 45426",,Trotwood,Montgomery,"39.7547,-84.291",,,,,,,,Verified municipal park,https://www.trotwoodchamber.org/recreation.php
Sycamore State Park,State Park,"Large state?managed natural area featuring forest, prairie, ponds, hiking trails, horse trails, hunting areas, and diverse wildlife habitat.",Open,Ohio Department of Natural Resources,,,"4675 Diamond Mill Rd, Dayton, OH 45426",2628,Trotwood,Montgomery,"39.8139,-84.3437",,,,,,,,,https://ohiodnr.gov/parks/sycamore-state-park; https://www.trotwoodchamber.org/recreation.php
Townview Park,Municipal Park,Picnic shelter; playground; basketball court,Active,City of Trotwood,City of Trotwood,,"5280 Gardendale Ave, Trotwood, OH 45417",,Trotwood,Montgomery,"39.7406,-84.2872",,,,,,,,Verified municipal park behind Townview Elementary,https://www.trotwoodchamber.org/recreation.php
Trotwood Community & Cultural Arts Center,Recreation Facility,Indoor community facility with surrounding public greens,Active,City of Trotwood,City of Trotwood,,"4000 Lake Center Dr, Trotwood, OH 45426",,Trotwood,Montgomery,,,,,,,,,,https://trotwood.org
Twin Creek Park,Municipal Park,Baseball/softball field; basketball court,Active,City of Trotwood,City of Trotwood,,"2044 Twin Creek Dr, Trotwood, OH 45426",,Trotwood,Montgomery,"39.7803,-84.3001",,,,,,,,Verified municipal park,https://www.trotwoodchamber.org/recreation.php
Westbrooke Park,Municipal Park,"Picnic shelter, soccer field, ballfields, and courts",Active,City of Trotwood,City of Trotwood,,"5410 Northford Rd, Trotwood, OH 45426",,Trotwood,Montgomery,"39.7905,-84.2875",,,,,,,,Verified municipal park behind Westbrooke Elementary,https://www.trotwoodchamber.org/recreation.php
Concord Farms North Neighborhood Park,Municipal Park,Green space and neighborhood recreation area,Active,City of Union,City of Union,,Concord Farms North subdivision,,Union,Montgomery,,,,,,,,,,https://www.unionoh.org/1257/Places-to-Play
Concord Farms West Neighborhood Park,Municipal Park,Green space and neighborhood recreation area,Active,City of Union,City of Union,,Concord Farms West subdivision,,Union,Montgomery,,,,,,,,,,https://www.unionoh.org/1257/Places-to-Play
Martindale Road Neighborhood Park,Municipal Park,Major playground structure and tennis courts,Active,City of Union,City of Union,,211 W Martindale Rd.,,Union,Montgomery,,,,,,,,,,https://www.unionoh.org/1257/Places-to-Play
Parkgrove Drive Park,Municipal Park,Basketball courts and neighborhood recreation space,Active,City of Union,City of Union,,Parkgrove Dr.,,Union,Montgomery,,,,,,,,,,https://www.unionoh.org/1257/Places-to-Play
Stoney Crest Trails & Pavilions,Municipal Park,Walking trails and pavilions within the Stoney Crest neighborhood,Active,City of Union,City of Union,,Stoney Crest neighborhood,,Union,Montgomery,,,,,,,,,,https://www.unionoh.org/1257/Places-to-Play
Union Community Park,Municipal Park,Flagship 25-acre park with ballfields and open green space,Active,City of Union,City of Union,,3280 Phillipsburg Union Rd.,25,Union,Montgomery,,,,,,,,,,https://www.unionoh.org/1257/Places-to-Play
Wellfield Park,Municipal Park,Open space and recreation area on River Road,Active,City of Union,City of Union,,River Rd.,,Union,Montgomery,,,,,,,,,,https://www.unionoh.org/1257/Places-to-Play
Art Park,Municipal Park,"Walkable art park with sculptures, greenspace, and Rotary Bridge connection",Active,City of Vandalia,City of Vandalia,,"256 E Alkaline Springs Rd, Vandalia, OH 45377",8,Vandalia,Montgomery,"39.8869,-84.1918",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Art-Park-1
Ashbury Farms Park,Municipal Park,Small neighborhood park with benches and greenspace,Active,City of Vandalia,City of Vandalia,,"1701 Ashworth Dr, Vandalia, OH 45377",,Vandalia,Montgomery,"39.8797,-84.2042",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Ashbury-Farms-Park-2
Brown School Road Park,Municipal Park,"Neighborhood greenspace with benches, open play area, and nature observation",Active,City of Vandalia,City of Vandalia,,"792 Hunter's Chase, Vandalia, OH 45377",,Vandalia,Montgomery,"39.879,-84.2058",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Brown-School-Road-Park-3
Cassel Hills Pool,Recreation Facility,"Seasonal outdoor public pool with lap lanes, diving area, deck seating, and adjacent greenspace",Seasonal,City of Vandalia,City of Vandalia,,"1061 Taylorsview Dr, Vandalia, OH 45377",,Vandalia,Montgomery,"39.8794,-84.2006",,,,,,,,Public pool; lap lanes; diving area; deck seating,https://vandaliaohio.org
Copperfield Park,Municipal Park,"Neighborhood park with benches, greenspace, and informal recreation area",Active,City of Vandalia,City of Vandalia,,"1635 Middlefield Ct, Dayton, OH 45414",,Vandalia,Montgomery,"39.8597,-84.1915",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Copperfield-Park-4
Helke Park,Municipal Park,Major community park with playgrounds; lit courts; ballfields; disc golf; shelters; restrooms,Active,City of Vandalia,City of Vandalia,,"Randler Ave, Vandalia, OH 45377",30.5,Vandalia,Montgomery,"39.8895,-84.201",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Helke-Park-6
Jeffers Park / Community Gardens,Municipal Park,Neighborhood park with play structure; courts; greenspace; 22 rentable community garden plots,Active,City of Vandalia,City of Vandalia,,"407 Halcyon Ave, Vandalia, OH 45377",,Vandalia,Montgomery,"39.8892,-84.197",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Jeffers-Park-Community-Gardens-5
Robinette Park,Municipal Park,Community park with two playgrounds; paved walking path; courts; sand volleyball; large greenspace,Active,City of Vandalia,City of Vandalia,,"Enola Ct, Vandalia, OH 45377",2.7,Vandalia,Montgomery,"39.8885,-84.203",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Robinette-Park-7
Seger Park,Municipal Park,Small community park with gazebo and landscaped grounds,Active,City of Vandalia,City of Vandalia,,"101-199 S Perry St, Vandalia, OH 45377",,Vandalia,Montgomery,"39.8904,-84.1984",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Seger-Park-8
Sports Complex,Municipal Park,Outdoor sports and fitness complex with turf area and training features,Active,City of Vandalia,City of Vandalia,,"1101-1111 Stonequarry Rd, Dayton/Vandalia, OH 45414",100,Vandalia,Montgomery,"39.886,-84.2",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Sports-Complex-11
Taylorsville MetroPark,Park District Park,"Trails, river access, Tadmor ruins, ponds, Buckeye Trail, camping",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"2101 US-40, Vandalia, OH 45377",1300,Vandalia,Montgomery,"39.8390,-84.1830",,,,,,,,,https://www.metroparks.org/places-to-go/taylorsville/
Vandalia Recreation Center,Recreation Center,"58,000 sq ft facility with fitness center, indoor waterpark, gym, track, climbing wall",Active,City of Vandalia,City of Vandalia,,"1111 Stonequarry Rd, Vandalia, OH 45414",,Vandalia,Montgomery,"39.8468,-84.1918",,,,,,,,,https://vandaliaohio.org/236/Recreation-Center
Vandalia Senior Center,Recreation Facility,"Community senior center with activity rooms, programs, events, and adjacent greenspace",Active,City of Vandalia,City of Vandalia,,"21 Tionda Dr S, Vandalia, OH 45377",,Vandalia,Montgomery,"39.8902,-84.198",,,,,,,,,https://vandaliaohio.org
