Airway Stormwater Basin,Controversial,Stormwater basin along Airway corridor,Public,City of Riverside,,,"Airway Rd, Riverside, OH",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
Bayside Drive Green,Controversial,Small neighborhood green within the Shellabarger Park complex,Active,City of Riverside,City of Riverside,,"Bayside Dr, Riverside, OH",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
Bayside Stormwater Basin,Controversial,Stormwater retention basin with maintained public greenspace,Public,City of Riverside,,,"Bayside Dr, Riverside, OH",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
Community Park,Municipal Park,"Community park with sports courts, walking paths, playground, shelters; dog park",Active,City of Riverside,City of Riverside,,"796 Old Harshman Rd, Riverside, OH 45431",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
Creekside Trail Access - Airway Rd,Trail Access Point,Trail access point to Creekside Trail,Active,MIami Valley Trails,,,"Airway Rd, Riverside, OH",,Riverside,Montgomery,,,Bikeway Access Point,Creekside Trail,,Access Point,,,,https://www.miamivalleytrails.org
Creekside Trail Access - Woodman Dr,Trail Access Point,Trail access point to Creekside Trail,Active,Miami Valley Trails,,,"Woodman Dr, Riverside, OH",,Riverside,Montgomery,,,Bikeway Access Point,Creekside Trail,,Access Point,,,,https://www.miamivalleytrails.org
Harshman Road Green,Controversial,Linear greenspace along the Harshman corridor,Active,City of Riverside,City of Riverside,,"Harshman Rd, Riverside, OH",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
Harshman Stormwater Basin,Controversial,Stormwater basin near Harshman corridor,Public,City of Riverside,,,"Harshman Rd, Riverside, OH",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
Huffman Dam,Dam,Flood?control dam on the Mad River; part of the Miami Conservancy District system; adjacent to Huffman MetroPark,Active,Miami Conservancy District,Miami Conservancy District,,"Near Lower Valley Pike, Dayton, OH 45424",,Riverside,Greene,"39.78,-84.11","86F9+H3 Dayton, Ohio",,,,,,,Part of the MCD flood?control system; adjacent to Huffman MetroPark.,https://mcdwater.org
Mad River Trail Access - Old Harshman Rd,Trail Access Point,Trail access point to Mad River Trail,Active,Miami Conservancy District,Miami Conservancy District,,"Old Harshman Rd, Riverside, OH",,Riverside,Montgomery,"39.7790,-84.1220",,Bikeway Access Point,Mad River Bikeway,,Access Point,,,,https://www.miamivalleytrails.org
Riverside Veterans Memorial,Municipal Park,Memorial plaza with monuments and flag display,Active,City of Riverside,City of Riverside,,"1791 Harshman Rd, Riverside, OH 45424",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
Rohrer Park,Municipal Park,"Trails, playground, shelters, courts, baseball diamond; pump track planned",Active,City of Riverside,City of Riverside,,"720 Rohrer Blvd, Dayton, OH 45404",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
Shellabarger Park,Municipal Park,"Walking trails, playgrounds, picnic areas; paved loop ~0.7 miles",Active,City of Riverside,City of Riverside,,"5875 Bayside Dr, Dayton, OH 45431",,Riverside,Montgomery,,,,,,,,,,https://www.riversideoh.gov
John Wolfe Park,Municipal Park,Picnic shelter; playground; fishing pond; basketball court,Active,City of Trotwood,City of Trotwood,,"4030 Denlinger Rd, Trotwood, OH 45426",,Trotwood,Montgomery,"39.7889,-84.2607",,,,,,,,Verified municipal park,https://www.trotwoodchamber.org/recreation.php
Madison Lakes Park,County Park,"Large county-owned park with multiple fishing lakes, shelters, and open recreation areas.",Active,Montgomery County Parks & Recreation,Montgomery County Parks & Recreation,,"581 Olive Road, Dayton, OH 45427",,Trotwood,Montgomery,"39.7406,-84.3334","J9W2+X9 Dayton, Ohio",,,,,,,One of three official Montgomery County parks.,"https://www.google.com/maps?q=39.7406,-84.3334"
Madison Park,Municipal Park,Pavilion; shelters; playground; soccer fields; tennis courts; exercise trail,Active,City of Trotwood,City of Trotwood,,"301 S Broadway, Trotwood, OH 45426",,Trotwood,Montgomery,"39.7408,-84.2904",,,,,,,,Verified municipal park,https://www.trotwoodchamber.org/recreation.php
North Broadway Park,Municipal Park,Picnic shelter; playground,Active,City of Trotwood,City of Trotwood,,"460 N Broadway, Trotwood, OH 45426",,Trotwood,Montgomery,"39.7547,-84.291",,,,,,,,Verified municipal park,https://www.trotwoodchamber.org/recreation.php
Sycamore State Park,State Park,"Large state?managed natural area featuring forest, prairie, ponds, hiking trails, horse trails, hunting areas, and diverse wildlife habitat.",Open,Ohio Department of Natural Resources,,,"4675 Diamond Mill Rd, Dayton, OH 45426",2628,Trotwood,Montgomery,"39.8139,-84.3437",,,,,,,,,https://ohiodnr.gov/parks/sycamore-state-park; https://www.trotwoodchamber.org/recreation.php
Townview Park,Municipal Park,Picnic shelter; playground; basketball court,Active,City of Trotwood,City of Trotwood,,"5280 Gardendale Ave, Trotwood, OH 45417",,Trotwood,Montgomery,"39.7406,-84.2872",,,,,,,,Verified municipal park behind Townview Elementary,https://www.trotwoodchamber.org/recreation.php
Trotwood Community & Cultural Arts Center,Recreation Facility,Indoor community facility with surrounding public greens,Active,City of Trotwood,City of Trotwood,,"4000 Lake Center Dr, Trotwood, OH 45426",,Trotwood,Montgomery,,,,,,,,,,https://trotwood.org
Twin Creek Park,Municipal Park,Baseball/softball field; basketball court,Active,City of Trotwood,City of Trotwood,,"2044 Twin Creek Dr, Trotwood, OH 45426",,Trotwood,Montgomery,"39.7803,-84.3001",,,,,,,,Verified municipal park,https://www.trotwoodchamber.org/recreation.php
Westbrooke Park,Municipal Park,"Picnic shelter, soccer field, ballfields, and courts",Active,City of Trotwood,City of Trotwood,,"5410 Northford Rd, Trotwood, OH 45426",,Trotwood,Montgomery,"39.7905,-84.2875",,,,,,,,Verified municipal park behind Westbrooke Elementary,https://www.trotwoodchamber.org/recreation.php
Concord Farms North Neighborhood Park,Municipal Park,Green space and neighborhood recreation area,Active,City of Union,City of Union,,Concord Farms North subdivision,,Union,Montgomery,,,,,,,,,,https://www.unionoh.org/1257/Places-to-Play
Concord Farms West Neighborhood Park,Municipal Park,Green space and neighborhood recreation area,Active,City of Union,City of Union,,Concord Farms West subdivision,,Union,Montgomery,,,,,,,,,,https://www.unionoh.org/1257/Places-to-Play
Martindale Road Neighborhood Park,Municipal Park,Major playground structure and tennis courts,Active,City of Union,City of Union,,211 W Martindale Rd.,,Union,Montgomery,,,,,,,,,,https://www.unionoh.org/1257/Places-to-Play
Parkgrove Drive Park,Municipal Park,Basketball courts and neighborhood recreation space,Active,City of Union,City of Union,,Parkgrove Dr.,,Union,Montgomery,,,,,,,,,,https://www.unionoh.org/1257/Places-to-Play
Stoney Crest Trails & Pavilions,Municipal Park,Walking trails and pavilions within the Stoney Crest neighborhood,Active,City of Union,City of Union,,Stoney Crest neighborhood,,Union,Montgomery,,,,,,,,,,https://www.unionoh.org/1257/Places-to-Play
Union Community Park,Municipal Park,Flagship 25-acre park with ballfields and open green space,Active,City of Union,City of Union,,3280 Phillipsburg Union Rd.,25,Union,Montgomery,,,,,,,,,,https://www.unionoh.org/1257/Places-to-Play
Wellfield Park,Municipal Park,Open space and recreation area on River Road,Active,City of Union,City of Union,,River Rd.,,Union,Montgomery,,,,,,,,,,https://www.unionoh.org/1257/Places-to-Play
Art Park,Municipal Park,"Walkable art park with sculptures, greenspace, and Rotary Bridge connection",Active,City of Vandalia,City of Vandalia,,"256 E Alkaline Springs Rd, Vandalia, OH 45377",8,Vandalia,Montgomery,"39.8869,-84.1918",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Art-Park-1
Ashbury Farms Park,Municipal Park,Small neighborhood park with benches and greenspace,Active,City of Vandalia,City of Vandalia,,"1701 Ashworth Dr, Vandalia, OH 45377",,Vandalia,Montgomery,"39.8797,-84.2042",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Ashbury-Farms-Park-2
Brown School Road Park,Municipal Park,"Neighborhood greenspace with benches, open play area, and nature observation",Active,City of Vandalia,City of Vandalia,,"792 Hunter's Chase, Vandalia, OH 45377",,Vandalia,Montgomery,"39.879,-84.2058",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Brown-School-Road-Park-3
Cassel Hills Pool,Recreation Facility,"Seasonal outdoor public pool with lap lanes, diving area, deck seating, and adjacent greenspace",Seasonal,City of Vandalia,City of Vandalia,,"1061 Taylorsview Dr, Vandalia, OH 45377",,Vandalia,Montgomery,"39.8794,-84.2006",,,,,,,,Public pool; lap lanes; diving area; deck seating,https://vandaliaohio.org
Copperfield Park,Municipal Park,"Neighborhood park with benches, greenspace, and informal recreation area",Active,City of Vandalia,City of Vandalia,,"1635 Middlefield Ct, Dayton, OH 45414",,Vandalia,Montgomery,"39.8597,-84.1915",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Copperfield-Park-4
Helke Park,Municipal Park,Major community park with playgrounds; lit courts; ballfields; disc golf; shelters; restrooms,Active,City of Vandalia,City of Vandalia,,"Randler Ave, Vandalia, OH 45377",30.5,Vandalia,Montgomery,"39.8895,-84.201",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Helke-Park-6
Jeffers Park / Community Gardens,Municipal Park,Neighborhood park with play structure; courts; greenspace; 22 rentable community garden plots,Active,City of Vandalia,City of Vandalia,,"407 Halcyon Ave, Vandalia, OH 45377",,Vandalia,Montgomery,"39.8892,-84.197",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Jeffers-Park-Community-Gardens-5
Robinette Park,Municipal Park,Community park with two playgrounds; paved walking path; courts; sand volleyball; large greenspace,Active,City of Vandalia,City of Vandalia,,"Enola Ct, Vandalia, OH 45377",2.7,Vandalia,Montgomery,"39.8885,-84.203",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Robinette-Park-7
Seger Park,Municipal Park,Small community park with gazebo and landscaped grounds,Active,City of Vandalia,City of Vandalia,,"101-199 S Perry St, Vandalia, OH 45377",,Vandalia,Montgomery,"39.8904,-84.1984",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Seger-Park-8
Sports Complex,Municipal Park,Outdoor sports and fitness complex with turf area and training features,Active,City of Vandalia,City of Vandalia,,"1101-1111 Stonequarry Rd, Dayton/Vandalia, OH 45414",100,Vandalia,Montgomery,"39.886,-84.2",,,,,,,,,https://vandaliaohio.org/Facilities/Facility/Details/Sports-Complex-11
Taylorsville MetroPark,Park District Park,"Trails, river access, Tadmor ruins, ponds, Buckeye Trail, camping",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"2101 US-40, Vandalia, OH 45377",1300,Vandalia,Montgomery,"39.8390,-84.1830",,,,,,,,,https://www.metroparks.org/places-to-go/taylorsville/
