Waterbury Woods Park,Park District Park,"Neighborhood park with open sports area, sled hill, and play equipment",Active,Centerville-Washington Park District,Centerville-Washington Park District,,1250 W. Social Row Road,6.607,Centerville / Washington Township,Montgomery,"39.5839,-84.1733","8FVV+6C Centerville, Ohio",Trail,,Nature Trail,Neighborhood Access,,Sledding Hill,Former leaf dump site; donated 2002,https://cwpd.org/parks/waterbury-woods/,
Watkins Glen Park,Park District Park,Neighborhood park divided by a creek with play equipment and open area,Active,Centerville-Washington Park District,Centerville-Washington Park District,,825 Watkins Glen Drive,5.712,Centerville / Washington Township,Montgomery,"39.6468,-84.1709","9G4C+R9 Centerville, Ohio",Trail,,Nature Trail,Hiking Trail,,Playground,Stream; historic homestead nearby; acquired via transfer/donation,https://cwpd.org/parks/watkins-glen/,
Weatherstone Park,Park District Park,"Neighborhood park with climber, slides, swings, and tire swing",Active,Centerville-Washington Park District,Centerville-Washington Park District,,10998 Pennfield Road; 164 Summerford Place,5.099,Centerville / Washington Township,Montgomery,"39.6001,-84.1678","8G2C+QH Centerville, Ohio",Trail,,Nature Trail,Neighborhood Access,,Playground,Picnic tables; acquired 2006,https://cwpd.org/parks/weatherstone/,
Willowbrook Park,Park District Park,"Neighborhood park with creek, trails, woods, open areas, courts, and shelter",Active,Centerville-Washington Park District,Centerville-Washington Park District,,10225 Park Edge Drive; 570 Nutt Road; 10140 Atchison Road,17.89,Centerville / Washington Township,Montgomery,"39.6219,-84.1584","9G22+R6 Centerville, Ohio",Trail,,Nature Trail,Hiking Trail,,Tennis Court; Picnic Shelter,Stream; multiple access points; acquired 1988-1989,https://cwpd.org/parks/willowbrook/,
Woodbourne Green Park,Park District Park,Triangular historic green with stone marker commemorating 1797 Village of Woodbourne,Active,Centerville-Washington Park District,Centerville-Washington Park District,,W. Whipp Road at Paddington Road,0.113,Centerville / Washington Township,Montgomery,"39.6604,-84.1644","9G5C+3J Centerville, Ohio",,,,,,Historic Marker,Historical marker placed 1971; transferred 1989,https://cwpd.org/parks/woodbourne-green/,
Woodbourne Springs Park,Park District Park,"Nature park with hiking trails, stream, and picnic table",Active,Centerville-Washington Park District,Centerville-Washington Park District,,220 W. Whipp Road,7.081,Centerville / Washington Township,Montgomery,"39.6607,-84.17","9G5C+4C Centerville, Ohio",Trail,,Multi-Use Trail,Hiking Trail,,Nature Trail,Stream; historic Hole family property; jointly purchased with county and federal funding,https://cwpd.org/parks/woodbourne-springs/,
Yankee Park,Park District Park,"Large community park with tennis courts, pickleball, baseball diamonds, soccer fields, football practice areas, playground, paved trails, and picnic shelter",Active,Centerville-Washington Park District,Centerville-Washington Park District,,7500 Yankee Street,36.679,Centerville / Washington Township,Montgomery,"39.6208,-84.1697","9G22+Q5 Centerville, Ohio",Trail,,Multi-Use Trail,Multi-Use Trail,,Playground; Tennis Court; Pickleball Court; Baseball Diamond; Soccer Pitch; Football Field; Picnic Shelter; Restroom; AED; Little Free Library,Paved multi-use trails (0.82-mile perimeter; 0.19-mile center path); historic multi-parcel acquisition,https://cwpd.org/parks/yankee/,
Hardscrabble Park,Municipal Park,Wooded natural area with informal trails,Active,City of Clayton,City of Clayton,,100 W. Mill St.,,Clayton,Montgomery,"39.8633,-84.3279","86MQ+8C Clayton, Ohio",Trail,,Nature Trail,Hiking Trail,,,,,http://clayton.oh.us/Facilities/Facility/Details/1
Northmont High School Outdoor Athletic Complex,Public School Property,Outdoor athletic fields and track for Northmont High School,Active,Northmont City Schools,Northmont City Schools,,"4916 National Rd., Clayton, OH 45315",,Clayton,Montgomery,"39.859,-84.323","86JQ+9W Clayton, Ohio",,,,,,Football Field; Soccer Pitch; Lacrosse Field; Track,School athletic facilities,https://www.northmontschools.com,
Northview Park,Municipal Park,Neighborhood park with playground and open green space,Active,City of Clayton,City of Clayton,,"Northview Park, Lavon Ct.",,Clayton,Montgomery,"39.858,-84.3165","86JQ+8H Clayton, Ohio",,,,,,Playground,,,http://clayton.oh.us/Facilities/Facility/Details/3
Union & Old Salem Trail Spur,Trail Access Point,Small public trail spur connecting neighborhoods to regional bikeway,Active,Montgomery County,,,Old Salem Rd. at Union Blvd.,,Clayton,Montgomery,"39.8614,-84.3238","86MQ+7C Clayton, Ohio",Bikeway Access Point,Great Miami River Trail,,Access Point,,,Neighborhood connector segment,https://www.mcohio.org,
Westbrook Park,Municipal Park,Neighborhood park with playground and open space,Active,City of Clayton,City of Clayton,,"Westbrook Park, Jean Dr.",,Clayton,Montgomery,"39.8674,-84.3194","86MQ+3X Clayton, Ohio",,,,,,Playground,,,http://clayton.oh.us/Facilities/Facility/Details/2
Westbrook Road Bikeway Access Point,Trail Access Point,Access point to the regional bikeway system,Active,Montgomery County,Montgomery County,,"Westbrook Rd. near Union Blvd., Clayton, OH 45315",,Clayton,Montgomery,"39.868,-84.323","86MQ+3W Clayton, Ohio",Bikeway Access Point,Great Miami River Trail,,Access Point,,,Part of the regional bikeway network,https://www.mcohio.org,
Aullwood Audubon Center and Farm,Private Nature Reserve,"National Audubon sanctuary with prairies, forests, wetlands, farm, and extensive trails; includes farm and nature center",Active,National Audubon Society,National Audubon Society,,"1000 Aullwood Rd., Dayton, OH 45414",200,Dayton,Montgomery,"39.867,-84.29","86J6+H8 Dayton, Ohio",Trail,,Nature Trail,Hiking Trail,,Nature Center; Gardens,Includes Aullwood Farm and Nature Center,https://aullwood.audubon.org,
Aullwood Garden MetroPark,Park District Park,Environmental education gardens; adjacent to Aullwood Audubon,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"955 Aullwood Rd, Dayton, OH 45414",31,Dayton,Montgomery,"39.8684,-84.2874","86J6+JH Dayton, Ohio",,,,,,Gardens,Adjacent to Aullwood Audubon,https://www.metroparks.org,
Belmont Park,Municipal Park,Baseball/softball diamond; shelters; playground; restrooms; tennis; soccer,Active,City of Dayton,City of Dayton,,"957 Lynhurst Ave., Dayton, OH 45420",55,Dayton,Montgomery,"39.729,-84.129","8FPX+H7 Dayton, Ohio",,,,,,Baseball Diamond; Picnic Shelter; Playground; Restroom; Tennis Court; Soccer Pitch,,https://www.daytonohio.gov/Facilities/Facility/Details/Belmont-Park-Shelter-12,
Bomberger Park,Municipal Park,Playground; open green space; walking paths; community recreation area,Active,City of Dayton,City of Dayton,,"E. Fifth St. & Keowee St., Dayton, OH 45403",5.5,Dayton,Montgomery,"39.757,-84.169","8FQH+Q3 Dayton, Ohio",,,,,,Playground,Open green space; walking paths; community recreation area,https://parkmagnet.com/united-states/ohio/dayton/bomberger-park,
Burkham Park,Municipal Park,Playground; basketball court; parking; picnic tables; restrooms; soccer; tennis; water access,Active,City of Dayton,City of Dayton,,"679 S. Broadway St., Dayton, OH 45417",,Dayton,Montgomery,"39.7445,-84.216","8FJH+9W Dayton, Ohio",,,,,,Playground; Basketball Court; Restroom; Tennis Court; Soccer Pitch,Picnic tables; parking; water access,https://www.daytonohio.gov/Facilities/Facility/Details/Burkham-Park-Shelter-North-13,
Burns Jackson Park,Municipal Park,Baseball/softball diamond; basketball court; picnic tables; playground; soccer field; tennis court,Active,City of Dayton,City of Dayton,,"552 Buckeye St., Dayton, OH 45410",8,Dayton,Montgomery,"39.754,-84.1695","8FQH+P2 Dayton, Ohio",,,,,,Baseball Diamond; Basketball Court; Playground; Soccer Pitch; Tennis Court,Picnic tables,https://www.daytonohio.gov/Facilities/Facility/Details/Burns-Jackson-Park-Shelter-16,
Burton Street Green,Municipal Park,No listed amenities,Active,City of Dayton,City of Dayton,,"Burton St., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
Carillon Historical Park,Historical Park,"Open-air museum with historic buildings, exhibits, and the Wright Flyer III",Active,Dayton History,Dayton History,,"1000 Carillon Blvd., Dayton, OH 45409",65,Dayton,Montgomery,"39.731,-84.191","85C2+6R Dayton, Ohio",,,,,,,Open-air museum; historic buildings; Wright Flyer III; part of Dayton History campus,https://www.daytonhistory.org,
Carillon Park Connector Corridor,Controversial,Trail and greenway corridor linking RiverScape and Carillon,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Along Great Miami River near Carillon Blvd., Dayton, OH",,Dayton,Montgomery,"39.7285,-84.1997",,,,,,,,,Connector corridor,
Centennial Field,Municipal Park,Football field; bleachers; parking; athletic turf,Active,City of Dayton,City of Dayton,,"504 E. Helena St., Dayton, OH 45404",,Dayton,Montgomery,"39.781,-84.178","85G2+XW Dayton, Ohio",,,,,,Football Field,Bleachers; parking; athletic turf,https://www.daytonohio.gov/REC,
Cleveland Park,Municipal Park,Baseball/softball diamond; basketball court; picnic tables; playground; soccer field,Active,City of Dayton,City of Dayton,,"3200 Cleveland Ave., Dayton, OH 45420",9.8,Dayton,Montgomery,"39.741,-84.14","8FPX+9Q Dayton, Ohio",,,,,,Baseball Diamond; Basketball Court; Playground; Soccer Pitch,Picnic tables,,
College Hill Park,Municipal Park,Playground; restrooms; tennis court; walking paths,Active,City of Dayton,City of Dayton,,"3222 Harvard Blvd., Dayton, OH 45406",5,Dayton,Montgomery,"39.783,-84.216","8FJH+XH Dayton, Ohio",,,,,,Playground; Restroom; Tennis Court,Walking paths,https://www.mypacer.com/parks/165637/college-hill-park-dayton,
Cox Arboretum and Gardens MetroPark,Park District Park,"Arboretum, gardens, nature trails, butterfly house",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"6733 Springboro Pike, Dayton, OH 45449",174,Dayton,Montgomery,"39.65368,-84.22789","8FHG+Q5 Dayton, Ohio",,,,,,Gardens; Nature Trail,Arboretum; butterfly house; botanical focus,,
Cricket Holler,BSA Camp,"BSA camp with forest, trails, and camp facilities",Active,Boy Scouts of America - Miami Valley Council,Boy Scouts of America - Miami Valley Council,,"6675 Brantford Rd, Dayton, OH 45414",160,Dayton,Montgomery,"39.837,-84.26","86H3+Q3 Dayton, Ohio",,,,,,,Forest; trails; camp facilities,https://www.miamivalleytrails.org,
Dayton 2nd Street Market,Recreation Facility,Indoor public market operated by Five Rivers MetroParks,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"600 E 2nd St., Dayton, OH 45402",,Dayton,Montgomery,"39.761,-84.178","85G2+QW Dayton, Ohio",,,,,,,MetroParks-operated indoor public market,https://www.metroparks.org,
Dayton View Park,Municipal Park,Basketball court; electricity; picnic tables; playground; restrooms; water availability,Active,City of Dayton,City of Dayton,,"600 Edgewood Ave., Dayton, OH 45402",8.2,Dayton,Montgomery,"39.772,-84.216","8FJH+W2 Dayton, Ohio",,,,,,Basketball Court; Playground; Restroom,Picnic tables; electricity; water availability,https://www.daytonohio.gov/facilities/facility/details/Dayton-View-Park-Shelter-19,
Dayton View Triangle Green,Municipal Green Space,Park-like neighborhood green with mature trees and scenic landscape,Active,City of Dayton,City of Dayton,,"Salem Ave., Philadelphia Dr., & Cornell Dr., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,https://liveindayton.org/dayton-view-triangle/,
Deeds Dog Park,Municipal Park,Fenced dog areas; water fountains; seating; shade; double-gated entrance,Active,City of Dayton,City of Dayton,,"555 Webster St., Dayton, OH 45404",,Dayton,Montgomery,"39.769,-84.178","8FQG+QW Dayton, Ohio",,,,,,Dog Park,,https://www.bringfido.com/attraction/12612/,
Deeds Point Buffer Zone,Park District Conservation Area,Natural buffer area adjacent to Deeds Point MetroPark,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Webster St., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
Deeds Point MetroPark,Park District Park,Scenic riverfront park at confluence of Mad and Great Miami Rivers,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"510 Webster St., Dayton, OH 45402",,Dayton,Montgomery,"39.769513,-84.183481",,,,,,,,Overlooks downtown Dayton,,
DeWeese Park,Municipal Park,Parking; picnic tables; wooded trails; river access; walking & hiking routes,Active,City of Dayton,City of Dayton,,"1301 E. Siebenthaler Ave., Dayton, OH 45414",159,Dayton,Montgomery,"39.802,-84.194","85GQ+X2 Dayton, Ohio",,,,,,Walking Trail; Picnic Area,River access,https://www.daytonohio.gov/Facilities/Facility/Details/DeWeese-Park-21,
Dull Woods Conservation Area,Park District Conservation Area,High?quality swamp forest remnant with mature wetland trees; adjacent to the Wolf Creek Trail,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"8199 Cole St., Brookville, OH 45309",8,Dayton,Montgomery,"39.51275,-84.27154",,,,,,,,Wolf Creek Trail adjacency.,https://www.metroparks.org/,
Eastwood MetroPark,Park District Park,"Lake, river corridor, trails, boating, fishing",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"1385 Harshman Rd., Dayton, OH 45431",441,Dayton,Montgomery,"39.7850,-84.1350",,,,,,,Lake; River Access; Trail,,Lake + river access,
Edgemont Cemetery,Cemetery,Small historic cemetery serving the Edgemont neighborhood,Active,City of Dayton,City of Dayton,,"Edgemont Ave., Dayton, OH 45417",,Dayton,Montgomery,"39.742,-84.216","85CW+V2 Dayton, Ohio",,,,,,,Historic cemetery with mature trees.,,
Edgemont Community Green,Municipal Green Space,Urban agriculture space; community gathering area,Active,City of Dayton,City of Dayton,,"Edgemont neighborhood, Dayton, OH",,Dayton,Montgomery,,,,,,,,,,https://www.greateredgemont.com/about,
Edgemont Solar Garden Green,Municipal Green Space,Community greenhouse; farmers markets; workshops; food production space,Active,City of Dayton,City of Dayton,,"907 Miami Chapel Rd., Dayton, OH 45417",,Dayton,Montgomery,"39.7415,-84.2178",,,,,,,,,https://www.greateredgemont.com/action/edgemont-solar-garden,
Feedwire Road Covered Bridge,Covered Bridge,Wooden covered bridge relocated from Little Sugar Creek; preserved within Carillon Historical Park,Preserved,City of Dayton,City of Dayton,,"Carillon Historical Park, 1000 Carillon Blvd., Dayton, OH 45409",,Dayton,Montgomery,"39.728,-84.2","85C2+5Q Dayton, Ohio",,,,,,,Originally located on Feedwire Road; only covered bridge in the park,https://www.daytonhistory.org/,
