site_id	site_name	site_type	managing_entity	address	city	state	zip	county	acreage	description	operating_hours	contact_phone	contact_email	website	public_access	fee_required	accessibility_features	activities	amenities	natural_features	
WC-COUNTY-002	Baldwin Woods Preserve	County Park	Wood County Park District	Range Line and Euler Roads	Bowling Green	OH	43402	Wood County	126	Mature woodlot with hunting by permit program	8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No		"Hunting (by permit), Hiking"	Trails	"Woodlands, Wetlands, Grasslands"	
WC-COUNTY-003	Beaver Creek Preserve	County Park	Wood County Park District			OH		Wood County				8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No		"Hiking, Nature Study"		"Wetlands, Creek"
WC-COUNTY-004	Black Swamp Preserve	County Park	Wood County Park District	E. Gypsy Lane Road	Bowling Green	OH	43402	Wood County		"Partnership with City of Bowling Green and Black Swamp Conservancy. Connection to Slippery Elm Trail, 116 bird species recorded"	8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No	Trail connections	"Hiking, Bird Watching, Wildlife Viewing"	Trail connection to Slippery Elm Trail	"Wetlands, Woodlands, 116 bird species"	
WC-COUNTY-005	Bradner Preserve & Community Center	County Park	Wood County Park District	11491 Fostoria Road/State Route 23	Bradner	OH	43406	Wood County	233	"Largest WCPD property with mature woodlot, sand dunes, grasslands, remnant prairie"	8am to 30 min past sunset	419-353-1897	office@wcparks.org	wcparks.org	Yes	No	Accessible facilities	"Hiking, Nature Study, Educational Programs"	"Interpretive Center, Indoor/outdoor shelter (rentable), Community Room (rentable), 2.38 miles trails"	"Sand dunes, Grasslands, Remnant prairie, Mature woodlot"	
WC-COUNTY-006	Buttonwood/Betty C. Black Recreation Area	County Park	Wood County Park District	27174 Hull Prairie Road	Perrysburg	OH	43551	Wood County	27	Premier walleye fishing spot on Maumee River	8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No		"Fishing, Boating, Paddling"	"Boat launch, Maumee River Trail access"	"Maumee River, 65% of Maumee walleye caught here"	
WC-COUNTY-007	Carter Historic Farm	County Park	Wood County Park District	18331 Carter Road	Bowling Green	OH	43402	Wood County		"Historic farm donated by Loomis family, originally purchased by Carter family in 1901 for $6,000. Joint with City of Bowling Green"	8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No	Accessible facilities	"Farm Tours, Educational Programs, Historical Interpretation"	"Loomis Community Room, Historic farm buildings, Agricultural programs"	"Working farm, Historic buildings"	
WC-COUNTY-008	Cedar Creeks Preserve	County Park	Wood County Park District			OH		Wood County				8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No		Hiking	Picnic shelter (rentable)	"Wetlands, Creeks"
WC-COUNTY-009	Cricket Frog Cove	County Park	Wood County Park District	Freyman Road	Henry Township	OH		Wood County	160	Wildlife habitat with hunting by permit. Located 0.5 mile from Freyman Road	8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No		"Hunting (by permit), Hiking, Wildlife Viewing"	"Trails, Parking"	"Wetlands, Wildlife habitat"	
WC-COUNTY-010	Fuller Preserve	County Park	Wood County Park District	Near Weston	Weston	OH		Wood County		"Donated to Brown University, then transferred to WCPD. Stand of trees over a century old. Undeveloped, hunting permitted"	8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No		"Hunting, Hiking"	None (intentionally undeveloped)	"Old-growth forest, Grasslands, Wetlands"	
WC-COUNTY-011	J.C. Reuthinger Memorial Preserve	County Park	Wood County Park District	30730 Oregon Road	Perrysburg	OH	43551	Wood County	69	"Home to WCPD native plant nursery, greenhouse, and Stewardship Department. 12,000-15,000 native plants grown annually"	8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No	Accessible facilities	"Educational Programs, Native Plant Programs, Hiking"	"Native plant nursery, Greenhouse, Stewardship Department offices"	"Native plant habitat, Nursery"	
WC-COUNTY-012	Nature Trails Park	County Park	Wood County Park District	Gypsy Lane Road behind W.C. Justice Center Complex	Bowling Green	OH	43402	Wood County		"Mix of woodlands, grasslands and wetland. No established trails - visitors roam at will. Astronomical observation program with large telescope"	"Closed during hunting seasons, check website"	419-353-1897	office@wcparks.org	wcparks.org	Seasonal (closed during hunting)	No		"Hiking, Wildlife Viewing, Astronomy, Hunting"	Astronomical telescope	"Woodlands, Grasslands, Wetlands"	
WC-COUNTY-013	Otsego Park	County Park	Wood County Park District			OH		Wood County		Historic stone lodge overlooking Maumee River. Formerly Grand View Park private resort	8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No		"Hiking, Paddling, Picnicking"	"Historic stone lodge (rentable), Boat launch, Maumee River Trail access"	Maumee River	
WC-COUNTY-014	Rudolph Bike Park	County Park	Wood County Park District	"Rudolph Road, 0.5 mile N. of Mermill Road"	Rudolph	OH		Wood County		Pump track and strider bike track facility	8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No		"Cycling, BMX"	"1,783 ft continuous pump track, 159 ft strider bike track"	Pump track	
WC-COUNTY-015	Rudolph Savanna	County Park	Wood County Park District	Near Rudolph	Rudolph	OH		Wood County		"Natural savanna habitat with native wildflowers, tall prairie grasses, and sand dunes"	8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No		"Hiking, Nature Study, Wildlife Viewing"	"Trailhead, Restrooms"	"Sand dunes, Prairie grasses, Wildflowers"	
WC-COUNTY-016	Sawyer Quarry Nature Preserve	County Park	Wood County Park District	26940 Lime City Road	Perrysburg	OH	43551	Wood County		"Donated 2014. Development includes hiking trails, rock climbing, rappelling, bouldering. Program Naturalist offices located here"	8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No	Accessible parking	"Rock Climbing, Bouldering, Rappelling, Hiking"	"Climbing walls, Bouldering areas, Program offices, Check-in kiosk"	"Former quarry, Rock formations"	
WC-COUNTY-017	Slippery Elm Trail	County Trail	Wood County Park District	Bowling Green to North Baltimore	Bowling Green to North Baltimore	OH		Wood County	13 miles	13-mile rails-to-trails paved bike path from Bowling Green to North Baltimore	8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No	"Paved, accessible"	"Cycling, Walking, Running"	"Trailheads at both ends (BG and North Baltimore), Restrooms, Water, Benches, Trash cans"	"Passes through Rudolph village, Agricultural landscape"	
WC-COUNTY-018	W.W. Knight Nature Preserve	County Park	Wood County Park District	29530 White Road	Perrysburg	OH	43551	Wood County	44	"Donated by Knight family. Nature center with LOONA (Look Out On Nature Area), boardwalk, wetlands, remnant swamp woods, native prairie. 6 miles of trails"	8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No	"Accessible nature center, boardwalk"	"Hiking, Bird Watching, Fishing, Educational Programs"	"Nature Center (10,000 SF), Hankison Great Room (rentable), Boardwalk, 1.5-acre pond, Parking"	"Wetland, Remnant swamp woods, Native prairie, Pond"	
WC-COUNTY-019	Wakeman Preserve	County Park	Wood County Park District			OH		Wood County		Undeveloped natural area	8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No		"Hiking, Nature Study"		Natural habitat	
WC-COUNTY-020	White Star Park	County Park	Wood County Park District			OH		Wood County				8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No		"Hiking, Recreation"		Natural habitat
WC-COUNTY-021	William Henry Harrison Park	County Park	Wood County Park District	644 Bierley Avenue	Pemberville	OH	43450	Wood County	22	Located in Pemberville along Portage River. Portage River Water Trail launch point	8am to sunset daily	419-353-1897	office@wcparks.org	wcparks.org	Yes	No	Accessible facilities	"Fishing, Paddling, Hiking"	"Boat launch, Portage River Water Trail access, Restrooms"	Portage River	
WC-MUNI-BG-001	City Park	Municipal Park	City of Bowling Green	520 Conneaut Avenue	Bowling Green	OH	43402	Wood County		"Flagship park with pool complex, baseball, skatepark, 0.5 mile loop"	Dawn to dusk	419-354-6223		bgohio.gov	Yes	Pool fees apply	Pool accessible	"Swimming, Baseball, Skateboarding, Walking"	"Pool complex, Baseball fields, Skatepark, 0.5-mile walking loop"	Urban park	
WC-MUNI-BG-002	Bellard Park	Municipal Park	City of Bowling Green	Kenwood Avenue & Sand Ridge Road	Bowling Green	OH	43402	Wood County		Butterfly garden and walking trails	Dawn to dusk	419-354-6223		bgohio.gov	Yes	No		"Hiking, Nature Study"	"Butterfly garden, Walking trails"	Butterfly garden	
WC-MUNI-BG-003	Carter Park	Municipal Park	City of Bowling Green	18331 Carter Road	Bowling Green	OH	43402	Wood County		Joint facility with Wood County Park District	Dawn to dusk	419-354-6223		bgohio.gov	Yes	No		"Baseball, Disc Golf, Recreation"	"Baseball diamonds (8), Disc golf, Volleyball courts (3), Shelters, Playgrounds, Parking"	Large recreation area	
WC-MUNI-BG-004	Wintergarden/St. John's Nature Preserve	Municipal Nature Preserve	City of Bowling Green	615 S Wintergarden Road	Bowling Green	OH	43402	Wood County		Nature preserve with 168 bird species recorded	Dawn to dusk	419-354-6223		bgohio.gov	Yes	No		"Hiking, Bird Watching, Wildlife Viewing"	Trails	168 bird species recorded	
WC-MUNI-BG-005	Simpson Garden Park	Municipal Park	City of Bowling Green	192 S Main Street	Bowling Green	OH	43402	Wood County		Downtown garden park	Dawn to dusk	419-354-6223		bgohio.gov	Yes	No	Accessible	"Walking, Relaxation"	"Gardens, Benches"	Urban garden	
WC-MUNI-BG-006	Conneaut Park Sledding Hill	Municipal Park	City of Bowling Green	Conneaut Avenue & Haskins Road	Bowling Green	OH	43402	Wood County		"Former reservoir site, now sledding hill"	Dawn to dusk	419-354-6223		bgohio.gov	Yes	No		"Sledding (seasonal), Recreation"	Sledding hill	Former reservoir	
WC-MUNI-BG-007	Dunbridge Road Soccer Fields	Municipal Park	City of Bowling Green	Behind Municipal Court	Bowling Green	OH	43402	Wood County		Soccer fields facility	Dawn to dusk	419-354-6223		bgohio.gov	Yes	No		"Soccer, Sports"	Soccer fields	Athletic fields	
WC-MUNI-BG-008	Raney Playground	Municipal Park	City of Bowling Green	Sand Ridge Road	Bowling Green	OH	43402	Wood County		"Playground named for architect Jack Raney, added 2006"	Dawn to dusk	419-354-6223		bgohio.gov	Yes	No	Accessible playground	"Playground, Recreation"	Playground equipment	Neighborhood park	
WC-MUNI-BG-009	Ridge Park	Municipal Park	City of Bowling Green	225 Ridge Street	Bowling Green	OH	43402	Wood County		"Newest park (2015), former elementary school site"	Dawn to dusk	419-354-6223		bgohio.gov	Yes	No	Accessible	"Recreation, Walking"	Park facilities	Former school grounds	
WC-MUNI-BG-010	Black Swamp Preserve	Municipal Preserve	City of Bowling Green (partnership with WCPD)	E. Gypsy Lane	Bowling Green	OH	43402	Wood County		Partnership with WCPD and Black Swamp Conservancy. Connection to Slippery Elm Trail. 116 bird species	Dawn to dusk	419-354-6223		bgohio.gov	Yes	No	Trail accessible	"Hiking, Bird Watching, Cycling"	13-mile Slippery Elm Trail connection	116 bird species recorded	
WC-MUNI-PB-001	Municipal Park	Municipal Park	City of Perrysburg	945 Elm Street	Perrysburg	OH	43551	Wood County	23.5	"Flagship park with pool, tennis, pickleball, baseball, summer recreation programs"	Dawn to dusk	419-872-8020	publicservice@perrysburgoh.gov	perrysburgoh.gov	Yes	Pool fees apply	"Accessible facilities, courts, paths"	"Swimming, Tennis, Pickleball, Baseball, Softball, Walking"	"Pool (opens May 31), Tennis courts, Pickleball courts, Baseball/softball fields, Walking paths, Parking"	Urban park	
WC-MUNI-PB-002	Bicentennial Park	Municipal Park	City of Perrysburg		Perrysburg	OH	43551	Wood County				419-872-8020	publicservice@perrysburgoh.gov	perrysburgoh.gov	Yes	No		Recreation		Neighborhood park	
WC-MUNI-PB-003	Davis Overlook	Municipal Overlook	City of Perrysburg		Perrysburg	OH	43551	Wood County		Scenic overlook		419-872-8020	publicservice@perrysburgoh.gov	perrysburgoh.gov	Yes	No		Scenic Views	Overlook	Scenic views	
WC-MUNI-PB-004	Eisenhower Park	Municipal Park	City of Perrysburg		Perrysburg	OH	43551	Wood County				419-872-8020	publicservice@perrysburgoh.gov	perrysburgoh.gov	Yes	No		Recreation		Neighborhood park	
WC-MUNI-PB-005	Hood Park	Municipal Park	City of Perrysburg		Perrysburg	OH	43551	Wood County		War memorials located here		419-872-8020	publicservice@perrysburgoh.gov	perrysburgoh.gov	Yes	No		"Walking, Historic Viewing"	War memorials	Historic memorials	
WC-MUNI-PB-006	Louisiana Avenue Boat Dock	Municipal Facility	City of Perrysburg	Louisiana Avenue	Perrysburg	OH	43551	Wood County		Maumee River access		419-872-8020	publicservice@perrysburgoh.gov	perrysburgoh.gov	Yes	No		Boating	Boat dock	Maumee River	
WC-MUNI-PB-007	Maple Street Boat Launch	Municipal Facility	City of Perrysburg	Maple Street	Perrysburg	OH	43551	Wood County		Maumee River access		419-872-8020	publicservice@perrysburgoh.gov	perrysburgoh.gov	Yes	No		Boating	Boat launch	Maumee River	
WC-MUNI-PB-008	Milestone Park	Municipal Park	City of Perrysburg		Perrysburg	OH	43551	Wood County		Perrysburg's smallest park		419-872-8020	publicservice@perrysburgoh.gov	perrysburgoh.gov	Yes	No		"Walking, Relaxation"		Small neighborhood park	
WC-MUNI-PB-009	Orleans Park	Municipal Park	City of Perrysburg		Perrysburg	OH	43551	Wood County				419-872-8020	publicservice@perrysburgoh.gov	perrysburgoh.gov	Yes	No		Recreation		Neighborhood park	
WC-MUNI-PB-010	Riverside Park	Municipal Park	City of Perrysburg		Perrysburg	OH	43551	Wood County		Riverfront park with seasonal Christmas lights		419-872-8020	publicservice@perrysburgoh.gov	perrysburgoh.gov	Yes	No		"Walking, Events"	Seasonal lighting	Maumee River	
WC-MUNI-PB-011	Rotary Community Park	Municipal Park	City of Perrysburg	Behind Fort Meigs YMCA	Perrysburg	OH	43551	Wood County	19.8	Community park with trails		419-872-8020	publicservice@perrysburgoh.gov	perrysburgoh.gov	Yes	No		"Hiking, Recreation"	Trails	Wooded areas	
WC-MUNI-PB-012	Rivercrest Park	Municipal Park	City of Perrysburg		Perrysburg	OH	43551	Wood County				419-872-8020	publicservice@perrysburgoh.gov	perrysburgoh.gov	Yes	No		Recreation		Neighborhood park	
WC-MUNI-PB-013	Three Meadows Park	Municipal Park	City of Perrysburg		Perrysburg	OH	43551	Wood County		"Trails, wooded areas, open fields"		419-872-8020	publicservice@perrysburgoh.gov	perrysburgoh.gov	Yes	No		"Hiking, Walking"	Trails	"Wooded areas, Open fields"	
WC-MUNI-PB-014	Woodland Park	Municipal Park	City of Perrysburg		Perrysburg	OH	43551	Wood County				419-872-8020	publicservice@perrysburgoh.gov	perrysburgoh.gov	Yes	No		Recreation		Wooded park	
WC-MUNI-RF-001	Veterans Memorial Park	Municipal Park	City of Rossford		Rossford	OH	43460	Wood County		"Maumee River location with boating, fishing, sports facilities"		419-666-2905		rossfordohio.com	Yes	No		"Boating, Fishing, Baseball, Tennis, Basketball, Picnicking"	"Ball diamond, Tennis courts, Basketball courts, Grills, Shelters"	Maumee River	
WC-MUNI-RF-002	Island View Park	Municipal Park	City of Rossford	Route 65/Dixie Highway past Lime City Road	Rossford	OH	43460	Wood County		1.1-mile exercise course with 16 stations. Maumee River access. 124 bird species recorded		419-666-2905		rossfordohio.com	Yes	No	Exercise course accessible	"Walking, Exercise, Bird Watching"	"1.1-mile exercise course, 16 exercise stations"	"Maumee River, 124 bird species"	
WC-MUNI-RF-003	Ed Ford Memorial Park	Municipal Park	City of Rossford	Dixie Highway & Elm Street	Rossford	OH	43460	Wood County		Built 1998 for city Centennial. Named for city founder		419-666-2905		rossfordohio.com	Yes	No		Recreation		Urban park	
WC-MUNI-NB-001	Slippery Elm Trail Terminus Park	Municipal Park	Village of North Baltimore	Trail terminus	North Baltimore	OH	45872	Wood County		Small park at southern terminus of Slippery Elm Trail		Village office		northbaltimore.gov	Yes	No		"Walking, Cycling, Rest Stop"	"Restrooms, Water fountain"	Trail terminus	
WC-CONS-001	Black Swamp Preserve	Conservancy Partnership	Black Swamp Conservancy (partnership with WCPD and City of BG)	E. Gypsy Lane	Bowling Green	OH	43402	Wood County		Major public preserve with trail connections. 116 bird species recorded	8am to sunset	419-833-1025		blackswamp.org	Yes	No		"Hiking, Bird Watching, Wildlife Viewing"	Slippery Elm Trail connection	"116 bird species, Native habitats"	
WC-CONS-002	Black Swamp Conservancy Easements	Conservation Easements	Black Swamp Conservancy	Various locations	Wood County	OH		Wood County		Multiple conservation easements on private properties throughout Wood County. Number and locations not publicly disclosed		419-833-1025		blackswamp.org	Generally No (private lands)	No		Land Conservation	Perpetual conservation restrictions	"Farmland, Natural areas"	
WC-CONS-003	Black Swamp Conservancy	Land Trust	Black Swamp Conservancy	P.O. Box 332	Perrysburg	OH	43552	Wood County		"Regional land trust protecting 19,000+ acres on 145 properties across 17 counties. Wood County holdings beyond Black Swamp Preserve unknown"	Office hours	419-833-1025		blackswamp.org	Varies by property	No		"Land Conservation, Education"	Regional office	17-county service area	
WC-PRIV-001	577 Foundation	Private Nonprofit Nature/Arts Center	577 Foundation	577 E Front Street	Perrysburg	OH	43551	Wood County		"Former Virginia Secor Stranahan estate. Nonprofit community arts and nature center with geodesic biodome, fossil dig, historic buildings, gardens"	9am-5pm Mon-Sun	419-874-4174		577foundation.org	Yes	No	"Accessible grounds, facilities"	"Educational Programs, Nature Study, Gardening, Arts, Fossil Hunting"	"Geodesic Biodome, Observation beehive, Log cabin (1803), StoryWalk Trail, River Walk, Bird Blind, Did's Fossil Dig, Community gardens, Children's Garden, Solar display, Pottery studio, Curiosity Shop"	"Maumee River, Devonian fossils (375M years), Native gardens"	
WC-PRIV-002	BGSU Native Prairie Garden	University Natural Area	Bowling Green State University	"Off Wintergarden Road, behind President's residence"	Bowling Green	OH	43402	Wood County		"Multiple prairie restoration sites: University House Prairie, Poe Prairie, Shatzel Prairie Garden, Butterfly Habitat. Native species from pre-settlement Wood County. Teaching/research facility"	Open campus grounds	419-372-2531		bgsu.edu/campus-sustainability	Yes	No	Campus accessible	"Education, Research, Nature Study, Hiking"	"Controlled burn management, Educational signage"	"Native Ohio prairie species, Big bluestem, Indian grass, Wild bergamot, Remnant genetics from 1800s prairies"	
