name	alternate_names	use_type	surface_type	origin_type	length_mi	counties	governance	partner_agencies	status	difficulty	accessibility	description	trail_history	identity_notes	notes	url_primary	maps	created_at	updated_at
Backwoods Trail		Hiking	Natural Surface	Purpose-Built		Hancock	Hancock Park District		Active					"Bridle trail at Litzenberg Memorial Woods (6100 US 224 W, Findlay). Listed in Features as ""Bridle trail (Backwoods Trail)"". No length data available from page."		https://hancockparks.com/parks/litzenberg-memorial-woods/		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Old Mill Stream Scenic Byway		Other		Roadside Corridor	52.0	Hancock;Putnam	Hancock Park District		Active					"IDENTITY_FLAG: Listed on HPD ""Trails"" menu but is a 52-mile scenic DRIVING byway (vehicular route), not a non-motorized recreational trail. Assess eligibility for Trail entity type vs. out-of-scope. If eligible, CROSS_COUNTY_CANDIDATE (Hancock + Putnam counties per page). LOCAL-003 flag. Deferred to normalization phase for entity type determination."		https://hancockparks.com/trails/old-millstream-scenic-byway/		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Emory Adams Park Walking Path — Westside		Hiking	Paved	Purpose-Built		Hancock	City of Findlay Parks and Recreation Department		Active					Walking path within Emory Adams Park. Westside loop: 1.2 miles. Source states two distinct loop paths (Westside 1.2 mi; Eastside 0.7 mi) — staged as separate Trail records. Paved/unpaved surface unknown. Uses park parking.		https://www.findlayohio.gov/government/city-departments/parks-and-recreation/city-parks/emory-adams-park		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Emory Adams Park Walking Path — Eastside		Hiking	Paved	Purpose-Built		Hancock	City of Findlay Parks and Recreation Department		Active					Walking path within Emory Adams Park. Eastside loop: 0.7 miles. Extends over footbridge to lacrosse field area on east side of park. Staged as separate Trail record from Westside path.		https://www.findlayohio.gov/government/city-departments/parks-and-recreation/city-parks/emory-adams-park		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Flag City Sports Complex Walking Path		Hiking	Paved	Purpose-Built		Hancock	City of Findlay Parks and Recreation Department		Active					Walking path at Flag City Sports Complex. Length: 0.45 miles. Listed as amenity on Flag City Sports Complex page.		https://www.findlayohio.gov/government/city-departments/parks-and-recreation/city-parks/flag-city-sports-complex		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Lake Daugherty Walking Trail		Hiking	Paved	Purpose-Built	0.6	Hancock	City of Fostoria — Parks and Recreation		Active					Loop trail around Lake Daugherty (Reservoir 1). Stone surface. At wooded reservoir at edge of Fostoria. COUNTY_VERIFY — county inferred from Birding Hotspots and topozone.com; parcel GIS recommended.		https://fostoriaohio.gov/parks-and-rec		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Lake Mottram Walking Trail		Hiking	Paved	Purpose-Built	0.69	Hancock	City of Fostoria — Parks and Recreation		Active					Paved loop trail around Lake Mottram (Reservoir 2). Adjacent to City Park. Hancock County confirmed (R2 is adjacent to City Park, which is explicitly Hancock County).		https://fostoriaohio.gov/parks-and-rec		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Lake Lamberjack Walking Trail		Hiking	Paved	Purpose-Built	1.29	Hancock	City of Fostoria — Parks and Recreation		Active					Paved loop trail around Lake Lamberjack (Reservoir 3). Surrounded by woods. Hancock County inferred — adjacent to Lake Mottram (R2), which is confirmed Hancock County.		https://fostoriaohio.gov/parks-and-rec		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Lake Mosier Walking Trail		Hiking	Paved	Purpose-Built	1.49	Hancock	City of Fostoria — Parks and Recreation		Active					Stone loop trail around Lake Mosier (Reservoir 4). Surrounded by woods. Hancock County likely — access via Hancock CR 23; COUNTY_VERIFY recommended.		https://fostoriaohio.gov/parks-and-rec		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Lake LeComte Walking Trail		Hiking	Paved	Purpose-Built	1.8	Hancock	City of Fostoria — Parks and Recreation		Active					Stone loop trail around Lake LeComte (Reservoir 5). Surrounded by woods and farmland. Hancock County confirmed (hiiker.app, lake-link.com, Hancock CR 23). Also spelled 'LeCompte' in some sources.		https://fostoriaohio.gov/parks-and-rec		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Veterans Memorial Reservoir Walking Trail		Hiking	Paved	Purpose-Built	2.3	Hancock	City of Fostoria — Parks and Recreation		Active					Stone loop trail around Veterans Memorial Reservoir (Reservoir 6). Surrounded by woods and farmland. COUNTY_VERIFY — hiiker.app lists as Hancock County; Mapcarta lists as Seneca County; parcel GIS recommended.		https://fostoriaohio.gov/parks-and-rec		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Benton Ridge Community Park Walking Track		Hiking	Natural Surface	Purpose-Built		Hancock	Hancock Park District		Active					Walking track located within Benton Ridge Community Park (159 OH-235, Rawson). Governance: Hancock Park District (HPD). Staged at T3. StoryWalk also present along the walking track.		https://visitfindlay.com/places/benton-ridge-community-park/		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Bluffton Bicycle Pathway		Bicycling	Paved	Purpose-Built		Hancock;Allen	Village of Bluffton		Active					"CROSS_COUNTY_CANDIDATE — Also called ""Village of Bluffton Pathway"" (American Trails). Pathway connects Buckeye Park (400 W. Spring St.) and Village Park (County Line Rd.), spanning Hancock/Allen County boundary. Goes under I-75, passes two quarries, follows a creek. Approximately 8 miles total as of 2021 per third-party sources (started 1990 with 2.5 miles). Phone: 419-358-2066 (Village of Bluffton). Village of Bluffton straddles Hancock/Allen County (LOCAL-005); GIS verification required during map pass. No standalone Google Maps entity found for pathway. North endpoint (Buckeye Park): lat=40.8993009, lon=-83.8889884; South endpoint (Bluffton Village Park): lat=40.883544, lon=-83.885384. Trailhead-specific GPS to be confirmed during GPS Acquisition Module pass."		https://visitfindlay.com/places/bluffton-bicycle-pathway/		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
Findlay Reservoir Dike Trail		Multi-Use	Natural Surface	Purpose-Built		Hancock	City of Findlay — Water Department; Ohio Department of Natural Resources Division of Wildlife (cooperative management)		Active					T6 MISS — found during T8 discovery pass 2026-05-15. Earthen dike trail surrounding Findlay Reservoirs #1 and #2 (City of Findlay municipal water supply). Reservoir #1 dike = 2.0 miles; Reservoir #2 dike = 4.3 miles; shared dike between reservoirs = 1.0 mile; outer perimeter of combined reservoir system = 5.3 miles (source: hiking-ohio.com). Trail on City of Findlay earthen infrastructure dikes; ODNR cooperative agreement covers recreation access. Notable as eBird hotspot L285907 (Findlay Reservoirs) — popular winter waterfowl birding. Often described in conjunction with Riverbend Recreation Area (HPD T3) — physically adjacent but distinct governance. Staged at discovery_tier=6 (City of Findlay). GPS pending GPS Acquisition Module pass. Seeded from Copilot baseline (Findlay Reservoir Trail).		https://hiking-ohio.com/findlay-waterworks-reservoirs-and-riverbend-activity-area/		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
McComb Reservoir Walk Trail		Hiking	Natural Surface	Purpose-Built		Hancock	Village of McComb		Active					T6 MISS — found during T8 discovery pass 2026-05-15. One-mile walk and fitness trail on paved path winding from the front of the village park around the base of both McComb Reservoirs to the back of the park. ODNR PDF map shows paved path symbol around reservoir complex. Village of McComb governance. Staged at discovery_tier=6. GPS pending GPS Acquisition Module pass. Seeded from Copilot baseline (McComb Reservoir Trail).		https://www.villageofmccomb.com/parks-and-amenities		2026-05-16T16:04:21Z	2026-05-16T16:04:21Z
