Name,Type,Description,Status,Ownership,Management,Coordination,Address,Acres,Location,County,GPS Coordinates,Plus Code,Trail Role,Parent Trail Name,Trail Segment Type,Trail Access Type,Trail Length (Miles),Features,Notes,URL,
Bell Civic Park,Municipal Park,Small civic greenspace,Active,City of Miamisburg,City of Miamisburg,,1021 S. Main St.,,Miamisburg,Montgomery,"39.635260,-84.287870","J9Q4+M2 Miamisburg, Ohio",None,,None,None,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Belle Plain Park,Municipal Park,Neighborhood park with greenspace,Active,City of Huber Heights,City of Huber Heights,,"7715 Belle Plain Dr, Huber Heights, OH",,Huber Heights,Montgomery,"39.864870,-84.113940","3G9W+QW Huber Heights, Ohio",None,,None,None,,Playground,,,
Belmont Park,Municipal Park,,Active,City of Dayton,City of Dayton,,"957 Lynhurst Ave., Dayton, OH 45420",55,Dayton,Montgomery,"39.729020,-84.129020","9J9G+2C Dayton, Ohio",None,,None,None,,Baseball diamond; Picnic Shelter; Playground; Restroom; Tennis Court; Soccer Pitch,,https://www.daytonohio.gov/Facilities/Facility/Details/Belmont-Park-Shelter-12,
Benham's Grove,Municipal Park,19th‑century farmhouse complex and community gathering place,Active,City of Centerville,City of Centerville,,"166 North Main Street, Centerville, OH",10,Centerville,Montgomery,"39.639870,-84.159020","9GQ2+JH Centerville, Ohio",None,,None,None,,,Historic estate; renovated grounds; event center,https://www.benhamsgrove.com/BENDEV/,
Benner Park,Municipal Park,Athletic fields and open green space,Active,City of Miamisburg,City of Miamisburg,,1608 Maue Rd.,,Miamisburg,Montgomery,"39.630870,-84.288540","J9Q3+5H Miamisburg, Ohio",None,,None,None,,Baseball Diamond; Soccer Pitch,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Berwin Park,Municipal Park,Train-themed playground; benches,Active,City of Kettering,City of Kettering,,"1400 Berwin Ave., Kettering, OH 45429",1.7,Kettering,Montgomery,"39.695900,-84.168000","9GJX+QG Kettering, Ohio",None,,None,None,,Basketball Court; Playground,,https://www.playkettering.org/berwin-park/,
Big Bend Park,Park District Park,"Neighborhood park with wooded area, trails, and bridge.",Active,Centerville–Washington Park District,Centerville–Washington Park District,,1328 Spring Ash Drive,7.841,Centerville,Montgomery,"39.627410,-84.143870","9GPF+J6 Centerville, Ohio",None,,None,None,,Playground,Access to old railroad bed; stream feature; drinking fountain (seasonal),https://cwpd.org/parks/big-bend/,
Bill Yeck Park,Park District Park,"Large natural area with rare plant species, fossils, and extensive trail system",Active,Centerville–Washington Park District,Centerville–Washington Park District,,Rooks Mill Entrance: 8798 Rooks Mill Ln.; Smith House Entrance: 2230 E. Centerville Station Rd.; McGuffey Meadow Entrance: 7893 Wilmington-Dayton Rd.,194.352,Centerville,Montgomery,"39.627980,-84.106870","9GPG+Q4 Centerville, Ohio",None,,None,None,,,Historic sites; environmental education programs; multiple parking areas,https://cwpd.org/parks/bill-yeck/,
Black Oak East Park,Park District Park,"Natural area with forest, stream, and informal trails",Active,Centerville–Washington Park District,Centerville–Washington Park District,,7835 John Elwood Drive,25.394,Centerville,Montgomery,,,None,,None,None,,,Acquired via open space transfer (1971–1992),https://cwpd.org/parks/black-oak-east/,
Black Oak Park,Park District Park,"Nature park with hiking trails, stream, paved path, and wetland overlook",Active,Centerville–Washington Park District,Centerville–Washington Park District,,1552 Ambridge Road; 7766 Bigger Road,17.855,Centerville,Montgomery,,,None,,None,None,,Playground; Sledding Hill,drinking fountain (seasonal),https://cwpd.org/parks/black-oak/,
Blackhawk Park,Municipal Park,Ball fields; basketball courts; playground; picnic shelter; grill; paved path,Active,City of Kettering,City of Kettering,,"3005 Blackhawk Dr., Kettering, OH 45420",7.3,Kettering,Montgomery,"39.6847,-84.1298",,None,,None,None,,,,https://www.playkettering.org/blackhawk-park/,
BMX Bike Trail,Internal Feature,Named BMX trail within Miamisburg Community Park,Active,City of Miamisburg,City of Miamisburg,,1681 Maue Road (Sycamore Trails Park),,Miamisburg,Montgomery,,,None,,None,None,,,Contained within Miamisburg Community Park,https://www.playmiamisburg.com/parks_facilities/,
Bomberger Park,Municipal Park,Playground; open green space; walking paths; community recreation area,Active,City of Dayton,City of Dayton,,"E. Fifth St. & Keowee St., Dayton, OH 45403",5.5,Dayton,Montgomery,"39.7570,-84.1690",,None,,None,None,,,,https://parkmagnet.com/united-states/ohio/dayton/bomberger-park,
Brittany Hills Park,Park District Park,"Neighborhood park with wooded area and play equipment including slides, climbers, belt swings, and infant swings",Active,Centerville–Washington Park District,Centerville–Washington Park District,,5825 Batsford Drive,4.184,Centerville,Montgomery,,,None,,,,,Hiking trails,Purchased in 1977 with U.S. Department of the Interior funding,https://cwpd.org/parks/brittany-hills/,
Brown School Road Park,Municipal Park,"Neighborhood greenspace with benches, open play area, and nature observation",Active,City of Vandalia,City of Vandalia,,"792 Hunter’s Chase, Vandalia, OH 45377",,Vandalia,Montgomery,"39.8790,-84.2058",,None,,None,None,,,,https://vandaliaohio.org/Facilities/Facility/Details/Brown-School-Road-Park-3,
Bruin Park,Municipal Park,Neighborhood park within Englewood’s municipal park system,Active,City of Englewood,City of Englewood,,"201 N Main Street, Englewood, Ohio 45322",,Englewood,Montgomery,,,None,,,,,Playground; Picnic Shelter,Features from City of Englewood facility page,https://www.englewood.oh.us/Facilities/Facility/Details/Bruin-Park-1,
Buckeye Pheasant Hunting Preserve,Private Hunting Reserve,Privately operated upland game preserve offering guided and unguided pheasant hunts; habitat includes fields and mixed cover,Active,Private,,,"1601 Diamond Mill Rd, New Lebanon, OH 45345",,New Lebanon,Montgomery,"39.7419,-84.3308",,No,,,,,,Hunting preserve; upland game habitat,https://www.buckeyepheasanthunting.com,
Burkham Park,Municipal Park,Playground; basketball court; parking; picnic tables; restrooms; soccer; tennis; water access,Active,City of Dayton,City of Dayton,,"679 S. Broadway St., Dayton, OH 45417",,Dayton,Montgomery,"39.7445,-84.2160",,None,,None,None,,,,https://www.daytonohio.gov/Facilities/Facility/Details/Burkham-Park-Shelter-North-13,
Burns Jackson Park,Municipal Park,Baseball/softball diamond; basketball court; picnic tables; playground; soccer field; tennis court,Active,City of Dayton,City of Dayton,,"552 Buckeye St., Dayton, OH 45410",8,Dayton,Montgomery,"39.7540,-84.1695",,None,,None,None,,,,https://www.daytonohio.gov/Facilities/Facility/Details/Burns-Jackson-Park-Shelter-16,
Burton Street Green,Municipal Park,No listed amenities,Active,City of Dayton,City of Dayton,,"Burton St., Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,,
Camp Charles R. Hook,BSA Camp,Historic BSA camp (closed 1991); now contained within Twin Creek MetroPark; contains oak from Gilwell Park,Closed,Boy Scouts of America (historic),,,"8502 Chamberlain Rd., Germantown, OH 45327",,Germantown,Montgomery,"39.6430,-84.3690",,None,,None,None,,,Contained within Twin Creek MetroPark.,,
Canal Lock Park,Municipal Park,Historical lock site and mini-park,Active,City of Huber Heights,City of Huber Heights,,"5999 Endicott Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,None,,None,,,,Historical canal feature,,
Canal Run Dog Park,Internal Feature,Off‑leash dog park within Miamisburg Community Park,Active,City of Miamisburg,City of Miamisburg,,550 South First Street (inside Community Park),,Miamisburg,Montgomery,,,None,,None,None,,,Contained within Miamisburg Community Park,https://www.playmiamisburg.com/parks_facilities/,
Carillon Historical Park,Historical Park,"Open‑air museum with historic buildings, exhibits, and the Wright Flyer III",Active,Dayton History,Dayton History,,"1000 Carillon Blvd., Dayton, OH 45409",65,Dayton,Montgomery,"39.7310,-84.1910","85C2+6R Dayton, Ohio",None,,None,None,,,Part of Dayton History campus,https://www.daytonhistory.org,
Carillon Park Connector Corridor,Controversial,Trail and greenway corridor linking RiverScape and Carillon,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Along Great Miami River near Carillon Blvd., Dayton, OH",,Dayton,Montgomery,,,None,,None,None,,,Connector corridor,,
Carnegie Center,Recreation Facility,Community recreation and cultural facility,Active,City of Miamisburg,City of Miamisburg,,426 E. Central Ave.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Carriage Hill MetroPark,Park District Park,"Large regional MetroPark with trails, historic farm, visitor center, prairie, equestrian facilities",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"7800 E Shull Rd, Huber Heights, OH",900,Huber Heights,Montgomery,,,None,,,,,,,https://www.metroparks.org/,
Case Landing,Municipal Park,River access site on the Great Miami River for non-motorized watercraft,Active,City of Miamisburg,City of Miamisburg,,Linden & Riverview Ave.,,Miamisburg,Montgomery,,,None,,None,None,,,Great Miami River access,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf; https://www.playmiamisburg.com/parks_facilities/parks/,
Cassel Hills Pool,Recreation Facility,"Seasonal outdoor public pool with lap lanes, diving area, deck seating, and adjacent greenspace",Seasonal,City of Vandalia,City of Vandalia,,"1061 Taylorsview Dr, Vandalia, OH 45377",,Vandalia,Montgomery,"39.8794,-84.2006",,Yes,,,,,,Public pool; lap lanes; diving area; deck seating,https://vandaliaohio.org,
Centennial Field,Municipal Park,Football field; bleachers; parking; athletic turf,Active,City of Dayton,City of Dayton,,"504 E. Helena St., Dayton, OH 45404",,Dayton,Montgomery,"39.7810,-84.1780",,None,,None,None,,,,https://www.daytonohio.gov/REC,
Centennial Park,Municipal Park,Community park providing multiuse recreation space within Englewood’s park system,Active,City of Englewood,City of Englewood,,"321 Union Boulevard, Englewood, Ohio 45322",,Englewood,Montgomery,,,None,,,,,Fishing Pond;Picnic Shelter;Playground,Amenities summarized from city bikeways and recreation brochure,https://www.englewood.oh.us/189/Parks-Playgrounds,
Chambersburg Road Trail Access,Trail Access Point,Access point to regional bikeway network,Public,Miami Valley Trails,,,"Chambersburg Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,Bikeway Access,,,,,,,https://www.miamivalleytrails.org,
Cherry Hill Park,Park District Park,Neighborhood park with play equipment and open athletic area,Active,Centerville–Washington Park District,Centerville–Washington Park District,,10244 Cherry Tree Terrace,6.016,Centerville,Montgomery,,,None,,,,,Informal open play area,Grill; picnic tables; sled hill; acquired 1988; originally Section 16 Park; renamed 1997,https://cwpd.org/parks/cherry-hill/,
Cleveland Park,Municipal Park,Baseball/softball diamond; basketball court; picnic tables; playground; soccer field,Active,City of Dayton,City of Dayton,,"3200 Cleveland Ave., Dayton, OH 45420",9.8,Dayton,Montgomery,"39.7410,-84.1400",,None,,None,None,,,,,
Cloverbrook Park,Park District Park,Neighborhood park with open sports area and play equipment,Active,Centerville–Washington Park District,Centerville–Washington Park District,,7566 Cloverbrook Park Drive,5.522,Centerville,Montgomery,,,None,,,,,Informal play area,Formerly Pelbrook Park; renamed 2020; acquired 1973,https://cwpd.org/parks/cloverbrook/,
College Hill Park,Municipal Park,Playground; restrooms; tennis court; walking paths,Active,City of Dayton,City of Dayton,,"3222 Harvard Blvd., Dayton, OH 45406",5,Dayton,Montgomery,"39.7830,-84.2160",,None,,None,None,,,,https://www.mypacer.com/parks/165637/college-hill-park-dayton,
Community Garden,Municipal Park,Community garden plots and greenspace,Active,City of Huber Heights,City of Huber Heights,,"4301 Powell Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,None,,None,,,,,,
Community Park,Municipal Park,"Playground, shelter, open greenspace",Active,City of Huber Heights,City of Huber Heights,,"5401 Chambersburg Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,None,,None,,,,,,
Community Park,Municipal Park,Basketball courts; playground; walking path; contains Canal Run Dog Park; BMX trail; skate park,Active,City of Miamisburg,City of Miamisburg,,550 South First Street,,Miamisburg,Montgomery,,,None,,None,None,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf; https://www.playmiamisburg.com/parks_facilities/parks/,
Community Park,Municipal Park,"Community park with walking path, playgrounds, dog park, courts, and picnic amenities",Active,City of Riverside,City of Riverside,,"796 Old Harshman Road, Riverside, OH 45431",11,Riverside,Montgomery,,,None,,None,None,0.48,Playground;Dog Park;Basketball Court;Volleyball Court;Walking Path;Picnic Shelter;Restroom;Water Fountain;Grill,,https://cms3.revize.com/revize/riverside/Parks%20&%20Recreation%20Amenities.pdf?t=202508061644210&t=202508061644210,
Community Park Learning Center,Recreation Facility,Indoor learning and community space,Active,City of Miamisburg,City of Miamisburg,,550 S. First St.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Concept Park,Park District Park,"Neighborhood park with basketball court, shelter, play equipment, and stream feature",Active,Centerville–Washington Park District,Centerville–Washington Park District,,345 Clareridge Lane,6.016,Centerville,Montgomery,,,None,,,,,Informal natural stream area,Basketball court; drinking fountain; shelter; picnic tables; water feature; acquired 1963,https://cwpd.org/parks/concept/,
Concord Farms North Neighborhood Park,Municipal Park,Green space and neighborhood recreation area,Active,City of Union,City of Union,,Concord Farms North subdivision,,Union,Montgomery,,,None,,None,None,,,,https://www.unionoh.org/1257/Places-to-Play,
Concord Farms West Neighborhood Park,Municipal Park,Green space and neighborhood recreation area,Active,City of Union,City of Union,,Concord Farms West subdivision,,Union,Montgomery,,,None,,None,None,,,,https://www.unionoh.org/1257/Places-to-Play,
Cook Park,Municipal Park,"Small neighborhood park with slide, swing set, bars, basketball court, and shelter",Active,Village of Carlisle,Village of Carlisle,,Northwest of Fairview Dr. & Timber Ridge Dr.,,Carlisle,Montgomery,,,None,,None,None,,,,https://www.carlisleoh.org/community/parks_recreation/index.php,
Copperfield Park,Municipal Park,"Neighborhood park with benches, greenspace, and informal recreation area",Active,City of Vandalia,City of Vandalia,,"1635 Middlefield Ct, Dayton, OH 45414",,Vandalia,Montgomery,"39.8597,-84.1915",,None,,None,None,,,,https://vandaliaohio.org/Facilities/Facility/Details/Copperfield-Park-4,
Cornerstone Park,Municipal Park,"Passive parkland with trails, greenspace, plaza, sculpture, and preserved stream",Active,City of Centerville,City of Centerville,,5210 Cornerstone North Boulevard,11,Centerville,Montgomery,,,None,,,,,,Developed with Oberer Developers and ODNR; Clean Ohio grant; part of DORA district; Hiking/walking trails,https://www.centervilleohio.gov/402/Cornerstone-Park,
Cottonwood Park,Municipal Park,Neighborhood park with playground and greenspace,Active,City of Huber Heights,City of Huber Heights,,"6000 Fishburg Rd, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,None,,None,,,,,https://huberheights.org,
Countryside Park,Park District Park,"Mixed natural and recreational park with lake, ponds, boardwalk, kayak launch, playgrounds, fields, and paved path",Active,Washington Township,Washington Township,,895 Miamisburg‑Centerville Road,21.2,Centerville,Montgomery,,,None,,,,,Paved pedestrian path; boardwalk; kayak launch,Donor required nature preserve use; historic cabin; master plan improvements,https://www.washingtontwp.org/recreation/rentals___parties/countryside_park,
Cox Arboretum and Gardens MetroPark,Park District Park,"Arboretum, gardens, nature trails, butterfly house",Active,Five Rivers MetroParks,Five Rivers MetroParks,,,174,Dayton,Montgomery,,,Yes,,,,,,Botanical focus,,
Crains Run County Nature Preserve,County Nature Preserve,"County‑managed river corridor with wetlands, riparian habitat, and access to the Great Miami River Trail",Active,Montgomery County,Montgomery County,,"10400 Dayton Cincinnati Pike, Miamisburg, OH 45342",,Miami Township,Montgomery,"39.5880,-84.2735",,None,,None,None,,,Multiple unofficial names exist online (“Nature Area” / “Nature Park”); consolidated into a single county‑managed conservation parcel.,https://mcdwater.org (if applicable),
Creekside Trail Access — Airway Rd,Trail Access Point,Trail access point to the Creekside Trail,Active,Miami Valley Trails,Miami Valley Trails,,"Airway Rd, Riverside, OH",,Riverside,Montgomery,,,Bikeway Access Point,Creekside Trail,None,Access Point,,,,https://www.miamivalleytrails.org,
Creekside Trail Access — Woodman Dr,Trail Access Point,Trail access point to the Creekside Trail,Active,Miami Valley Trails,Miami Valley Trails,,"Woodman Dr, Riverside, OH",,Riverside,Montgomery,,,Bikeway Access Point,Creekside Trail,None,Access Point,,,,https://www.miamivalleytrails.org,
Cricket Holler,BSA Camp,"BSA camp with forest, trails, and camp facilities",Active,Boy Scouts of America – Miami Valley Council,Boy Scouts of America – Miami Valley Council,,"6675 Brantford Rd, Dayton, OH 45414",160,Dayton,Montgomery,"39.8370,-84.2600","86H3+Q3 Dayton, Ohio",None,,None,None,,,,https://www.miamivalleytrails.org,
Dayton 2nd Street Market,Recreation Facility,Indoor public market operated by Five Rivers MetroParks,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"600 E 2nd St., Dayton, OH 45402",,Dayton,Montgomery,"39.7610,-84.1780","85G2+QW Dayton, Ohio",No,,,,,,MetroParks-operated community market,https://www.metroparks.org,
Dayton View Park,Municipal Park,Basketball court; electricity; picnic tables; playground; restrooms; water availability,Active,City of Dayton,City of Dayton,,"600 Edgewood Ave., Dayton, OH 45402",8.2,Dayton,Montgomery,"39.7720,-84.2160",,None,,None,None,,,,https://www.daytonohio.gov/facilities/facility/details/Dayton-View-Park-Shelter-19,
Dayton View Triangle Green,Municipal Park,Park-like neighborhood green with mature trees and scenic landscape,Active,City of Dayton,City of Dayton,,"Salem Ave., Philadelphia Dr., & Cornell Dr., Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,https://liveindayton.org/dayton-view-triangle/,
Deeds Dog Park,Municipal Park,Fenced dog areas; water fountains; seating; shade; double-gated entrance,Active,City of Dayton,City of Dayton,,"555 Webster St., Dayton, OH 45404",,Dayton,Montgomery,"39.7690,-84.1780",,None,,None,None,,,,https://www.bringfido.com/attraction/12612/,
Deeds Point Buffer Zone,Park District Conservation Area,Natural buffer area adjacent to Deeds Point MetroPark,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Webster St., Dayton, OH",,Dayton,Montgomery,,,None,,None,None,,,,,
Deeds Point MetroPark,Park District Park,Scenic riverfront park at confluence of Mad and Great Miami Rivers,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Dayton,Montgomery,,,Yes,,,,,,Overlooks downtown Dayton,,
Deer Meadow Connector Trail,Municipal Park,Short paved connector linking Deer Meadow Park to the regional trail system,Active,City of Moraine,City of Moraine,,Near 2650 Blanchard Avenue,,Moraine,Montgomery,,,None,,None,None,,,Connector trail,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052,
Deer Meadow Park,Municipal Park,Playground equipment; picnic tables; grills; shelters; basketball court,Active,City of Moraine,City of Moraine,,2650 Blanchard Avenue,5,Moraine,Montgomery,,,None,,None,None,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052,
Delco Park,Municipal Park,Fishing pond; BMX track; shelters; restrooms; trails; large open fields,Active,City of Kettering,City of Kettering,,"1700 Delco Park Dr., Kettering, OH 45420",69,Kettering,Montgomery,"39.7053,-84.1137",,None,,None,None,,,,https://www.playkettering.org/delco-park/,
DeWeese Park,Municipal Park,Parking; picnic tables; wooded trails; river access; walking & hiking routes,Active,City of Dayton,City of Dayton,,"1301 E. Siebenthaler Ave., Dayton, OH 45414",159,Dayton,Montgomery,"39.8020,-84.1940",,None,,None,None,,,,https://www.daytonohio.gov/Facilities/Facility/Details/DeWeese-Park-21,
Dial Park,Municipal Park,Neighborhood park with greenspace and bike amenity planning,Active,City of Huber Heights,City of Huber Heights,,"5046 Longford Rd, Huber Heights, OH 45424",,Huber Heights,Montgomery,"39.86457,-84.10863",,None,,None,,,,,https://hhoh.recdesk.com/Community/Facility/Detail?facilityId=28,
Disc Golf Course,Recreation Facility,"18-hole disc golf course designed for newer players; shared baskets; incorporates water, trees, walking paths, and cricket field",Active,City of Centerville,City of Centerville,,255 W. Spring Valley Pike,,Centerville,Montgomery,,,,,,,,Walking paths,Opened 2016; ODNR funding; benches added,https://www.centervilleohio.gov/Facilities/Facility/Details/Disc-Golf-Course-5,
Divided Ridge Park,Park District Park,"Neighborhood park with paved walking path, benches, play equipment, and shelter",Active,Centerville–Washington Park District,Centerville–Washington Park District,,347 Beck Drive,1.374,Centerville,Montgomery,,,None,,,,,Paved walking path,Acquired 2008; watershed divide; playground expanded 2019,https://cwpd.org/parks/divided-ridge/,
Doctor Bowers Lakes,Municipal Park,Lakeside public open space within Englewood’s park system,Active,City of Englewood,City of Englewood,,"Englewood, Ohio 45322",,Englewood,Montgomery,,,None,,,,,,,https://www.englewood.oh.us/189/Parks-Playgrounds,
Don Rusk Park (Fuls Park),Municipal Park,"Community park with ballfields, paved loop trail, playground; dog-friendly",Active,Village of New Lebanon,Village of New Lebanon,,"209–233 S Fuls Rd, New Lebanon, OH 45345",,New Lebanon,Montgomery,"39.7399,-84.3880",,None,,None,None,,,,https://www.newlebanonoh.com,
Donnington Park,Municipal Park,Playground equipment and a half basketball court,Active,City of West Carrollton,City of West Carrollton,,350 Donnington Dr.,,West Carrollton,Montgomery,,,None,,None,None,,,Playground and court amenities only.,,
Donnybrook Park,Park District Park,"Neighborhood park with wooded area, rare fen, stream, and play equipment",Active,Centerville–Washington Park District,Centerville–Washington Park District,,6161 Donnybrook Drive; 6161 Millbrook Drive,4.724,Centerville,Montgomery,,,None,,,,,Hiking trails; fen access,Fen restoration; boardwalk; invasive removal; acquired 1966,https://cwpd.org/parks/donnybrook/,
Drennen Park,Municipal Park,"Neighborhood park with walking path, playground, court, and parking",Active,City of Riverside,City of Riverside,,"5731 Penn Avenue, Riverside, OH 45432",4.5,Riverside,Montgomery,,,None,,None,None,0.12,Playground;Basketball Court;Walking Path;Restroom,,https://cms3.revize.com/revize/riverside/Parks%20&%20Recreation%20Amenities.pdf?t=202508061644210&t=202508061644210,
Dull Woods,Park District Conservation Area,Wooded natural tract managed for conservation,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Brookville, Ohio, USA",8,Brookville,Montgomery,,,None,,None,None,,,,,
Dull Woods Conservation Area,Park District Conservation Area,High‑quality swamp forest remnant with mature wetland trees; adjacent to the Wolf Creek Trail,Active,Five Rivers MetroParks,Five Rivers MetroParks,,Westbrook Rd. near Wolf Creek Trail,8,Dayton,Montgomery,,,None,,None,None,,,Wolf Creek Trail adjacency.,https://www.metroparks.org/,
East River Landing,Municipal Park,Boat ramp; fishing access; picnic tables; riverfront green space,Active,City of Moraine,City of Moraine,,3800 East River Road,2,Moraine,Montgomery,,,None,,None,None,,,Great Miami River access,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052,
Eastwood MetroPark,Park District Park,"Lake, river corridor, trails, boating, fishing",Active,Five Rivers MetroParks,Five Rivers MetroParks,,,441,Dayton,Montgomery,,,Yes,,,,,,Lake + river access,,
Edgemont Cemetery,Cemetery,Small historic cemetery serving the Edgemont neighborhood,Active,City of Dayton,City of Dayton,,"Edgemont Ave., Dayton, OH 45417",,Dayton,Montgomery,"39.7420,-84.2160","85CW+V2 Dayton, Ohio",None,,None,None,,,Historic cemetery with mature trees.,,
Edgemont Community Green,Municipal Park,Urban agriculture space; community gathering area,Active,City of Dayton,City of Dayton,,"Edgemont neighborhood, Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,https://www.greateredgemont.com/about,
Edgemont Solar Garden Green,Municipal Park,Community greenhouse; farmers markets; workshops; food production space,Active,City of Dayton,City of Dayton,,"Miami Chapel Rd., Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,https://www.greateredgemont.com/action/edgemont-solar-garden,
