name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id	created_at	updated_at
Harmon Park	Park	Neighborhood Park		Active	City of Wauseon	City of Wauseon Parks & Recreation			An 8.3-acre park in Wauseon offering walking and running trails in a natural setting.	Wauseon, OH 43567	8.3	Fulton			41.55	-84.1385	86HQHV26+2J	Hiking Trail	NEW DISCOVERY — not in baseline. Confirmed via mypacer park listing. 8.3 acres. GPS approximate — map verification needed. GPS approximate — centroid-level; needs field verification.	https://www.mypacer.com/parks/c18dt/wauseon-ohio			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Lion's Park	Park	Neighborhood Park		Active	Village of Archbold	Village of Archbold Parks & Recreation			A small neighborhood park on East Holland Street in Archbold.	East Holland Street, Archbold, OH 43502		Fulton			41.5227	-84.2989	86HQGPF2+3C	Basketball Court; Playground	Baseline seed confirmed. GPS approximate. GPS approximate — centroid-level; needs field verification.	https://www.archbold.com/parks___recreation/parks.php			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Memorial Park (Archbold)	Park	Neighborhood Park		Active	Village of Archbold	Village of Archbold Parks & Recreation			A 40+ acre park on the south side of Archbold, home to baseball and softball programs. Features monuments honoring military service.	South side of Archbold, OH 43502	40	Fulton			41.5143	-84.3025	86HQGM7X+P2	Ball Diamond; Basketball Court; Tennis Court; Volleyball Court; Playground; Restrooms; Monument	Baseline seed confirmed. Also known as Memorial Park Ball Fields. GPS approximate. GPS approximate — centroid-level; needs field verification.	https://www.archbold.com/parks___recreation/parks.php	https://archboldparks.recdesk.com/Community/Facility		2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
North Pointe Park	Park	Neighborhood Park		Active	Village of Archbold	Village of Archbold Parks & Recreation			A residential area neighborhood park centrally located near the intersection of St. Anne and Primrose Streets in Archbold.	St. Anne & Primrose Streets, Archbold, OH 43502		Fulton			41.5206	-84.305	86HQGMCV+6X	Basketball Court; Playground; Sledding Hill	Baseline seed confirmed. GPS approximate. GPS approximate — centroid-level; needs field verification.	https://www.archbold.com/parks___recreation/parks.php			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Ruihley Park	Park	Neighborhood Park		Active	Village of Archbold	Village of Archbold Parks & Recreation			A 27-acre community park in the center of Archbold, described as 'beautiful and serene,' serving as a major community events venue.	401 W Holland St, Archbold, OH 43502	27	Fulton			41.5239	-84.3122	86HQGMFQ+H4	Hiking Trail; Spray Park; Pavilion; Pickleball Court; Volleyball Court; Playground; Restrooms; Cabin Rentals	Baseline seed confirmed. Address: 401 W Holland St. GPS confirmed from mypacer.com.	https://www.archbold.com/parks___recreation/parks.php	https://archboldparks.recdesk.com/Community/Facility?type=2		2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
South Street Park	Park	Neighborhood Park		Active	Village of Archbold	Village of Archbold Parks & Recreation			A neighborhood park at the corner of South and West Streets in Archbold with recent playground improvements.	South Street & West Street, Archbold, OH 43502		Fulton			41.5163	-84.308	86HQGM8R+GQ	Basketball Court; Playground	Baseline seed confirmed. GPS approximate. GPS approximate — centroid-level; needs field verification.	https://www.archbold.com/parks___recreation/parks.php			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Woodland Park	Park	Neighborhood Park		Active	Village of Archbold	Village of Archbold Parks & Recreation			A large (approximately 60-acre) park adjacent to the Woodland Oaks subdivision on SR 66. The newest addition to Archbold's park system, featuring a disc golf course and wooded recreation area.	Adjacent to Woodland Oaks subdivision, SR 66, Archbold, OH 43502	60	Fulton			41.5168	-84.295	86HQGP83+PX	Hiking Trail; Basketball Court; Soccer Pitch; Disc Golf Course; Playground; Restrooms	Baseline seed confirmed. Newest park in Archbold system. GPS approximate. GPS approximate — centroid-level; needs field verification.	https://www.archbold.com/parks___recreation/parks.php			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Delta Park	Park	Sports Park		Active	Village of Delta	Village of Delta Parks & Recreation			The primary active park in the Village of Delta, established 1955 on 23 acres. Home to the annual Delta Chicken Festival (2nd weekend of July). Also known as Delta Municipal Park.	Delta, OH 43515	23	Fulton			41.5765	-84.0138	86HQHXGP+JF	Pavilion; Ball Diamond; Basketball Court; Volleyball Court; Soccer Pitch; Skate Park; Playground	NEW DISCOVERY — not directly in baseline. Established 1955. GPS approximate. GPS approximate — centroid-level; needs field verification.	https://www.villageofdelta.org/1207/Parks-Recreation			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Wildwood Park (Delta)	Park	Neighborhood Park		Inactive	Village of Delta	Village of Delta Parks & Recreation			Delta's first park, established July 1926 on a 7-acre property historically known as 'Longnecker Grove.' Originally featured swings, slides, ball diamonds, a bandstand, and winter ice skating. Now described as overgrown and no longer maintained.	Adrian Street, north end of Greenlawn Cemetery, Delta, OH 43515	7	Fulton			41.5779	-84.0152	86HQHXHM+5W	Playground	NEW DISCOVERY. Corresponds to GNIS feature 'Longnecker Grove' (GPS 41.5764407,-84.0152237). Established 1926. Status: Inactive — described as overgrown and no longer maintained. Baseline GNIS seed 'Longnecker Grove' resolves to this park. GPS from address geocode — verify precision.	https://www.villageofdelta.org/1207/Parks-Recreation			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Hatcher Park	Park	Neighborhood Park		Active	Village of Fayette	Village of Fayette Parks Department				Fayette, OH 43521		Fulton							UNVERIFIED — baseline seed 'Hatcher Park'. Fayette parks page mentions only baseball/softball diamonds but does not list park names. Existence not independently confirmed. Map verification required. No GPS acquired. GPS needed — Hatcher Park location unconfirmed.	https://www.villageoffayette.com/2152/Parks-Recreation			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Normal Grove Park	Park	Neighborhood Park		Active	Village of Fayette	Village of Fayette Parks Department				Fayette, OH 43521		Fulton							UNVERIFIED — baseline seed 'Nomal Grove Park' (likely spelling error for Normal Grove Park). Mentioned in Fayette village photo gallery. Not detailed on official parks page. Map verification required. No GPS acquired. GPS needed — Normal Grove Park location unconfirmed.	https://www.villageoffayette.com/2152/Parks-Recreation			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Dunbar-Ingall Park	Park	Neighborhood Park		Active	Village of Lyons	Village of Lyons			A community park along West Morenci Street hosting community events including the annual tree lighting ceremony. The village accepted a 3/4-acre land donation for park expansion.	West Morenci Street (OH-120), Lyons, OH 43533		Fulton			41.6998	-84.0742	86HQMWXG+W8	Gazebo	Baseline seed confirmed. Recent 3/4-acre land donation. Gazebo improvement planned. GPS approximate. GPS approximate — centroid-level; needs field verification.	https://www.lyons-ohio.com/community-parks.html			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Green Memorial Park	Park	Neighborhood Park		Active	Village of Lyons	Village of Lyons				Lyons, OH 43533		Fulton							Baseline seed confirmed. Listed on Lyons village community parks page but no specific details available. Map verification needed for address and features. GPS not acquired. GPS needed — Green Memorial Park location unconfirmed.	https://www.lyons-ohio.com/community-parks.html			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Lyons Community Ball Park	Recreation Facility	Athletic Field		Active	Village of Lyons	Village of Lyons			Public ball fields in the Village of Lyons.	Lyons, OH 43533		Fulton						Ball Diamond	Baseline seed confirmed. Map verification needed for address. GPS not acquired. GPS needed — Lyons Community Ball Park location unconfirmed.	https://www.lyons-ohio.com/community-parks.html			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Metamora Community Park	Park	Neighborhood Park		Active	Village of Metamora	Village of Metamora			Community park in the Village of Metamora hosting annual 'Park O Rama' events and community gatherings. Five acres on the west side designated for soccer tournaments.	Metamora, OH 43540		Fulton			41.5585	-84.0776	86HQHW5C+CX	Hiking Trail; Pavilion; Picnic Area; Soccer Pitch; Restrooms	NEW DISCOVERY. Confirmed via Fulton County Visitors Bureau calendar and search results. Hosts annual Park O Rama festival. GPS approximate. GPS approximate — centroid-level; needs field verification.	https://www.metamoraohio.org/			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Pilliod Park	Park	Neighborhood Park		Active	Village of Swanton	Village of Swanton			A 4-acre picturesque park adjacent to the Swanton Public Library, featuring Swanton's preserved red caboose, gazebos, and a paved walkway. Home to the village's annual holiday light display.	Adjacent to Swanton Public Library, Swanton, OH 43558	4.0	Fulton			41.594	-83.8985	86HRH4V2+HJ	Gazebo; Historic Structure	Baseline seed confirmed. Note: Swanton is split between Fulton and Lucas counties — GIS verification needed to confirm county. GPS approximate. GPS approximate — centroid-level; needs field verification.	https://visitfultoncounty.com/240/Pilliod-Parik	https://visitfultoncounty.com/239/Village-of-Swanton-Parks		2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Rotary Park (Swanton)	Park	Neighborhood Park		Active	Village of Swanton	Village of Swanton			A small park described as an offshoot of Pilliod Park in Swanton.	Swanton, OH 43558 (adjacent to Pilliod Park)		Fulton			41.5939	-83.898	86HRH4V2+HR		Baseline seed confirmed. Described as an offshoot/extension of Pilliod Park. Limited information. Note: Swanton split between Fulton/Lucas counties — GIS verification needed. GPS approximate. GPS approximate — centroid-level; needs field verification.	https://visitfultoncounty.com/241/Rotary-Park	https://visitfultoncounty.com/239/Village-of-Swanton-Parks		2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Swanton Memorial Park	Park	Sports Park		Active	Village of Swanton	Village of Swanton			A large community park of 30+ acres in Swanton, with Ai Creek running through the park. Land originally donated by the McNeill family. Features a WWI Doughboy statue.	Swanton, OH 43558	30	Fulton			41.5924	-83.8968	86HRH4R3+X7	Ball Diamond; Basketball Court; Pickleball Court; Volleyball Court; Soccer Pitch; Playground	Baseline seed confirmed. Ai Creek runs through park. Land donated by McNeill family. Note: Swanton split between Fulton/Lucas counties — GIS verification needed. GPS approximate. GPS approximate — centroid-level; needs field verification.	https://visitfultoncounty.com/242/Swanton-Memorial-Park	https://snoflo.org/parks/ohio/swanton-memorial-park		2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Pettisville Community Park	Park	Neighborhood Park		Active	PARC Inc. (501(c)(3) non-profit)	PARC Inc.	Village of Pettisville		A community park in the Village of Pettisville operated by PARC Inc., a 501(c)(3) non-profit. Funded by biennial Friendship Days festivals and pavilion rentals. Open year-round 7am–11pm.	18405 County Road D-E, Pettisville, OH 43553	26.6	Fulton			41.5316	-84.2195	86HQGQJJ+J6	Pavilion; Basketball Court; Pickleball Court	NEW DISCOVERY. Governance: PARC Inc. (non-profit), not the Village. Address: 18405 County Road D-E. Acreage: 26.6 (mypacer). GPS confirmed.	https://www.pettisvillepark.org/	https://www.pettisvillepark.org/park-info		2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Sauder Village	Museum	Living Museum		Active	Sauder Village (private non-profit)	Sauder Village			Ohio's largest living-history museum recreating life in Northwest Ohio's Great Black Swamp from 1803 to 1928. Three distinct areas: 1800s crafts/buildings, a 1920s small town, and pioneer-era buildings. Open seasonally late April to late October. Admission charged.	22611 State Route 2, Archbold, OH 43502	235	Fulton			41.542968	-84.30179	86HQGMVX+57	Spray Park; Playground	Baseline seed confirmed. IMP-068: 'Village' + living-history museum context → category=Museum, subtype=Living Museum. Seasonal access (late April–late October). Admission-based. GPS from baseline.	https://saudervillage.org/			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Bracy Gold Bison Ranch	Open Space			Active	Bracy Gold (private)	Bracy Gold Bison Ranch (private owner)			A 55-acre working bison ranch established in 2018, home to grass-fed bison and free-range chickens. Offers tractor-drawn wagon tours into the bison pasture by appointment (mid-May through September). Also offers RV and tent camping on the working ranch. Farm store selling bison meat and products.	11616 County Road 4, Swanton, OH 43558	55	Fulton			41.6379	-83.9316	86HRJ3Q9+59	Camping; Guided Tours; Farm Store	Baseline seed confirmed. Tours by appointment; not open-access. Established 2018. GPS from baseline.	https://bracygoldbison.com/	https://visitfultoncounty.com/299/Bracy-Gold-Bison-Ranch--A-Hidden-Gem-in-		2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
4-H Camp Palmer	Campground	Cabin		Active	4-H Camp Palmer Inc. (serves 11 NW Ohio counties)	4-H Camp Palmer Inc. / Ohio State University Extension	Ohio State University Extension		A 146-acre privately owned youth camp adjacent to Harrison Lake State Park, operated by 4-H Camp Palmer Inc. for 4-H members across 11 Northwestern Ohio counties. Offers youth summer camps, school group retreats, outdoor education, and rental programs. Not open for general public day use.	26450 County Road MN, Fayette, OH 43521	146	Fulton			41.644	-84.372	86HQJJVH+J6	Watercraft Access; Swimming Pool; Basketball Court; Tennis Court; Volleyball Court; Mini Golf; Archery Range; Ropes Course; Shooting Range; Cabin Rentals; Nature Center	Baseline seed 'Camp Palmer'. IMP-065: 'rustic cabins' in description → Cabin subtype. Programmatic access only (registered camps, school groups, rentals) — not open to general public. Address: 26450 County Road MN. GPS approximate. GPS approximate — centroid-level; needs field verification.	https://www.camppalmer.org/	https://buckeyefunder.osu.edu/4hcamppalmer		2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
Robert Fulton Agriculture Center	Cultural Facility			Active	Ohio State University Extension	OSU Extension / Fulton County	Fulton County		An OSU Extension facility with land lab and educational programming for agriculture and natural resource topics in Fulton County. Limited public access.	8770 State Route 108, Wauseon, OH 43567		Fulton			41.5676	-84.1425	86HQHV95+22		Baseline seed confirmed. Educational/research facility — limited public access. GPS from baseline.	https://fulton.osu.edu/			2026-04-13T22:58:18Z	2026-04-13T22:58:18Z
