site_id	name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id
OH-SC-S-0011	Shawnee State University — Deal Arboretum and Campus Trails	Curated Biological Site			Active	State of Ohio (Shawnee State University, state institution)	Shawnee State University			ArbNet Level 2 accredited arboretum named after Professor Robert Deal, integrated throughout the Shawnee State University campus. Contains over 400 trees representing approximately 100 species. Four named self-guided tree trails provide structured walking routes: Appalachian Tree Trail, Around the World Tree Trail, Relics of the Past Tree Trail, and Medicinal Tree Trail. Publicly open.	940 Second Street, Portsmouth, Ohio 45662 (Shawnee State University campus)		Scioto	Portsmouth		38.7398	-82.9977	86CVP2Q2+WW	Arboretum	ArbNet Level 2 accreditation (more rigorous than basic Level 1). Named after Professor Robert Deal. Four named tree trails are Trail entities (SC-T-0010 through SC-T-0013 pending). Publicly open — not restricted to SSU students or staff. GPS is an approximate campus centroid derived from known street address; arboretum has no single GPS centroid. Clark Planetarium (also on SSU campus) excluded per pre-discovery analysis: university building with no confirmed conservation or natural areas function. Campus trails URL: https://www.shawnee.edu/campus-life/trees/campus-trails (blocked during discovery — SSU trail names confirmed from search snippets). Open to the public — not restricted to SSU students or staff. ArbNet Level 2 accreditation. Collection: 400+ trees, ~100 species.		https://www.shawnee.edu/campus-life/trees/campus-trails	
OH-MC-S-0003	Scioto Brush Creek State Scenic River	Water Site				State designation (Ohio Scenic Rivers Program; water corridor)	Ohio Department of Natural Resources, Division of Natural Areas and Preserves			Ohio's 17th State Scenic River, designated by Governor DeWine in November 2025. Protects exceptional aquatic biodiversity (70+ fish species including longnose gar and rosyside dace), native hardwood riparian habitat, and 171 documented plant and animal species. ODNR and partners manage approximately 23,000 acres of public land within the watershed, including state forests, nature preserves, and natural areas.	25.1 river miles from Adams-Scioto county line to confluence with Scioto River, Scioto County, Ohio		Adams;Scioto						Watercraft Access;Fishing Area	Designated November 2025 — post-knowledge-cutoff; confirmed via web search during Scioto County discovery. Scioto Brush Creek State Scenic River is distinct from Scioto Brush Creek State Nature Preserve (SC-S-0008): the SNP is a 30-acre land parcel; the Scenic River is a 25.1-mile water corridor designation. Both managed by ODNR DNAP under different programs. Multi-county: corridor spans Adams and Scioto counties. Primary county: Scioto (downstream/confluence end). GPS: no meaningful centroid for a 25.1-mile river corridor — blank. Not in baseline seeds; discovered during Tier 2 state research. Ohio Scenic Rivers designation does not confer public land ownership; it is a regulatory/conservation designation. 70+ fish species documented in the corridor. Ecological character: 70+ fish species, aquatic biodiversity, riparian habitat. Watershed conservation designation.		https://naturepreserves.ohiodnr.gov/sciotobrushcreek;https://spectrumnews1.com/oh/columbus/news/2025/11/20/scioto-brush-creek-named-ohio-s-17th-state-scenic-river	
OH-MC-S-0013	Brush Creek State Forest	Natural Area			Active	State of Ohio	Ohio Department of Natural Resources, Division of Forestry			Established in 1928 as part of Shawnee State Forest; designated as a separate state forest in the early 1950s and named after Scioto Brush Creek. Landscape of steep hillsides, deep hollows, and narrow ridge tops.	Unglaciated hill country of south central Ohio, spanning Adams, Pike, and Scioto counties; former HQ on State Route 73 approximately 1 mile west of Rarden, Scioto County; currently administered from Pike State Forest, 334 Lapperell Road, Latham, OH 45646	13000.0	Adams;Pike;Scioto		Rarden	38.928729	-83.265958	86CRWPHM+FJ	Historic Ruins;Wildlife Observation Area	TIER 2 MISS — discovered during Tier 4 county research via Scioto County government recreation page. Not in baseline seeds. Multi-county state forest spanning Adams, Pike, and Scioto counties. Former HQ was on SR-73 near Rarden in western Scioto County; administrative office has moved to Pike State Forest (334 Lapperell Road, Latham, OH 45646, Pike County). Phone (740) 858-6685 shared with Shawnee State Forest administration. GPS not confirmed — no authoritative coordinate for the Scioto County portion published on ODNR page; blank pending GPS acquisition. Currently administered from Pike State Forest. Activities: hunting, hiking, horseback riding, mushroom and berry foraging. Forest roads present. Historical stone quarries are the primary named historic feature.		https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/brush-creek-state-forest;https://cdn.outerspatial.com/uploads/media_file/uploaded_file/2529/brushcreek.pdf	
OH-SC-S-0014	Earl Thomas Conley Riverside Park	Park			Active	Scioto County	Scioto County (County Commissioners / Scioto County Parks Department)			Named for Portsmouth native and country music legend Earl Thomas Conley. The Allan W. Eckert Trail offers views of the banks and bottom lands at the confluence of the Scioto and Ohio Rivers.	15888 U.S. 52, West Portsmouth, OH 45663	81.2	Scioto		Washington	38.718075	-83.047183	86CRPX93+64	Picnic Shelter;Fitness Station;Disc Golf Course;Spray Park;Pump Track;Tennis Court;Volleyball Court;Basketball Court;Ball Diamond;Parking Lot;Restrooms	County-managed park confirmed via Scioto County Commissioners (Commissioner Scottie Powell referenced construction projects; ETC Park Manager Brian Howard manages the park). Address 15888 US-52 is in unincorporated West Portsmouth area. Note: portsmouthohio.org (City of Portsmouth website) also references the splash pad at ETC Park — city may have some involvement or the website is a regional information site; county management confirmed from news sources and county recreation page listing. Doug Coleman Memorial Splash Pad is a named feature/child facility within the park — not staged as separate child Site (recreational facility, not natural area character). Red Bull Pump Track is also a named feature. Allan W. Eckert Trail is a named trail at the park — staged separately. Baseline seed: Earl Thomas Conley Park (listed in baseline as Portsmouth City Park — corrected to Scioto County per research). Named facilities: Doug Coleman Memorial Splash Pad; Red Bull Pump Track (described as largest pump track in Ohio).		https://www.sciotoheritagetrail.com/earl-thomas-conley-park.html;https://www.discoveringanew.com/blog-4/earl-thomas-conley-riverside-park-a-day-of-family-fun-in-the-sun	
OH-SC-S-0015	Porter Township Park	Park			Active	Porter Township	Porter Township				12063 Gallia Pike, Wheelersburg, OH 45694		Scioto		Porter	38.734702	-82.857422	86CVP4MV+V2	Picnic Shelter	Confirmed from Porter Township official website (portertwp.com). Listed under Parks & Recreation section as 'Porter Township Community Park.' Shelter reservations must be made in person at Trustee's office (1535 Dogwood Ridge Rd., Wheelersburg, OH 45694). Baseline seed confirmed. Picnic shelter reservable by Porter Township residents at the Trustee office (1535 Dogwood Ridge Rd., Wheelersburg, OH 45694).		https://www.portertwp.com/new/parks-and-recreation/township-park/	
OH-SC-S-0016	Friendship Park	Park			Active	Nile Township	Nile Township				Friendship, Scioto County, Ohio (near US Highway 52)		Scioto		Nile	38.696137	-83.101352	86CRMVWX+FF	Picnic Shelter;Ball Diamond;Basketball Court;Tennis Court;Playground;Swing Set	Found on Nile Township official website (niletownship.org). Park is open March through October seasonally. Located in the Friendship community within Nile Township (postal city Friendship, OH 45630). Exact street address not provided on township website. NOT a baseline seed — new find at Tier 5. Three picnic shelters (A, B, C) available on first-come, first-served basis. Shelter A has electrical outlets. Park closes at 11 pm.		https://www.niletownship.org/parks.html	
OH-SC-S-0017	Clay Township Park	Park			Active	Clay Township	Clay Township				Clay Township, Scioto County, Ohio (near Rosemount CDP)		Scioto		Clay	38.78624	-82.97119	86CVQ2PH+FG		Confirmed as Clay Township, Scioto County Ohio via Mapcarta (OpenStreetMap way 558928341). GPS: 38.78624°N, 82.97119°W — from OpenStreetMap; treat as approximate until confirmed from authoritative source. Located near Rosemount CDP, Rosemount Nazarene Parsonage, and Rosemount Community Church. Clay High School is 1.25 miles northwest; Southern Ohio Medical Center (Portsmouth) is 2.5 miles south. Township fiscal officer contact: 740-666-3014 ext 104 (from web search snippet referencing park shelter reservations). NOT a baseline seed — new find at Tier 5. No official township website found for Clay Township, Scioto County.		https://mapcarta.com/W558928341	
OH-SC-S-0018	Vernon Township Community Park	Park			Active	Vernon Township	Vernon Township				4168 Turkey Foot Rd., Vernon Township, Scioto County, Ohio		Scioto		Vernon	38.738533	-82.740611	86CVP7Q5+CQ		Confirmed from Vernon Township official website (scvernontwp.com/about). Listed under 'Community Facilities' section: 'Vernon Township Community Park — Situated at 4168 Turkey Foot Rd., the park offers recreational opportunities for residents. For more information, contact the township garage.' Homepage also references 'Trunk or Treat at the Park' event, confirming active park use. Township cemetery is on Cemetery Rd. near Turkey Foot Rd. (separate facility). NOT a baseline seed — new find at Tier 5. Used for community events including Trunk or Treat.		https://www.scvernontwp.com/about	
OH-SC-S-0019	Alexandria Park	Park			Active	City of Portsmouth	City of Portsmouth	Main Street Portsmouth In Bloom (MSPIB) — adopted/maintained			Scioto Street, Portsmouth, Ohio		Scioto	Portsmouth		38.731164	-83.011245	86CRPXJQ+FG		Listed on City of Portsmouth Adopt-a-Park page at Scioto Street. MSPIB City Parks page also lists Alexandria Park as one of its adopted parks. Prior map verification confirmed park at approximately 110 Scioto Street; also appeared as 'Alexandria Point Park' in Google Maps — same entity. City-owned; MSPIB-maintained. Baseline seed confirmed.		https://portsmouthohio.org/adopt-a-park/;https://www.mspohio.org/city-parks	
OH-SC-S-0020	Bannon Park	Park			Active	City of Portsmouth	City of Portsmouth				15th Street and Robinson Avenue, Portsmouth, Ohio		Scioto	Portsmouth		38.742749	-82.986947	86CVP2V7+36		Listed on City of Portsmouth Adopt-a-Park page at 15th Street and Robinson Avenue. No adopter listed. Baseline seed confirmed.		https://portsmouthohio.org/adopt-a-park/	
OH-SC-S-0021	Buckeye Park	Park			Active	City of Portsmouth	City of Portsmouth				Williams Street, Portsmouth, Ohio		Scioto	Portsmouth		38.730116	-82.978876	86CVP2JC+2C		Listed on City of Portsmouth Adopt-a-Park page at Williams Street. No adopter listed. Baseline seed confirmed.		https://portsmouthohio.org/adopt-a-park/	
OH-SC-S-0022	Cyndee Secrest Park	Park			Active	City of Portsmouth	City of Portsmouth				Glen and Harding Avenue, Portsmouth, Ohio (Sciotoville neighborhood)		Scioto	Portsmouth		38.764343	-82.889335	86CVQ476+P7		Listed on City of Portsmouth Adopt-a-Park page at Glen and Harding Avenue; 'Sciotoville' notation in table row indicates location in Portsmouth's Sciotoville neighborhood. Baseline seed confirmed.		https://portsmouthohio.org/adopt-a-park/	
OH-SC-S-0023	Labold Ball Fields	Park			Active	City of Portsmouth	City of Portsmouth				Williams and Boundary Streets, Portsmouth, Ohio		Scioto	Portsmouth		38.728107	-82.979053	86CVP2HC+69		Listed on City of Portsmouth Adopt-a-Park page at Williams and Boundary Streets. No adopter listed. Baseline seed confirmed.		https://portsmouthohio.org/adopt-a-park/	
OH-SC-S-0024	Martha Burton Park	Park			Active	City of Portsmouth	City of Portsmouth				Front Street, Portsmouth, Ohio		Scioto	Portsmouth		38.730325	-82.997092	86CVP2J3+45		Listed on City of Portsmouth Adopt-a-Park page at Front Street. No adopter listed. Baseline seed confirmed.		https://portsmouthohio.org/adopt-a-park/	
OH-SC-S-0025	Mound Park	Park			Active	City of Portsmouth	City of Portsmouth				17th Street and Hutchins Avenue, Portsmouth, Ohio		Scioto	Portsmouth		38.743273	-82.976701	86CVP2VF+88		Listed on City of Portsmouth Adopt-a-Park page at 17th Street and Hutchins Avenue. Contains Horseshoe Mound, an NRHP-listed Hopewell earthwork — staged as child Site (see below). Baseline seed confirmed.		https://portsmouthohio.org/adopt-a-park/	
OH-SC-S-0026	Horseshoe Mound	Historic Site			Active	City of Portsmouth	City of Portsmouth				Within Mound Park, 17th Street and Hutchins Avenue, Portsmouth, Ohio		Scioto	Portsmouth		38.743273	-82.976701	86CVP2VF+88		NRHP-listed Hopewell earthwork contained within Portsmouth's Mound Park. Staged as child Site of Mound Park per child Site rules. Discovered at Tier 4 NRHP check (42 Scioto County NRHP listings reviewed). No separate legal parcel — contained within Mound Park footprint. NRHP listing confirmed for Scioto County. Horseshoe configuration. NOT a baseline seed — new find from NRHP review.		https://portsmouthohio.org/adopt-a-park/	
OH-SC-S-0027	Roy Rogers Esplanade	Park			Active	City of Portsmouth	City of Portsmouth	Main Street Portsmouth In Bloom (MSPIB) — adopted/maintained			Gallia Street and Chillicothe Street, Portsmouth, Ohio		Scioto	Portsmouth		38.73423	-82.996334	86CVP2M3+MF		Listed on City of Portsmouth Adopt-a-Park page at Gallia Street and Chillicothe Street. MSPIB City Parks page lists this as one of its adopted/maintained parks. Named for Roy Rogers (Leonard Slye), born in Portsmouth, OH. City-owned; MSPIB-maintained. Baseline seed confirmed.		https://portsmouthohio.org/adopt-a-park/;https://www.mspohio.org/city-parks	
OH-SC-S-0028	Sciotoville Community Square	Park				City of Portsmouth	City of Portsmouth				Harding Avenue, Portsmouth, Ohio (Sciotoville neighborhood)		Scioto							Listed on City of Portsmouth Adopt-a-Park page at Harding Avenue with 'Sciotoville' notation indicating location in Portsmouth's Sciotoville neighborhood (formerly a separate community, now within Portsmouth city limits). Baseline seed confirmed.		https://portsmouthohio.org/adopt-a-park/	
OH-SC-S-0029	Skate Park	Recreation Facility			Active	City of Portsmouth	City of Portsmouth				4th Street and Jefferson Street, Portsmouth, Ohio		Scioto	Portsmouth		38.733405	-83.005071	86CRPXMV+9X		Listed on City of Portsmouth Adopt-a-Park page as 'Skate Park' at 4th Street and Jefferson Street. Baseline seed was 'Weghorst Skate Park' — full official name may be 'Weghorst Memorial Skate Park' or similar. Name_raw recorded exactly as found on authoritative city source. Baseline seed confirmed (seed name: Weghorst Skate Park).		https://portsmouthohio.org/adopt-a-park/	
OH-SC-S-0030	Spock Memorial Dog Park	Park			Active	City of Portsmouth	City of Portsmouth				2nd Street and Vine Street, Portsmouth, Ohio		Scioto	Portsmouth		38.731069	-82.997126	86CVP2J3+C4		Listed on City of Portsmouth Adopt-a-Park page at 2nd & Vine Streets. Off-leash dog park. Baseline seed confirmed.		https://portsmouthohio.org/adopt-a-park/	
OH-SC-S-0031	Tracy Park	Park			Active	City of Portsmouth	City of Portsmouth				9th Street and Chillicothe Street, Portsmouth, Ohio		Scioto	Portsmouth		38.73734	-82.996394	86CVP2P3+WC		Listed on City of Portsmouth Adopt-a-Park page at 9th Street and Chillicothe Street. No adopter listed. Baseline seed confirmed.		https://portsmouthohio.org/adopt-a-park/	
OH-SC-S-0032	York Park	Park			Active	City of Portsmouth	City of Portsmouth	Main Street Portsmouth In Bloom (MSPIB) — adopted/maintained			Ohio Riverfront, Portsmouth, Ohio		Scioto	Portsmouth		38.730161	-82.998926	86CVP2J2+3C		Listed on City of Portsmouth Adopt-a-Park page at 'Ohio Riverfront.' MSPIB City Parks page lists York Park as one of its adopted parks. City-owned; MSPIB-maintained. POSSIBLE IDENTITY OVERLAP with 'Riverfront Park' (Google Maps entity at 728 2nd St, 366 reviews, city phone number) — staged separately pending verification. Flag: VERIFY_IDENTITY — confirm whether York Park and Riverfront Park are the same entity or distinct parks. If same, York Park (from authoritative city source) is canonical name. Baseline seed confirmed.		https://portsmouthohio.org/adopt-a-park/;https://www.mspohio.org/city-parks	
